dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,wilcoxon_bh_39_26_sensitivity,wilcoxon_bh_65_primary,wilcoxon_significant_39_26_sensitivity,wilcoxon_significant_65_primary,exact_two_sided_sign_flip_p,sign_flip_bh_65,sign_flip_bh_39_26_sensitivity,sign_flip_significant_65,family_policy
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_mdm,Riemannian MDM,13,0.48076923076923078,0.57692307692307687,0.096153846153846159,9.6153846153846168,0,0.31521258597805762,0.30504443804328157,0.27142857142857141,4,6,3,0.53846153846153844,-0.057692307692307696,0.26923076923076922,-5.7692307692307692,26.923076923076923,25.5,0.47965220016467969,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,1,0.97065325533141766,False,False,0.40625,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eegnet,EEGNet,13,0.48076923076923078,0.48076923076923078,0,0,0,0.30618621784789724,0,0,3,7,3,0.5,-0.17307692307692307,0.15384615384615385,-17.307692307692307,15.384615384615385,31.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eeg_conformer,EEG-Conformer,13,0.48076923076923078,0.55769230769230771,0.076923076923076927,7.6923076923076925,0,0.3443686158605973,0.22337423731498196,0.095238095238095233,3,7,3,0.5,-0.076923076923076927,0.26923076923076922,-7.6923076923076925,26.923076923076923,28.5,0.8172282863239031,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,1,False,False,0.625,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),always_fuse,Neural-classical stacking,13,0.49038461538461536,0.47115384615384615,-0.019230769230769232,-1.9230769230769231,0,0.16806306050912051,-0.11442591353812463,-0.15294117647058825,4,3,6,0.42307692307692307,-0.10576923076923077,0.067307692307692304,-10.576923076923077,6.7307692307692308,36,0.64212446121924549,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",3,10,0.89097595717456024,0.97065325533141766,False,False,0.8359375,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),rf,Random forest,13,0.49038461538461536,0.46153846153846156,-0.028846153846153848,-2.8846153846153846,0,0.17043026245058229,-0.16925488133023345,-0.30158730158730157,2,7,4,0.42307692307692307,-0.11538461538461539,0.057692307692307696,-11.538461538461538,5.7692307692307692,22,0.4650851471978289,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.89097595717456024,0.97065325533141766,False,False,0.6875,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),extra_trees,Extra Trees,13,0.49038461538461536,0.48076923076923078,-0.0096153846153846159,-0.96153846153846156,0,0.13939544376911947,-0.068979188669254982,-0.23809523809523808,2,7,4,0.42307692307692307,-0.076923076923076927,0.067307692307692304,-7.6923076923076925,6.7307692307692308,24,0.5637028616507731,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.89097595717456024,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_010,Fixed blend (10%),13,0.49038461538461536,0.50961538461538458,0.019230769230769232,1.9230769230769231,0,0.069337524528153643,0.27735009811261457,1,1,12,0,0.53846153846153844,0,0.057692307692307696,0,5.7692307692307692,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.89097595717456024,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_025,Fixed blend (25%),13,0.49038461538461536,0.51923076923076927,0.028846153846153848,2.8846153846153846,0,0.074893086189409749,0.38516444325982169,1,2,11,0,0.57692307692307687,0,0.076923076923076927,0,7.6923076923076925,0,0.15763116017860512,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,0.89097595717456024,0.97065325533141766,False,False,0.5,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),equal_blend_050,Equal blend (50%),13,0.49038461538461536,0.5,0.0096153846153846159,0.96153846153846156,0,0.094944315664093754,0.10127393670836665,0.043478260869565216,2,9,2,0.5,-0.038461538461538464,0.067307692307692304,-3.8461538461538463,6.7307692307692308,22,0.93090123504037769,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),stack_recording,OOF recording-level stacking,13,0.49038461538461536,0.52884615384615385,0.038461538461538464,3.8461538461538463,0,0.21277320295900959,0.18076307508022058,0.082352941176470587,5,3,5,0.5,-0.067307692307692304,0.15384615384615385,-6.7307692307692308,15.384615384615385,39,0.80171854935113818,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",3,10,0.97709448202169968,1,False,False,0.640625,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
