direction,training_rows,loss_events,non_loss_events,min_benefit,max_benefit,threshold,event_definition
arithmetic_to_stroop,13,1,12,-0.33333333333333331,0.66666666666666663,-0.050000000000000003,benefit <= -0.05
stroop_to_arithmetic,13,5,8,-0.33333333333333331,0.33333333333333331,-0.050000000000000003,benefit <= -0.05
pooled,26,6,20,-0.33333333333333331,0.66666666666666663,-0.050000000000000003,benefit <= -0.05
