method,setting,subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,training_rows,training_subjects,gain,delta_cov,margin,selected_fusion,direction
cbsf_double_exclusion_gain,arithmetic_loso,1,0.4355037881671445,0.19616906069719062,0.47410298191175,0.6764535506657768,0.767533595565048,0.6527808131848352,0.04790640600190233,0.04790640600190233,0.3624005725827211,False,1.639996471286523,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,1,,,,,,,,,,,,,,0.0357142857142857,1.9011730832749858,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,2,0.2557402327477426,0.2940124209197071,0.22542700058931472,0.6543754145488327,0.8997732132617767,0.2338853883861678,0.020047940579864296,0.020047940579864296,0.754544951426523,False,0.7262411884849175,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,2,,,,,,,,,,,,,,0.0535714285714286,1.64736649148034,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,3,0.18762522614537963,0.26189940877402906,0.34112228191753574,0.6620351760749491,0.8504712171612192,0.2346360711533887,0.027216004222997244,0.027216004222997244,0.8960936705636341,False,0.4886456750593477,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,3,,,,,,,,,,,,,,0.0357142857142857,1.3129323528480208,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,4,0.6023901530707799,0.3376690915151668,0.3488166601223508,0.6864261590356626,0.8395969459471456,0.06068654401699484,0.0,0.0,1.0,False,2.8107279676164847,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,4,,,,,,,,,,,,,,0.03571428571428581,0.8223514775978162,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,5,0.2239933662208696,0.24926880179420766,0.39814045941814225,0.6765128081193548,0.8141547134348366,0.06227013831702001,-0.010646833873283329,-0.010646833873283329,0.7759016130874173,False,0.9518895716407318,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,5,,,,,,,,,,,,,,0.0,1.1115100844990176,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,6,0.42016534203540834,0.22431720527191282,0.32431900539133174,0.6343284922717596,0.8613779286308255,0.42852870762114437,0.04056436857020602,0.04056436857020602,0.7541329133538305,False,0.8988540575277034,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,6,,,,,,,,,,,,,,0.017857142857142905,1.6399263558519697,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,7,0.5571641316198548,0.30552765240452123,0.33058265031296996,0.6587917808346659,0.8429984205474494,0.10635240878763524,0.0,-0.005618037794294858,0.750082338751569,False,1.8350842420084301,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,7,,,,,,,,,,,,,,0.017857142857142905,1.1815783952241314,0.15,False,
