feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,feature_shift_original,feature_shift_robust,outer_subject,meta_subject,seed,benefit
0.2821883032837627,0.2128103784723845,0.1739882197231439,0.5550667811410132,0.9270814816110764,0.3517633378505707,0.2821883032837627,1,2,1335,0.0
0.2821883032837627,0.2337678872812038,0.2378610722956137,0.6095690626361486,0.8979622036808445,0.3517633378505707,0.2821883032837627,1,2,1388,0.0
0.2821883032837627,0.2285386275887302,0.2151999852089896,0.58734759785325,0.9071201174861476,0.3517633378505707,0.2821883032837627,1,2,1441,0.0
0.2821883032837627,0.2350142708033094,0.1951937309238525,0.5852803881260564,0.9165210440078352,0.3517633378505707,0.2821883032837627,1,2,1494,0.0
0.2821883032837627,0.2155966248611221,0.3108204609671537,0.6222769895429962,0.8553763226247083,0.3517633378505707,0.2821883032837627,1,2,1547,0.0
0.3247668647977529,0.1626636313155815,0.0395843935269735,0.4315182152187978,0.9819107124679968,0.480859637260437,0.3247668647977529,1,3,1335,0.0
0.3247668647977529,0.1847251804686302,0.0486503892808722,0.4660756876599267,0.9803118422366024,0.480859637260437,0.3247668647977529,1,3,1388,0.0
0.3247668647977529,0.1909268926182299,0.0551865653981007,0.4826327964519881,0.9767434973465768,0.480859637260437,0.3247668647977529,1,3,1441,0.0
0.3247668647977529,0.2151592923418828,0.0767602245684148,0.5250091769822098,0.9664406393703662,0.480859637260437,0.3247668647977529,1,3,1494,0.0
0.3247668647977529,0.2339823858705073,0.0911831741041256,0.5516664465220957,0.962471423128195,0.480859637260437,0.3247668647977529,1,3,1547,0.0
0.474873386191803,0.2672631026804899,0.2620824137388273,0.6553771361112876,0.8857128485095787,0.7437426447868347,0.474873386191803,1,4,1335,0.0
0.474873386191803,0.2617902884698677,0.3229019394438426,0.6632373137835279,0.864821346626822,0.7437426447868347,0.474873386191803,1,4,1388,0.0
0.474873386191803,0.2839971515766372,0.2643877268987801,0.6599531002601541,0.8926768257467316,0.7437426447868347,0.474873386191803,1,4,1441,0.0
0.474873386191803,0.2467348820691688,0.3542223232089543,0.6668505214960486,0.8339479076057218,0.7437426447868347,0.474873386191803,1,4,1494,0.0
0.474873386191803,0.2817329879325941,0.2426857812880443,0.6534899858458791,0.9010588073522696,0.7437426447868347,0.474873386191803,1,4,1547,0.0
0.2471969543219174,0.2005268155307595,0.0994226049636107,0.5043775979252788,0.9565418858419764,0.3198804557323456,0.2471969543219174,1,5,1335,0.0
0.2471969543219174,0.1618408081826655,0.0801182246223364,0.4422236208136203,0.9658857435891124,0.3198804557323456,0.2471969543219174,1,5,1388,-0.25
0.2471969543219174,0.2191401684226021,0.1160402619956216,0.5354998322898579,0.949592857559522,0.3198804557323456,0.2471969543219174,1,5,1441,-0.25
0.2471969543219174,0.2271835086708194,0.1154495825808463,0.5476068801936569,0.9505736967830948,0.3198804557323456,0.2471969543219174,1,5,1494,-0.25
0.2471969543219174,0.2137854986959433,0.1082003846391546,0.5281523827982703,0.9532833410934968,0.3198804557323456,0.2471969543219174,1,5,1547,0.0
0.6394461998063605,0.2167467956349525,0.1274675865279249,0.535096169618313,0.9474930846977586,1055.3360595703125,0.6394461998063605,1,6,1335,0.0
0.6394461998063605,0.1968044374149426,0.5167267190227763,0.6715162566738283,0.7345600629469824,1055.3360595703125,0.6394461998063605,1,6,1388,0.25
0.6394461998063605,0.2273721258769201,0.5269614502451772,0.673864025450499,0.7288255136246602,1055.3360595703125,0.6394461998063605,1,6,1441,0.0
0.6394461998063605,0.2606217315979895,0.1254537753981216,0.5904066651017515,0.943991687293414,1055.3360595703125,0.6394461998063605,1,6,1494,-0.25
0.6394461998063605,0.2218807061430872,0.3821656559472587,0.6565226667948363,0.8177496359000145,1055.3360595703125,0.6394461998063605,1,6,1547,-0.25
0.3038607035902887,0.232520585127157,0.2733904271178333,0.6062670981161756,0.8889001774259063,0.3906938135623932,0.3038607035902887,1,7,1335,-0.25
0.3038607035902887,0.2148977791942364,0.2748238841943788,0.5928732616102228,0.8830627845307595,0.3906938135623932,0.3038607035902887,1,7,1388,0.25
0.3038607035902887,0.1875806588623059,0.436134759819532,0.6513942616235748,0.7698369569346557,0.3906938135623932,0.3038607035902887,1,7,1441,0.5
0.3038607035902887,0.1628171531459097,0.459086280121826,0.6521981026748724,0.757568970735765,0.3906938135623932,0.3038607035902887,1,7,1494,-0.25
0.3038607035902887,0.2443344224085875,0.2373453490251983,0.6061782763337658,0.902726169214231,0.3906938135623932,0.3038607035902887,1,7,1547,0.0
0.3325342475364115,0.2288622629576841,0.1165819776682584,0.5555246891612264,0.9510867619642304,0.3982692658901214,0.3325342475364115,1,8,1335,0.0
0.3325342475364115,0.2375284136630416,0.1193191030066221,0.5677510687351448,0.9500016655583164,0.3982692658901214,0.3325342475364115,1,8,1388,0.0
0.3325342475364115,0.2642512473692848,0.1238048289583447,0.5968918800808464,0.9497273917492208,0.3982692658901214,0.3325342475364115,1,8,1441,-0.25
0.3325342475364115,0.2759913771469967,0.1849438451794229,0.6263680296468057,0.9182426102519357,0.3982692658901214,0.3325342475364115,1,8,1494,0.0
0.3325342475364115,0.2109101372035172,0.072374787545348,0.5141194688094315,0.9698636476699533,0.3982692658901214,0.3325342475364115,1,8,1547,0.0
0.2509337675167394,0.1858862714599539,0.0731212084658273,0.4675534332314866,0.9712988700107474,0.3206543624401092,0.2509337675167394,1,9,1335,0.0
0.2509337675167394,0.1952001127751435,0.1948656208397335,0.5255640452096755,0.9116829893843004,0.3206543624401092,0.2509337675167394,1,9,1388,0.0
0.2509337675167394,0.2231793472350544,0.1572485863528622,0.5396230916445336,0.9341754738544408,0.3206543624401092,0.2509337675167394,1,9,1441,0.0
0.2509337675167394,0.2252426210261936,0.3018123515397224,0.6174819015090733,0.8627362887610821,0.3206543624401092,0.2509337675167394,1,9,1494,0.0
0.2509337675167394,0.1931732641735043,0.1007443318360456,0.4864254490256618,0.9561546408024032,0.3206543624401092,0.2509337675167394,1,9,1547,0.0
0.2710519199956354,0.2092010318601952,0.3863466720733294,0.6539387776417123,0.8179408533979227,0.4864442348480224,0.2710519199956354,1,10,1335,0.0
0.2710519199956354,0.2505365844840514,0.231025185564874,0.6214547686588954,0.9082931739483876,0.4864442348480224,0.2710519199956354,1,10,1388,-0.25
0.2710519199956354,0.1960679234504489,0.4085537063307551,0.6522492110761424,0.8015493837014016,0.4864442348480224,0.2710519199956354,1,10,1441,0.0
0.2710519199956354,0.2104096039642887,0.372481468010243,0.6477195495951297,0.8307284506738286,0.4864442348480224,0.2710519199956354,1,10,1494,0.0
0.2710519199956354,0.2567451555485623,0.1985877641344808,0.6194804703175334,0.9213894974522004,0.4864442348480224,0.2710519199956354,1,10,1547,0.0
0.3414695201473114,0.1933524551898828,0.4376133896578085,0.6576226562856368,0.7816606146239099,0.3726608157157898,0.3414695201473114,1,11,1335,0.0
0.3414695201473114,0.2016005811237195,0.4175744691458349,0.660021318457562,0.8039823145206485,0.3726608157157898,0.3414695201473114,1,11,1388,0.0
