confidence_nn,covariance_shift,dasf_effective_margin,dasf_used_fusion_seed_diagnostic,direction,disagreement,entropy_fuse,entropy_nn,feature_shift,feature_shift_original,feature_shift_robust,inner_participants,inner_selected_epochs,outer_subject_excluded,protocol,seed,selected_epoch,subject,target_batch_recordings,validation_accuracy_fuse_meta_crossfit,validation_accuracy_nn,validation_gain
0.8675529284097516,0.16655148083528737,0.05331029616705747,False,stroop,0.24916491209182293,0.6441975345551688,0.28880655326372406,0.4810711048753815,0.5711266994476318,0.4810711048753815,14,2|48|6|11|25|3|14|12|1|2|2|3|1|1,True,loso,1335,3,1,4,0.75,0.7857142857142857,-0.0357142857142857
0.9355366542182326,0.16655148083528737,0.05331029616705747,False,stroop,0.2693482894468799,0.6103562456854881,0.15537661846254952,0.4810711048753815,0.5711266994476318,0.4810711048753815,14,1|28|8|23|3|4|10|5|7|2|1|8|1|3,True,loso,1388,4,1,4,0.75,0.7678571428571429,-0.017857142857142905
0.7835148443306752,0.16655148083528737,0.05331029616705747,False,stroop,0.21486899821819821,0.671936118928571,0.43025365726456394,0.4810711048753815,0.5711266994476318,0.4810711048753815,14,2|27|6|13|2|1|16|4|2|7|2|6|1|1,True,loso,1441,3,1,4,0.7321428571428571,0.6964285714285714,0.0357142857142857
0.980900495377288,0.16655148083528737,0.05331029616705747,False,stroop,0.2662282611538775,0.5805098214408932,0.04930126140908249,0.4810711048753815,0.5711266994476318,0.4810711048753815,14,2|11|3|17|11|1|13|1|3|24|5|12|4|6,True,loso,1494,5,1,4,0.75,0.8392857142857143,-0.0892857142857143
0.9279741898612626,0.16655148083528737,0.05331029616705747,False,stroop,0.29070077185078363,0.6346656627413813,0.18293859699173468,0.4810711048753815,0.5711266994476318,0.4810711048753815,14,1|7|8|13|6|6|35|13|9|40|1|5|1|1,True,loso,1547,6,1,4,0.75,0.7678571428571429,-0.017857142857142905
0.9594013440456324,0.17292060198441672,0.054584120396883345,False,stroop,0.21107948835404652,0.5215485937468755,0.09137690999028496,0.2782560671163676,0.34318870306015015,0.2782560671163676,14,1|25|29|15|6|21|29|1|6|13|3|3|1|1,True,loso,1335,6,2,4,0.7142857142857143,0.8035714285714286,-0.0892857142857143
0.9427187497596385,0.17292060198441672,0.054584120396883345,False,stroop,0.2245955691194694,0.5507358690638866,0.12661082639408883,0.2782560671163676,0.34318870306015015,0.2782560671163676,14,1|21|8|12|12|2|19|38|8|8|3|4|1|1,True,loso,1388,8,2,4,0.75,0.8392857142857143,-0.0892857142857143
0.8797311170137248,0.17292060198441672,0.054584120396883345,False,stroop,0.2374059900799151,0.6237271657984383,0.26652466172198785,0.2782560671163676,0.34318870306015015,0.2782560671163676,14,1|4|36|34|1|1|31|2|2|15|5|3|1|1,True,loso,1441,2,2,4,0.6964285714285714,0.75,-0.0535714285714286
0.97937945589614,0.17292060198441672,0.054584120396883345,False,stroop,0.17811525596842553,0.4602647881313648,0.04897298314740366,0.2782560671163676,0.34318870306015015,0.2782560671163676,14,1|10|9|26|3|10|12|23|10|15|1|1|1|1,True,loso,1494,9,2,4,0.7142857142857143,0.7857142857142857,-0.0714285714285714
0.9677089304946216,0.17292060198441672,0.054584120396883345,False,stroop,0.247491301999101,0.5576423336762452,0.07994363207116935,0.2782560671163676,0.34318870306015015,0.2782560671163676,14,1|11|13|6|4|11|27|12|1|23|19|2|1|1,True,loso,1547,8,2,4,0.7321428571428571,0.7321428571428571,0.0
0.8403993080582535,0.13000564501505943,0.046001129003011884,False,stroop,0.1800014560384423,0.604675468688236,0.33758125432521546,0.290849498133446,0.39676031470298767,0.290849498133446,14,1|1|32|3|2|11|13|1|1|1|4|3|1|1,True,loso,1335,1,3,4,0.7142857142857143,0.7321428571428571,-0.017857142857142794
0.9210921302176358,0.13000564501505943,0.046001129003011884,False,stroop,0.22317602137642453,0.5651877889504633,0.18976093977946265,0.290849498133446,0.39676031470298767,0.290849498133446,14,2|1|11|10|33|6|22|1|3|2|1|1|1|2,True,loso,1388,2,3,4,0.7321428571428571,0.75,-0.017857142857142905
0.8997691390807169,0.13000564501505943,0.046001129003011884,False,stroop,0.21479005833287712,0.5812113222459948,0.22503201107309986,0.290849498133446,0.39676031470298767,0.290849498133446,14,1|1|31|29|21|5|23|3|5|2|2|3|1|3,True,loso,1441,3,3,4,0.7678571428571429,0.75,0.017857142857142905
0.9564159434092673,0.13000564501505943,0.046001129003011884,False,stroop,0.19494709723366604,0.49604077931597695,0.09981424541411721,0.290849498133446,0.39676031470298767,0.290849498133446,14,2|1|16|16|19|7|8|2|3|6|4|22|1|2,True,loso,1494,5,3,4,0.7678571428571429,0.7857142857142857,-0.017857142857142794
0.870255914905615,0.13000564501505943,0.046001129003011884,True,stroop,0.20776934764237057,0.6006298072276447,0.2917507265217904,0.290849498133446,0.39676031470298767,0.290849498133446,14,1|1|16|13|4|9|8|2|8|2|3|3|1|1,True,loso,1547,3,3,4,0.75,0.6428571428571429,0.1071428571428571
0.7721097107027092,1.1417712064673076,0.15,False,stroop,0.1981099461160153,0.6751141669357501,0.4582671312227537,0.45546620977834695,0.7354527115821838,0.45546620977834695,14,1|1|6|6|1|3|33|2|2|11|2|5|2|1,True,loso,1335,2,4,4,0.7142857142857143,0.6607142857142857,0.0535714285714286
0.7672247480203384,1.1417712064673076,0.15,False,stroop,0.21858684558574057,0.6807496287293971,0.450055512894324,0.45546620977834695,0.7354527115821838,0.45546620977834695,14,2|2|9|6|2|3|22|28|2|15|5|2|1|1,True,loso,1388,2,4,4,0.7321428571428571,0.7678571428571429,-0.03571428571428581
