task,strategy,strategy_display,metric,n_participants,n_valid_participants,n_valid_bootstrap_draws,participant_macro_mean,participant_sd_proportion,ci95_low,ci95_high
arithmetic,random_window_50_50,Random-window 50/50,brier_score,15,15,10000,0.0018568809428568056,0.0033539149380759346,0.00070221833873408994,0.0036995839760939498
stroop,random_window_88_12,Random-window 88/12,accuracy,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,balanced_accuracy,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,sensitivity,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,specificity,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,precision,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,f1,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,auroc,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,pr_auc,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,average_precision,13,13,10000,1,0,1,1
stroop,random_window_88_12,Random-window 88/12,log_loss,13,13,10000,0.011428381104167582,0.012075534517566096,0.0056968165611986383,0.018158339728891439
stroop,random_window_88_12,Random-window 88/12,brier_score,13,13,10000,0.0006837246722612428,0.0010633374895822449,0.00018457583341879784,0.0012779581404410664
stroop,recording_disjoint,Recording-disjoint,accuracy,13,13,10000,0.52307692307692311,0.21565344944241038,0.41538461538461541,0.64230769230769247
stroop,recording_disjoint,Recording-disjoint,balanced_accuracy,13,13,10000,0.52307692307692311,0.21565344944241038,0.41538461538461541,0.64230769230769247
stroop,recording_disjoint,Recording-disjoint,sensitivity,13,13,10000,0.70000000000000007,0.29999999999999999,0.53846153846153844,0.85384615384615392
stroop,recording_disjoint,Recording-disjoint,specificity,13,13,10000,0.34615384615384615,0.27268841992093168,0.2076923076923077,0.49999999999999994
stroop,recording_disjoint,Recording-disjoint,precision,13,13,10000,0.49743589743589745,0.21919952793843567,0.38717948717948708,0.61794871794871797
stroop,recording_disjoint,Recording-disjoint,f1,13,13,10000,0.57128205128205134,0.23844223798375336,0.4456410256410257,0.6974358974358974
stroop,recording_disjoint,Recording-disjoint,auroc,13,13,10000,0.54230769230769238,0.33469274083736977,0.37307692307692303,0.71923076923076923
stroop,recording_disjoint,Recording-disjoint,pr_auc,13,13,10000,0.63076923076923075,0.25658874663610043,0.50128205128205117,0.76794871794871788
stroop,recording_disjoint,Recording-disjoint,average_precision,13,13,10000,0.71025641025641018,0.20327622849518109,0.60769230769230764,0.81794871794871804
stroop,recording_disjoint,Recording-disjoint,log_loss,13,13,10000,3.1614421838334348,2.6859668532252154,1.8586112077445818,4.6887749477851015
