dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,13,0.50961538461538458,0.20704731281422067,0.5,0.39423076923076922,0.60576923076923073,0.21153846153846151
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,13,0.51923076923076927,0.20945212414223044,0.625,0.39423076923076922,0.61538461538461542,0.2211538461538462
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,rf,Random forest,balanced_accuracy,True,13,0.46153846153846156,0.18669699845141921,0.5,0.35576923076923078,0.54807692307692313,0.19230769230769235
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,13,0.52884615384615385,0.14571881950858084,0.5,0.45192307692307693,0.60576923076923073,0.1538461538461538
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,13,0.46153846153846156,0.16444837862006798,0.5,0.36538461538461536,0.53846153846153844,0.17307692307692307
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,13,0.52884615384615385,0.15439605249371186,0.5,0.45192307692307693,0.61538461538461542,0.16346153846153849
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.46153846153846156,0.30355796134747626,0.5,0.30769230769230771,0.61538461538461542,0.30769230769230771
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,13,0.5,0.25,0.5,0.36538461538461536,0.63461538461538458,0.26923076923076922
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.53846153846153844,0.26704700440952817,0.5,0.40384615384615385,0.67307692307692313,0.26923076923076927
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.46153846153846156,0.32025630761017426,0.5,0.28846153846153844,0.63461538461538458,0.34615384615384615
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,13,0.55769230769230771,0.1497861723788195,0.5,0.5,0.65384615384615385,0.15384615384615385
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,eegnet,EEGNet,balanced_accuracy,True,13,0.53846153846153844,0.13867504905630729,0.5,0.5,0.61538461538461542,0.11538461538461542
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,equal_blend_050,Equal blend (50%),balanced_accuracy,True,13,0.51923076923076927,0.18988863132818751,0.5,0.40384615384615385,0.61538461538461542,0.21153846153846156
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,extra_trees,Extra Trees,balanced_accuracy,True,13,0.5,0.27003086243366087,0.5,0.34615384615384615,0.63461538461538458,0.28846153846153844
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,13,0.53846153846153844,0.24677405839641225,0.5,0.40384615384615385,0.67307692307692313,0.26923076923076927
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,13,0.55769230769230771,0.23170217399907458,0.5,0.44230769230769229,0.67307692307692313,0.23076923076923084
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,rf,Random forest,balanced_accuracy,True,13,0.46153846153846156,0.28588593744843277,0.5,0.30769230769230771,0.61538461538461542,0.30769230769230771
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,13,0.48076923076923078,0.21557912462564408,0.5,0.36538461538461536,0.59615384615384615,0.23076923076923078
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,13,0.5,0.14433756729740643,0.5,0.42307692307692307,0.57692307692307687,0.1538461538461538
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,13,0.46153846153846156,0.20016019225635892,0.5,0.34615384615384615,0.55769230769230771,0.21153846153846156
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,15,0.59999999999999998,0.22756474745819988,0.5,0.48333333333333334,0.69999999999999996,0.21666666666666662
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,15,0.59999999999999998,0.18419709940325182,0.5,0.51666666666666672,0.69999999999999996,0.18333333333333324
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,cbsf,CB-SF,balanced_accuracy,True,15,0.58333333333333337,0.18093671611393647,0.5,0.5,0.68333333333333335,0.18333333333333335
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,dasf_clean,DASF,balanced_accuracy,True,15,0.59999999999999998,0.18419709940325182,0.5,0.51666666666666672,0.69999999999999996,0.18333333333333324
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,15,0.66666666666666663,0.12198750911856665,0.75,0.59999999999999998,0.71666666666666667,0.1166666666666667
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,eegnet,EEGNet,balanced_accuracy,True,15,0.56666666666666665,0.1484042099261659,0.5,0.5,0.65000000000000002,0.15000000000000002
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,equal_blend_050,Equal blend (50%),balanced_accuracy,True,15,0.55000000000000004,0.19364916731037082,0.5,0.45000000000000001,0.65000000000000002,0.20000000000000001
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,extra_trees,Extra Trees,balanced_accuracy,True,15,0.59999999999999998,0.18419709940325182,0.5,0.51666666666666672,0.69999999999999996,0.18333333333333324
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,15,0.59999999999999998,0.18419709940325182,0.5,0.51666666666666672,0.69999999999999996,0.18333333333333324
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,15,0.58333333333333337,0.20412414523193151,0.5,0.48333333333333334,0.68333333333333335,0.20000000000000001
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,rf,Random forest,balanced_accuracy,True,15,0.55000000000000004,0.23528098702858008,0.5,0.43333333333333335,0.66666666666666663,0.23333333333333328
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,15,0.55000000000000004,0.10350983390135313,0.5,0.5,0.59999999999999998,0.099999999999999978
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,15,0.6166666666666667,0.1599851183555461,0.5,0.55000000000000004,0.69999999999999996,0.14999999999999991
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,15,0.6333333333333333,0.18580583823930166,0.75,0.55000000000000004,0.71666666666666667,0.16666666666666663
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.63461538461538458,0.2192645048267573,0.5,0.51923076923076927,0.75,0.23076923076923073
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,13,0.65384615384615385,0.217429623155726,0.75,0.53846153846153844,0.76923076923076927,0.23076923076923084
