protocol,direction,subject,kind,replicates,n_training_people,n_original_training_rows,full_weight,weight_min,weight_max,weight_q025,weight_median,weight_q975,fraction_weight_gt_0_4,fraction_same_side_of_0_4_as_full,ood_fallback_fraction,benefit_q025,benefit_q975,catastrophe_q025,catastrophe_q975,single_class_catastrophe_fraction
cross_task,arithmetic_to_stroop,1,leave_one_meta_row_out,24,12,24,0.79999866518238449,0.7999956485884212,0.79999974722329836,0.79999575000804557,0.79999858353260955,0.7999996657346724,1,1,0,0.24339351559515074,0.29466649268319117,0.0044320056238307598,0.011264836892145944,0.04166666666666663
cross_task,arithmetic_to_stroop,1,row_bootstrap,1000,12,24,0.79999866518238449,0.63200290227264566,0.79999999999591287,0.79901322225624427,0.79999908686144383,0.7999999984904409,1,1,0,0.13394661416112436,0.40214077168459811,0,0.026859800905091349,0.36099999999999999
cross_task,arithmetic_to_stroop,2,leave_one_meta_row_out,24,12,24,0.79999995537500446,0.79999985051433531,0.7999999894173162,0.79999987569066167,0.79999994605238034,0.79999998697691654,1,1,0,0.31474131602062511,0.35980509394606269,0.0095654149415441217,0.018782246186810521,0.04166666666666663
cross_task,arithmetic_to_stroop,2,row_bootstrap,1000,12,24,0.79999995537500446,0.79915031399503644,0.79999999999998705,0.7999788526779541,0.79999992202713233,0.79999999989047788,1,1,0,0.21157532420857833,0.45423781675887048,0,0.053018576498902119,0.373
cross_task,arithmetic_to_stroop,3,leave_one_meta_row_out,24,12,24,0.79998059940681543,0.79995974394361857,0.79999505473069088,0.79996062531180623,0.79998135779893742,0.79999416398896905,1,1,0,0.19896636570989079,0.23729335710912439,0.0055499911614945675,0.01288130191240653,0.04166666666666663
cross_task,arithmetic_to_stroop,3,row_bootstrap,1000,12,24,0.79998059940681543,0.77444828600995863,0.79999999985334136,0.79806412039041286,0.79998626812625839,0.79999995355156817,1,1,0,0.12063899223794462,0.33375086995539416,0,0.041877815946584004,0.33099999999999996
cross_task,arithmetic_to_stroop,4,leave_one_meta_row_out,24,12,24,0.33750208619739069,0.038500686447374026,0.71633954907987507,0.095842143950946354,0.36139164479777863,0.58479239377194425,0.33333333333333331,0.66666666666666663,0,-0.039427059535180602,0.026374552329077823,0.018829788947929284,0.085079942763933492,0.04166666666666663
cross_task,arithmetic_to_stroop,4,row_bootstrap,1000,12,24,0.33750208619739069,0,0.79999999548041478,0,0.40000000000000002,0.79785592835517216,0.34399999999999997,0.65600000000000003,0.032000000000000001,-0.18166059232380696,0.11878136867590726,0,0.46459030946022739,0.35199999999999998
cross_task,arithmetic_to_stroop,5,leave_one_meta_row_out,24,12,24,0.7999978157719948,0.79999611340235754,0.79999927643049706,0.79999613455485385,0.7999979290746948,0.79999926872162774,1,1,0,0.2453141386351898,0.27861690062729472,0.00435185099544256,0.01125507541933434,0.04166666666666663
cross_task,arithmetic_to_stroop,5,row_bootstrap,1000,12,24,0.7999978157719948,0.78921400080084148,0.79999999973450842,0.79976739805739194,0.79999806873892298,0.7999999875612045,1,1,0,0.16285496202411007,0.35997693230616934,0,0.022560922675699199,0.375
cross_task,arithmetic_to_stroop,6,leave_one_meta_row_out,24,12,24,0.79999988253624632,0.79999937494496931,0.7999999985958921,0.79999953999996698,0.79999983460980328,0.7999999895820975,1,1,0,0.29463599489661146,0.38646132090331803,0.061902492889642162,0.35749219924883063,0.04166666666666663
cross_task,arithmetic_to_stroop,6,row_bootstrap,1000,12,24,0.79999988253624632,0,0.79999999999999738,0.79942541134615297,0.79999995395958434,0.79999999999999738,0.99199999999999999,0.99199999999999999,0.0080000000000000002,0.18600549237057856,0.66666666666666674,0,0.9389561991447567,0.31799999999999995
cross_task,arithmetic_to_stroop,7,leave_one_meta_row_out,24,12,24,0.79999472126260995,0.77613506605487803,0.79999999999771387,0.78973274882348821,0.79999391859024416,0.79999981453541003,1,1,0,0.12404770786955355,0.39526303736272722,0,0,1
cross_task,arithmetic_to_stroop,7,row_bootstrap,1000,12,24,0.79999472126260995,0,0.80000000000000004,0,0.79995147432734581,0.80000000000000004,0.67700000000000005,0.67700000000000005,0.219,0,0.80848306172302564,0,0,1
cross_task,arithmetic_to_stroop,8,leave_one_meta_row_out,24,12,24,0.7999929323216004,0.79998071062326803,0.799998853434852,0.79998262609498205,0.79999231281246619,0.7999986032378622,1,1,0,0.215289966801016,0.26585379623957622,0.003256557204806736,0.0097366391547472602,0.04166666666666663
cross_task,arithmetic_to_stroop,8,row_bootstrap,1000,12,24,0.7999929323216004,0.40000000000000002,0.79999999969125912,0.79373940670240084,0.7999926174506532,0.79999998990224996,0.999,0.999,0,0.10335949460187017,0.3641194990698583,0,0.041175827437537636,0.35899999999999999
cross_task,arithmetic_to_stroop,9,leave_one_meta_row_out,24,12,24,0.79996912158461608,0.79981287735955942,0.79999687516746021,0.79982258164958675,0.79996340584384695,0.79999644641147305,1,1,0,0.1694571819990999,0.24768463584191416,0.0062576431169169694,0.02651544785174215,0.04166666666666663
cross_task,arithmetic_to_stroop,9,row_bootstrap,1000,12,24,0.79996912158461608,7.5584825775440012e-05,0.79999999990198656,0.1321352027732311,0.79993436781556393,0.79999999764421925,0.93300000000000005,0.93300000000000005,0,-0.032046326768694566,0.39371839246684759,0,0.10227231445853405,0.34899999999999998
cross_task,arithmetic_to_stroop,10,leave_one_meta_row_out,24,12,24,0.79999999997252424,0.79999999898981433,0.79999999999820803,0.79999999953184409,0.79999999997447424,0.7999999999960048,1,1,0,0.44468274128854707,0.52437020904382958,0.025444317558020676,0.075420512016410937,0.04166666666666663
