dataset,setting,setting_display,comparison_family,subject,method,method_display,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,eegnet,EEGNet,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.25,0.50416666666666665,0.60833333333333328,0.66911509590714502,0.23693916375289192
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,equal_blend_050,Equal blend (50%),6,2,4,2,0,4,0,0.33333333333333331,0.5,0,1,,0,0.75,0.90833333333333333,0.91666666666666663,0.89489589888787913,0.32922749010096042
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,extra_trees,Extra Trees,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.625,0.76666666666666661,0.8041666666666667,0.70634750317124972,0.25816976609155501
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,fixed_blend_010,Fixed blend (10%),6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.5,0.73124999999999996,0.77083333333333326,1.1765411877480372,0.39477849966344608
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,fixed_blend_025,Fixed blend (25%),6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.5,0.73124999999999996,0.77083333333333326,1.0131265871499124,0.36177222849682417
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,rf,Random forest,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.625,0.8354166666666667,0.85416666666666663,0.80365176905156888,0.29784551493825778
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,riemann_mdm,Riemannian MDM,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.5,0.73124999999999996,0.77083333333333326,0.73911401674715638,0.26577143038173251
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,riemann_ts_logreg,Riemannian TS-LR,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.85009260206844883,0.28075148623140328
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,stack_recording,OOF recording-level stacking,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.375,0.54374999999999996,0.64583333333333326,2.3347183356909009,0.43509021861734504
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,always_fuse,Neural-classical stacking,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.72560864545013348,0.25214074231338096
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,always_nn,Feature-MLP (neural reference),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.76666666666666661,0.8041666666666667,3.979141990239476,0.22323751161542063
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,cbsf,CB-SF,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.75,0.87083333333333335,0.88749999999999996,0.76617721020650953,0.25082121290276632
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,dasf_clean,DASF,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,4.144971159643311,0.2845419563490022
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,eeg_conformer,EEG-Conformer,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.5,0.79583333333333339,0.81666666666666665,0.80028382933606268,0.26834773458639299
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,eegnet,EEGNet,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.625,0.8354166666666667,0.85416666666666663,0.68228404655194064,0.24458641842025605
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,equal_blend_050,Equal blend (50%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.75,0.87083333333333335,0.88749999999999996,0.75750216033098494,0.2374769861867676
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,extra_trees,Extra Trees,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.625,0.76666666666666661,0.8041666666666667,0.78261142048598542,0.23544548763512219
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.75,0.87083333333333335,0.88749999999999996,0.94922192409521866,0.22854275779763744
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.75,0.87083333333333335,0.88749999999999996,0.82932091980440881,0.23226342822829482
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,rf,Random forest,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.5,0.57916666666666661,0.6791666666666667,0.84224722792736451,0.25452115629795952
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,riemann_mdm,Riemannian MDM,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.5,0.73124999999999996,0.77083333333333326,0.63588582610267552,0.22534437336711619
