variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_accuracy,mean_recording_log_loss
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.75,0.5500361238431646
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.75,0.5047832844101268
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.75,0.5345398373436211
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,14,1,0.75,0.6463657912778943
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,1,0.75,0.6298195898876879
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.75,0.6579260103943619
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.75,0.624866920405749
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,0.5,1.1301689488241526
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.75,0.8185608151260378
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.75,0.43754450066403766
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.75,4.366387691819991
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,2.580359848582889
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.5,1.376515999133035
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.5,0.641657725331293
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.75,0.5789384395785174
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.75,0.558373250134004
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.75,0.6262326628626441
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.75,1.0427658021091375
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,14,1,0.75,0.5064833720006643
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,1,0.75,1.045137093237233
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.75,0.5530715551873366
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.655655246173474
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,1.0,0.30448103285284456
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.75,1.1413622535267216
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,1.0,0.42129746572842447
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,1.0,0.3163774016132823
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,1.4650556158216421
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.75,0.5172873732794379
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.75,0.557753379961032
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.5,0.47296735327416156
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.75,0.543252123842614
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.75,0.5017187075236236
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.75,0.3137245183945601
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,14,1,0.75,0.6595142741679383
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,1,0.75,0.6733397683819602
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.75,0.4802463212996943
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,1.0,0.4367542791180606
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.75,0.4920632551088896
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,0.75,4.716778417051626
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.5,0.8427558717765872
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.25,0.6849546522545682
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.75,1.145949362670794
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.75,0.45097475413830485
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.7340688709394172
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.6847721751727881
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.75,0.5287881835273162
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.75,0.9698846846908731
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.5,0.6243457282987486
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,14,1,0.75,0.450844733923542
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,1,0.5,0.5269346347468223
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.75,0.48036662377284906
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,1.0,0.4397994956034305
