dataset,protocol,direction,method,n_subjects,mean_accuracy,ci95_low,ci95_high
openbci,loso,stroop,riemann_mdm,15,0.5333333333333333,0.4666666666666667,0.6
openbci,loso,stroop,riemann_ts_logreg,15,0.5166666666666667,0.45,0.5833333333333334
