outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit,feature_shift_original
1,2,0.2868452605279098,0.2748655345489287,0.2181440679338484,0.6400699575198386,0.9039876554009524,0.0,0.3412579298019409
1,3,0.24148770277798567,0.1946436380904595,0.0591152719032689,0.4895951302177466,0.972683138596384,0.0,0.2918071150779724
1,4,0.5855749431951333,0.2526482725004101,0.3224081096517281,0.6580346098937815,0.8559674053150584,0.0,0.9366871118545532
1,5,0.24871352201620522,0.2290433206916809,0.156338938982727,0.5728754786761641,0.932089699849938,0.0,0.3148122131824493
1,6,0.7850743921390596,0.258720078794046,0.2368901100334495,0.6385611112755235,0.8997993470340031,0.0,1005.9386596679688
1,7,0.39044588477382836,0.2965251208402003,0.2424871519823949,0.6454384726377232,0.8925208757853552,0.0,0.4609047472476959
1,8,0.37147151705155323,0.2510021047142519,0.1158926805715881,0.5698977080329481,0.951860740101689,0.0,0.4024284482002258
1,9,0.23610877296946053,0.1958209541598241,0.0709106549471074,0.4870276985754305,0.9690713203103544,-0.25,0.3136845231056213
1,10,0.37242385401040246,0.2631898884065218,0.2970030762575053,0.6450283281644941,0.8571086386202962,0.25,0.6321888566017151
1,11,0.35266966155006385,0.2582691288221794,0.1867930299583804,0.6043453057992484,0.9208788406103848,-0.25,0.3823632299900055
1,12,0.3124485124895958,0.2101186077011446,0.4377391002795909,0.6630556109101388,0.7919248446798248,0.0,0.4175350069999695
1,13,0.3030829430150058,0.2319694288811011,0.2484270546384479,0.6089475771003734,0.8929221611372463,0.0,0.3390465378761291
2,1,0.41734384080599374,0.3266534994467647,0.2970901474246163,0.6763785411027631,0.8716604631126018,0.0,0.5089206695556641
2,3,0.24492363839077633,0.2430336743331734,0.0946063989281444,0.5353834492356899,0.9593665119848752,-0.25,0.2903745174407959
2,4,0.5438075709143931,0.273011595770273,0.3614722069583017,0.678694944343985,0.8392019399111047,0.25,0.8975048065185547
2,5,0.2202229924254297,0.2240730217901105,0.0771824370216313,0.545071395437993,0.9661727779742444,-0.25,0.2879325449466705
2,6,0.7097695741279613,0.2648068732064569,0.2906971130597105,0.6288556930498881,0.8685747239594098,0.0,747.2974853515625
2,7,0.3447994904517033,0.3035371630108967,0.1361870792429832,0.629637680670224,0.9416304719866756,0.0,0.4276320040225982
2,8,0.381617606163951,0.2717391560088907,0.1098854633859929,0.598056159523354,0.95116977405612,-0.25,0.3889447450637817
2,9,0.2543198142547973,0.2039405219033083,0.0674191357290169,0.471979842224148,0.9714451652758448,0.0,0.3421603143215179
2,10,0.3798082545996916,0.3088683934677432,0.2563832073775745,0.6613216699348023,0.8826829932793397,0.25,0.6037259101867676
