outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit,feature_shift_original
1,2,0.33415370501679265,0.241137493501045,0.1386828650998674,0.594767181633746,0.9402640241722346,0.0,0.3363009095191955
1,3,0.280389051984768,0.2541015097433377,0.204568000950181,0.6296635175923637,0.9107144646778677,0.0,0.325725108385086
1,4,0.7227476653982996,0.1796595924968005,0.5521948160944118,0.6834815515422081,0.7148910446746929,0.0,1259.9598388671875
1,5,0.2585610676250806,0.2535522195836092,0.3599389338802473,0.6676982137522657,0.8272248273749161,0.25,0.3514160513877868
1,6,0.5870159601258471,0.2056095205218397,0.4638099783942169,0.6700796370738009,0.7773402991941419,0.0,0.6644803881645203
1,7,0.16895070953139074,0.250558548902812,0.1729616765359609,0.5758843470224629,0.9241218727303632,0.25,0.2980182468891144
1,8,0.4081048356744168,0.233167693548291,0.1791722226881406,0.5941844515742754,0.925721289507456,0.0,0.4271509051322937
1,9,0.2956220965831834,0.1939901612878835,0.3012165328838166,0.6110006283865418,0.8421172971411697,0.0,0.3354949653148651
1,10,0.27449114149376597,0.2060283939542877,0.1175490259713813,0.523308289518621,0.9471714662796504,-0.25,0.4227827191352844
1,11,0.40466643596332336,0.2343202715895304,0.1259358565317125,0.564608182366897,0.9480879609448922,-0.25,0.3932588100433349
1,12,0.3738538611992853,0.275390730588915,0.2984102534712833,0.6597639471795487,0.8910751365523302,0.0,0.4550960063934326
1,13,0.37217807688305293,0.2539048348472876,0.3274481489744211,0.6564947981836828,0.8588259906911139,0.0,0.4092541933059692
1,14,0.7378750912087045,0.2295683449840103,0.1776816422000846,0.5722204960093759,0.9197818003720306,-0.25,0.7351799011230469
1,15,0.38395719757730856,0.1746300623307256,0.4644863753720119,0.6467936882199623,0.7640573730003063,0.0,0.615039050579071
2,1,0.450628560267745,0.1905143962695773,0.5199725332920621,0.6737903875214222,0.7392878112779266,0.0,0.5183069109916687
2,3,0.2935132766808241,0.2251605984077477,0.1687692647789188,0.5922684963761305,0.9258729529506502,0.0,0.3191947937011719
2,4,0.6798324906675962,0.2012549547422408,0.5532193422545427,0.6849207890889597,0.7302676919881288,0.25,791.49609375
2,5,0.2486759812246253,0.25818306924211,0.1916289237564268,0.6160126410345808,0.9243425269224912,0.0,0.3252229690551758
2,6,0.5487774584904985,0.2310816824076699,0.4515203448862731,0.6678591541500027,0.7819090592659126,0.25,0.6321699619293213
2,7,0.19843036714953527,0.3118796145923495,0.1159418279198653,0.597899355342653,0.955253617621684,0.0,0.3136037290096283
2,8,0.4028137613516933,0.2161333191822224,0.1272769595337094,0.5238291828903605,0.9456246455625302,-0.25,0.419466108083725
2,9,0.28182788073120746,0.2326638686648935,0.341793202244299,0.6367412696096807,0.815514245223292,0.25,0.3514153063297272
2,10,0.26973088425266295,0.2172973331568523,0.2894457888530539,0.6272882568051529,0.8826738705643934,0.0,0.4119741916656494
2,11,0.42014096828655645,0.2339210475103062,0.264127764844116,0.6236599011197874,0.8834163361262781,0.0,0.3984374105930328
2,12,0.3866512781332654,0.225305238278383,0.4772806416219237,0.6729216537002319,0.7922215458090979,0.0,0.4555181562900543
2,13,0.3871251505177992,0.2586397979068566,0.2939375095168772,0.6610282332780328,0.8672834872309841,0.5,0.4232525527477264
2,14,0.7151570500329203,0.2235582470558682,0.1498321990321132,0.5455428995276702,0.935668458842268,0.0,0.7074940800666809
2,15,0.37595045447471614,0.1747255132671028,0.4938830763595878,0.642738814117183,0.7448174740294151,0.0,0.6047789454460144
3,1,0.4661527579721418,0.2489316789509403,0.3954147642120398,0.6758361681531071,0.8194696387682838,0.25,0.5305647850036621
3,2,0.33184590225537897,0.2534244326619389,0.1346112719690535,0.5916464375847365,0.9422922810682884,0.0,0.3370672762393951
3,4,0.709563140528602,0.2170438828305322,0.4859587464604281,0.6847115436136443,0.7490934086096538,0.25,808.831787109375
3,5,0.2392286166384227,0.2557747751776176,0.1525736901698014,0.597036450767409,0.933190697337869,0.0,0.3288196921348572
3,6,0.5736038857615345,0.2132098400761158,0.4721385879488318,0.67238926873783,0.7654365894147905,0.25,0.6508451104164124
3,7,0.1847929421280024,0.3207866781042197,0.147543046659465,0.6094001310721665,0.9360079304354724,0.25,0.3040100634098053
3,8,0.4029712141548535,0.2517200537828762,0.1515168865140836,0.5826696226704726,0.9377672107807704,0.0,0.416982501745224
3,9,0.28698770193489836,0.2279178228784405,0.2681790015820068,0.6236211864957136,0.8702553105752041,0.0,0.3348361551761627
3,10,0.26780584562050147,0.2397992021719917,0.1604535983844147,0.576947366439627,0.9301855694848808,0.0,0.4142496585845947
3,11,0.4111484813797973,0.2460708966167161,0.1240289121291831,0.6106329120807672,0.949886888420026,0.0,0.3895570039749145
3,12,0.3608031487143756,0.2651580438023674,0.3846936861515097,0.6737004785435685,0.8565056916411596,0.0,0.4444182217121124
3,13,0.3682340715221182,0.2744286513652064,0.1779007437044104,0.6317792495320134,0.9229661567887264,0.0,0.4076404869556427
3,14,0.7400839742757401,0.2379110468832278,0.2346893950775379,0.604478945568188,0.8976386962113557,0.0,0.7251375913619995
3,15,0.37896461170484474,0.1685593507751158,0.4560511670686947,0.6397826396548104,0.7584221630345677,0.25,0.6126853227615356
4,1,0.4605727089517661,0.1673525431275417,0.5724736275849516,0.6848341702114213,0.7068807295170324,0.25,0.543300449848175
4,2,0.2884982066009362,0.2609284012803132,0.1410324628591672,0.6059809531820092,0.9409315555322508,0.0,0.3175586760044098
4,3,0.25722761380459347,0.2603221020846592,0.171935576879467,0.6277677229089687,0.928159760674609,0.0,0.2820741534233093
4,5,0.2529351806140658,0.2398019440318939,0.1995678703272871,0.6224641429273495,0.9145278008846158,0.0,0.3185305297374725
4,6,0.6437813831655741,0.2133327710437438,0.4963707434709729,0.6741752910657828,0.7589269210726528,0.0,0.7964403629302979
4,7,0.18870786220615515,0.2153173385460795,0.1467260538506201,0.5530105977196494,0.94045940286377,-0.25,0.3425783216953277
4,8,0.37513669941644257,0.2372614607840753,0.2082938238034767,0.6119584990486171,0.9087565316745082,-0.25,0.3907789885997772
4,9,0.24760468169887107,0.2071231650093591,0.262119615640413,0.590116369197616,0.8779111700659001,0.0,0.3041800856590271
4,10,0.32920008383771693,0.22761841812915,0.1898357837240625,0.5794713352071685,0.9153671964836828,0.0,0.4833309948444366
4,11,0.38628444697856507,0.2540500597890889,0.1222517795733202,0.6083518756564261,0.9496817259127612,-0.25,0.3741245865821838
4,12,0.33220300564787153,0.254389299817867,0.3176774460329158,0.6594749876703713,0.8814402179863616,0.0,0.4274247586727142
4,13,0.3390625664394119,0.2534094126819756,0.2408882995709063,0.636554784767288,0.8997338971984921,0.0,0.38907590508461
4,14,0.8311735272106371,0.2275385997727088,0.117801426157369,0.5524815285213142,0.9501721563965384,0.0,0.8883283734321594
4,15,0.4429442294244311,0.2063664659095361,0.4530876217215596,0.6636714109814607,0.7768299912488116,0.0,0.753759503364563
5,1,0.46654425269754385,0.227112497675679,0.489532999110371,0.6844191242059697,0.7596647081703976,0.25,0.5454490780830383
5,2,0.3278971802025915,0.2401723826269677,0.3564355869068011,0.6633773625613283,0.8256920458454835,0.25,0.3274818658828735
5,3,0.2783784009494815,0.2414775426148839,0.2067438394351971,0.6119264203549801,0.9118054677815765,0.0,0.312240868806839
5,4,0.7077694196216222,0.1829981584380612,0.5419018166832538,0.6851757740597839,0.7055518786470454,0.5,801.1905517578125
5,6,0.5767588266184687,0.2046631345038428,0.5031746149003995,0.6768931909805759,0.7466678518359944,0.25,0.646677553653717
5,7,0.18111659557071774,0.2695739187648803,0.1720596873191136,0.5774908868405532,0.9283481095060072,0.0,0.2997055053710937
5,8,0.4064592970898988,0.205284373968639,0.1190215009790577,0.5479037269957328,0.948646267140302,-0.25,0.4221791625022888
5,9,0.27809754660487795,0.2065229198176385,0.2839587817077209,0.6075728698546463,0.8563927362868916,0.0,0.3339546024799347
5,10,0.26479965181238874,0.2114685751851535,0.1617898633872476,0.6036301086105936,0.9254168557854832,0.0,0.4177095890045166
5,11,0.40734108171391026,0.201088781752162,0.1265587009612079,0.5866848922206968,0.9470803939925574,0.0,0.3877187669277191
5,12,0.3636556882698553,0.2436867528908002,0.3931108616724532,0.6744727411609843,0.842851792219031,0.0,0.4482208490371704
5,13,0.36582009490218903,0.2485080768111379,0.2725349878448148,0.6447091551320107,0.8842878678841377,0.0,0.4109331667423248
5,14,0.7446266617844808,0.2208146169884387,0.1866705369952297,0.5629933865366827,0.922434956537754,0.0,0.7263142466545105
5,15,0.3700644899444884,0.1925094396136883,0.4371663630448254,0.6591669120389454,0.788755807620787,0.0,0.6098153591156006
6,1,0.43425357823110616,0.1776031460155122,0.5148660335734138,0.6763357246861725,0.7439004440588513,0.0,0.5060047507286072
6,2,0.27462301444496307,0.2654149534394863,0.1398928896948672,0.5874543147294872,0.9420374748919176,0.0,0.3012933731079101
6,3,0.23888978343420347,0.2257314631266079,0.2906977903504079,0.6212081166239452,0.8646788852705058,0.0,0.2748748660087585
6,4,0.7354099161845526,0.212294492191055,0.4955270949532913,0.6867179852734605,0.7415701569737615,0.25,808.6315307617188
6,5,0.2309427566951425,0.2260588578516514,0.1249510546176234,0.5953271726879187,0.9441664419266448,0.0,0.3069094717502594
6,7,0.1801904770886088,0.3312335267279274,0.1454359657156057,0.609863764557448,0.937552793674361,0.25,0.3172541856765747
6,8,0.36698601877121156,0.2565006771486701,0.2015306051088617,0.5890744117585608,0.9143432176641416,0.0,0.3792806267738342
6,9,0.23911694678086431,0.188675554625099,0.2825943916512156,0.5728248662673201,0.8598058853467601,0.0,0.2959413230419159
6,10,0.2788099937164597,0.2426028315765243,0.2459275171052212,0.6235399182191271,0.8908600697508532,0.0,0.4512235820293426
6,11,0.3540048018796438,0.270221781474982,0.1325569017375976,0.6071818306381677,0.9463271327278155,-0.25,0.3550093472003937
6,12,0.3262163475842733,0.2646494447808141,0.3921823438623538,0.6708614171030655,0.8431112358588299,0.0,0.4082779586315155
6,13,0.31272372190084896,0.2697169198106401,0.2187431117735944,0.6266536145923463,0.9095305109201972,0.0,0.3716570436954498
6,14,0.7772453953847025,0.2077953392362461,0.1895324030882321,0.5759762180469156,0.9142618046866524,-0.25,0.7993190884590149
6,15,0.39603839898048854,0.1519926702516636,0.4643229545925084,0.6244987832214249,0.7630410847834412,0.0,0.6812838912010193
7,1,0.44915725628888653,0.1753619802314896,0.5460335487586988,0.6858066087392245,0.7160479685869711,0.0,0.5099250078201294
7,2,0.3310037647324421,0.2505813145268188,0.0891908303409721,0.589963693090671,0.9630920304822536,0.0,0.3288017809391022
7,3,0.27119259452560973,0.2635723604871887,0.1412548835072909,0.6013921008714216,0.9389939554336828,0.0,0.2945412397384643
7,4,0.7275788138212729,0.2233434527871865,0.4365763575204654,0.6821469336026864,0.7925054421116998,0.0,820.2030639648438
7,5,0.22710843933294456,0.2623002066721067,0.1241436466598392,0.5942821816490059,0.9488960663813922,0.0,0.3197022974491119
7,6,0.5802589089189175,0.2225540308974362,0.5030521157839115,0.6826235045197256,0.756415890435041,0.25,0.6714149713516235
7,8,0.3941074686274306,0.2607420076974834,0.144151811235536,0.6091674572716925,0.9435339851990372,0.0,0.4011653363704681
7,9,0.25621221878732003,0.1921903829733677,0.3116519274729842,0.6030867644440948,0.8381981290082782,0.0,0.3214762210845947
7,10,0.28408124554313635,0.2442523207930308,0.3252398400934719,0.6458813304318249,0.8538077663090149,0.0,0.4300430119037628
