protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects
cross_task,1,arithmetic_to_stroop,0.7829556350445362,0.09173850978492487,0.09173850978492487,0.30386764121637927,False,0.47320436242602576,0.1217507442029848,24,24
cross_task,1,stroop_to_arithmetic,0.7999999999316008,0.46507980768104856,0.46507980768104856,0.028590779716590745,False,1.5708402743847427,0.1190795185094375,24,24
cross_task,2,arithmetic_to_stroop,0.795949493816738,0.12383175368069099,0.12383175368069099,0.3643575228049291,False,0.27727852932723746,0.15773815993622645,24,24
cross_task,2,stroop_to_arithmetic,0.6313487400449739,0.05052492073307905,0.05052492073307905,0.4824882722922137,False,0.4409809378144197,0.15170484142760124,24,24
cross_task,3,arithmetic_to_stroop,0.7999887430430536,0.23043031057190763,0.23043031057190763,0.14005957040289188,False,0.5318887969078168,0.13132703561683412,24,24
cross_task,3,stroop_to_arithmetic,0.7999999997409563,0.4379272493113763,0.4379272493113763,0.018192829025418574,False,5.46164039917789,0.14091903004469786,24,24
cross_task,4,arithmetic_to_stroop,0.7999742221057724,0.20838884941567626,0.20838884941567626,0.030649999517680333,False,7.395788077726867,0.19165971274353533,24,24
cross_task,4,stroop_to_arithmetic,0.03469352220390997,-0.040852238674792526,-0.040852238674792526,0.42044458196201095,False,1.8657668178880058,0.2495671906987567,24,24
cross_task,5,arithmetic_to_stroop,0.7999979995423213,0.278445951368188,0.278445951368188,0.4093236224359892,False,0.702425463510542,0.08039132948433778,24,24
cross_task,5,stroop_to_arithmetic,0.7305244727107757,0.06038680101191408,0.06038680101191408,0.26662075355041553,False,1.7340858527765817,0.07995107819819702,24,24
cross_task,6,arithmetic_to_stroop,0.7999999978609659,0.3990633511487435,0.3990633511487435,0.08535988933028754,False,1.6336586255804226,0.45253703791344213,24,24
cross_task,6,stroop_to_arithmetic,0.7999999991709441,0.4296312658304582,0.4296312658304582,0.317589328305974,False,2.620735168109842,0.3045486936778132,24,24
cross_task,7,arithmetic_to_stroop,0.45768064294311606,0.009718468297046354,0.009718468297046354,0.07819834160765185,False,5.154524706681156,1.1125143174718137,24,24
cross_task,7,stroop_to_arithmetic,0.040942723325030794,-0.05460975178994529,-0.05460975178994529,0.07576622018492207,False,4.4137427603871195,0.9736566493868497,24,24
cross_task,8,arithmetic_to_stroop,0.7783601096958952,0.10314667041919509,0.10314667041919509,0.6298730491107078,False,0.8072236962823061,0.03251893522952368,24,24
cross_task,8,stroop_to_arithmetic,0.79092995470668,0.11493173459883532,0.11493173459883532,0.5113418307186428,False,0.8022950625562656,0.031712115309128916,24,24
cross_task,9,arithmetic_to_stroop,0.6463920456376666,0.061247965117578185,0.061247965117578185,0.6501582639873426,False,0.7088407007161355,0.1150489329065867,24,24
cross_task,9,stroop_to_arithmetic,0.7999248009749236,0.19465234052795874,0.19465234052795874,0.18419291576418914,False,0.4040764300799081,0.10273250656445934,24,24
cross_task,10,arithmetic_to_stroop,0.7999999866028428,0.35957273497490133,0.35957273497490133,0.02942280961990584,False,1.6593427351942476,0.3038331754642028,24,24
cross_task,10,stroop_to_arithmetic,0.7999999483400532,0.3332254812826869,0.3332254812826869,0.04233384083144467,False,1.3144100793931892,0.2407079023380249,24,24
cross_task,11,arithmetic_to_stroop,0.7999936402731469,0.24436351684522262,0.24436351684522262,0.19032088564547162,False,0.7225140718917836,0.2901983712813253,24,24
cross_task,11,stroop_to_arithmetic,0.16487582655539493,-0.011543112490543989,-0.011543112490543989,0.30858891189221876,False,1.7987134421629027,0.2827267255436726,24,24
cross_task,12,arithmetic_to_stroop,0.7999994984607318,0.31263729768415205,0.31263729768415205,0.539770052622716,False,1.3219299319106663,0.06932280582512101,24,24
cross_task,12,stroop_to_arithmetic,0.7999999979861665,0.39865109740169025,0.39865109740169025,0.052989105244992646,False,1.1720332366926687,0.06783336560903988,24,24
cross_task,13,arithmetic_to_stroop,0.799999999661911,0.46063671896009134,0.46063671896009134,0.5789069941228587,False,2.3030247555523333,0.3393151116197184,24,24
