protocol,subject,direction,disagreement,entropy_nn,entropy_fuse,confidence_nn,feature_shift,benefit,feature_shift_original
cross_task,1,arithmetic_to_stroop,0.24691052187311482,0.2103839591322993,0.6192266030524717,0.8961684717063874,0.1217507442029848,0.0,
cross_task,1,stroop_to_arithmetic,0.21418837341771652,0.5789752371780381,0.6850954208972312,0.6927950173577603,0.1190795185094375,0.3333333333333333,
cross_task,2,arithmetic_to_stroop,0.3299780732061154,0.27917147143420157,0.6802608865629941,0.8781481088175022,0.15773815993622645,0.6666666666666667,
cross_task,2,stroop_to_arithmetic,0.35750476060285724,0.09893957934488108,0.5986640983196927,0.9579146251380529,0.15170484142760124,-0.3333333333333333,
cross_task,3,arithmetic_to_stroop,0.2375488872192399,0.37444824330817145,0.6366317294213965,0.8305434459715728,0.13132703561683412,0.3333333333333333,
cross_task,3,stroop_to_arithmetic,0.15758489086792288,0.005131689505269747,0.10155657921067458,0.9973229369031119,0.14091903004469786,0.3333333333333333,
cross_task,4,arithmetic_to_stroop,0.027408184097407425,0.004898554502680787,0.04300923595566266,0.9981209638226237,0.19165971274353533,0.3333333333333333,
cross_task,4,stroop_to_arithmetic,0.21555028012974278,0.02236878830721779,0.500363210430985,0.9906156356538726,0.2495671906987567,0.0,
cross_task,5,arithmetic_to_stroop,0.40759935622644683,0.3142860100489947,0.6773104063441124,0.8578816746642611,0.08039132948433778,0.0,
cross_task,5,stroop_to_arithmetic,0.21054459450909038,0.040085161278521374,0.47351774048709383,0.9848075182884777,0.07995107819819702,0.0,
cross_task,6,arithmetic_to_stroop,0.3287134752114193,0.48844573641223227,0.6454364338465826,0.7406998816476477,0.45253703791344213,0.0,
cross_task,6,stroop_to_arithmetic,0.6478844786146528,0.3001066230628982,0.46058136433041286,0.8708234964772931,0.3045486936778132,1.0,
cross_task,7,arithmetic_to_stroop,0.4269257185249535,0.18704083716121328,0.6895435952686053,0.9317440693484846,1.1125143174718137,-0.3333333333333333,
cross_task,7,stroop_to_arithmetic,0.31899933757550875,0.1681719543616727,0.6565099104438614,0.9437408908865118,0.9736566493868497,0.0,
cross_task,8,arithmetic_to_stroop,0.39764338066891675,0.10548544470580318,0.6805362758784845,0.9569653463000056,0.03251893522952368,-0.3333333333333333,
cross_task,8,stroop_to_arithmetic,0.3321296141920989,0.08403836056635713,0.5945112943479305,0.9646260415318844,0.031712115309128916,0.0,
