task,task_display,variant,variant_display,variant_role,metric,n_participants,participant_macro_mean,participant_standard_deviation,ci95_percentile_low,ci95_percentile_high
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,f1,15,0.31777777777777777,0.30702532511919972,0.17333333333333334,0.46888888888888897
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,auroc,15,0.66666666666666663,0.30860669992418382,0.51111111111111107,0.82222222222222219
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,pr_auc,15,0.51666666666666672,0.40970372570571395,0.32222222222222219,0.72777777777777786
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,average_precision,15,0.6333333333333333,0.31622776601683794,0.4777777777777778,0.78888888888888897
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,log_loss,15,1.2130159630209947,0.92439644453113023,0.81845475148140656,1.7110381261348357
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,brier_score,15,0.34227730932581152,0.18244784236030501,0.25633377812761132,0.43540229318117846
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,accuracy,13,0.61538461538461542,0.299572344757639,0.46153846153846156,0.76923076923076927
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,balanced_accuracy,13,0.61538461538461542,0.299572344757639,0.46153846153846156,0.76923076923076927
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,sensitivity,13,0.61538461538461542,0.50636968354183332,0.30769230769230771,0.84615384615384615
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,specificity,13,0.61538461538461542,0.50636968354183332,0.38461538461538464,0.84615384615384615
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,f1,13,0.51282051282051289,0.44337478117411749,0.28205128205128199,0.7435897435897435
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,auroc,13,0.61538461538461542,0.50636968354183332,0.30769230769230771,0.84615384615384615
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,pr_auc,13,0.71153846153846156,0.37977726265637501,0.53846153846153844,0.88461538461538458
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,average_precision,13,0.80769230769230771,0.25318484177091666,0.69134615384615472,0.92307692307692313
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,log_loss,13,2.5415863117406583,2.8842866637288678,1.150330718926688,4.1447131403073776
