protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion,selected_input_method,gate_source_recordings,inner_folds,selected_epoch,task
cross_task,1,stroop_to_arithmetic,1335,0.3333333333333333,0.3333333333333333,0.0,0.07583743395791101,0.0351674867915822,False,always_nn,3,2.0,1.0,
cross_task,1,stroop_to_arithmetic,1388,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,1.0,
cross_task,1,stroop_to_arithmetic,1441,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,1.0,
cross_task,1,stroop_to_arithmetic,1494,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,1.0,
cross_task,1,stroop_to_arithmetic,1547,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,1.0,
cross_task,1,arithmetic_to_stroop,1335,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.07583743395791101,0.0351674867915822,False,always_nn,3,2.0,1.0,
cross_task,1,arithmetic_to_stroop,1388,0.6666666666666666,1.0,0.33333333333333337,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,9.0,
cross_task,1,arithmetic_to_stroop,1441,0.6666666666666666,0.6666666666666666,0.0,0.07583743395791101,0.0351674867915822,False,always_nn,3,2.0,7.0,
cross_task,1,arithmetic_to_stroop,1494,0.6666666666666666,1.0,0.33333333333333337,0.07583743395791101,0.0351674867915822,True,always_fuse,3,2.0,22.0,
cross_task,1,arithmetic_to_stroop,1547,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.07583743395791101,0.0351674867915822,False,always_nn,3,2.0,2.0,
cross_task,2,stroop_to_arithmetic,1335,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.06338295448284632,0.03267659089656927,False,always_nn,3,2.0,8.0,
cross_task,2,stroop_to_arithmetic,1388,0.6666666666666666,0.6666666666666666,0.0,0.06338295448284632,0.03267659089656927,False,always_nn,3,2.0,11.0,
cross_task,2,stroop_to_arithmetic,1441,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.06338295448284632,0.03267659089656927,False,always_nn,3,2.0,6.0,
cross_task,2,stroop_to_arithmetic,1494,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.06338295448284632,0.03267659089656927,False,always_nn,3,2.0,30.0,
cross_task,2,stroop_to_arithmetic,1547,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.06338295448284632,0.03267659089656927,False,always_nn,3,2.0,4.0,
cross_task,2,arithmetic_to_stroop,1335,0.3333333333333333,1.0,0.6666666666666667,0.06338295448284632,0.03267659089656927,True,always_fuse,3,2.0,1.0,
cross_task,2,arithmetic_to_stroop,1388,0.3333333333333333,1.0,0.6666666666666667,0.06338295448284632,0.03267659089656927,True,always_fuse,3,2.0,1.0,
cross_task,2,arithmetic_to_stroop,1441,0.3333333333333333,1.0,0.6666666666666667,0.06338295448284632,0.03267659089656927,True,always_fuse,3,2.0,1.0,
cross_task,2,arithmetic_to_stroop,1494,0.3333333333333333,1.0,0.6666666666666667,0.06338295448284632,0.03267659089656927,True,always_fuse,3,2.0,1.0,
cross_task,2,arithmetic_to_stroop,1547,0.3333333333333333,1.0,0.6666666666666667,0.06338295448284632,0.03267659089656927,True,always_fuse,3,2.0,1.0,
cross_task,3,stroop_to_arithmetic,1335,0.6666666666666666,1.0,0.33333333333333337,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,50.0,
cross_task,3,stroop_to_arithmetic,1388,1.0,1.0,0.0,0.03893260541228213,0.027786521082456425,False,always_nn,3,2.0,23.0,
cross_task,3,stroop_to_arithmetic,1441,1.0,1.0,0.0,0.03893260541228213,0.027786521082456425,False,always_nn,3,2.0,7.0,
cross_task,3,stroop_to_arithmetic,1494,0.6666666666666666,1.0,0.33333333333333337,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,12.0,
cross_task,3,stroop_to_arithmetic,1547,0.6666666666666666,1.0,0.33333333333333337,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,1.0,
cross_task,3,arithmetic_to_stroop,1335,0.6666666666666666,0.6666666666666666,0.0,0.03893260541228213,0.027786521082456425,False,always_nn,3,2.0,1.0,
