task,strategy,strategy_label,held_out_subject,split_seed,fold,train_windows,validation_windows,train_recordings,validation_recordings,train_participants,validation_participants,overlapping_recordings,recording_overlap_rate,overlapping_participants,participant_overlap_rate,nominal_adjacent_window_raw_overlap,validation_window_accuracy,validation_window_log_loss,validation_recording_accuracy
arithmetic,random_window,Random-window split,2,1547,2,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.029065643840679316,1.0
arithmetic,recording_disjoint,Recording-disjoint split,2,1547,1,402,586,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6723549488054608,1.3799096464702414,0.5
arithmetic,recording_disjoint,Recording-disjoint split,2,1547,2,586,402,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6592039800995025,1.8770812643093235,0.5
arithmetic,random_window,Random-window split,3,1335,1,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.025839468646396278,1.0
arithmetic,random_window,Random-window split,3,1335,2,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.027351059477765907,1.0
arithmetic,recording_disjoint,Recording-disjoint split,3,1335,1,251,318,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5314465408805031,3.25279955161362,0.5
arithmetic,recording_disjoint,Recording-disjoint split,3,1335,2,318,251,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6414342629482072,1.634468751926194,0.5
arithmetic,random_window,Random-window split,3,1388,1,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9855072463768116,0.039741035642511434,1.0
arithmetic,random_window,Random-window split,3,1388,2,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9855072463768116,0.03918240093209465,1.0
arithmetic,recording_disjoint,Recording-disjoint split,3,1388,1,228,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.3724340175953079,3.1158283823177455,0.5
arithmetic,recording_disjoint,Recording-disjoint split,3,1388,2,341,228,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5921052631578947,3.2364883036272585,0.5
arithmetic,random_window,Random-window split,3,1441,1,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9855072463768116,0.03858816337798911,1.0
arithmetic,random_window,Random-window split,3,1441,2,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.020077099108714677,1.0
arithmetic,recording_disjoint,Recording-disjoint split,3,1441,1,228,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.3724340175953079,3.1158283823177455,0.5
arithmetic,recording_disjoint,Recording-disjoint split,3,1441,2,341,228,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5921052631578947,3.2364883036272585,0.5
arithmetic,random_window,Random-window split,3,1494,1,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9855072463768116,0.036087662921398644,1.0
arithmetic,random_window,Random-window split,3,1494,2,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.03468968899354351,1.0
arithmetic,recording_disjoint,Recording-disjoint split,3,1494,1,228,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.3724340175953079,3.1158283823177455,0.5
arithmetic,recording_disjoint,Recording-disjoint split,3,1494,2,341,228,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5921052631578947,3.2364883036272585,0.5
arithmetic,random_window,Random-window split,3,1547,1,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.04971782717746508,1.0
arithmetic,random_window,Random-window split,3,1547,2,500,69,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.025088037953626876,1.0
arithmetic,recording_disjoint,Recording-disjoint split,3,1547,1,251,318,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5314465408805031,3.25279955161362,0.5
arithmetic,recording_disjoint,Recording-disjoint split,3,1547,2,318,251,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6414342629482072,1.634468751926194,0.5
arithmetic,random_window,Random-window split,4,1335,1,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9875,0.15056663375122506,1.0
arithmetic,random_window,Random-window split,4,1335,2,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0010410843336396696,1.0
arithmetic,recording_disjoint,Recording-disjoint split,4,1335,1,340,326,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6441717791411042,1.5913489409283532,0.5
arithmetic,recording_disjoint,Recording-disjoint split,4,1335,2,326,340,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.65,10.421597053889275,0.5
arithmetic,random_window,Random-window split,4,1388,1,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.002226681734890864,1.0
arithmetic,random_window,Random-window split,4,1388,2,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0011403774039888855,1.0
arithmetic,recording_disjoint,Recording-disjoint split,4,1388,1,329,337,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.658753709198813,1.7485103158402164,0.5
arithmetic,recording_disjoint,Recording-disjoint split,4,1388,2,337,329,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6960486322188449,10.537303500639942,0.5
