task,left_strategy,right_strategy,difference_definition,n_paired_participants,mean_paired_difference,paired_ci95_low,paired_ci95_high,interpretation_warning
arithmetic,random_window,recording_disjoint,left minus right,15,0.49,0.43666666666666665,0.5399999999999999,Random-window versus recording-disjoint isolates same-recording contamination most directly.
arithmetic,recording_disjoint,participant_disjoint,left minus right,15,-0.09000000000000001,-0.16333333333333336,-0.013333333333333338,Participant-disjoint comparisons include participant domain shift and different training-set scope; do not attribute the full difference to window leakage.
arithmetic,random_window,participant_disjoint,left minus right,15,0.4,0.3333333333333333,0.4666666666666667,Participant-disjoint comparisons include participant domain shift and different training-set scope; do not attribute the full difference to window leakage.
stroop,random_window,recording_disjoint,left minus right,15,0.4699999999999999,0.38999999999999996,0.55,Random-window versus recording-disjoint isolates same-recording contamination most directly.
stroop,recording_disjoint,participant_disjoint,left minus right,15,-0.10666666666666667,-0.2533333333333333,0.03666666666666666,Participant-disjoint comparisons include participant domain shift and different training-set scope; do not attribute the full difference to window leakage.
stroop,random_window,participant_disjoint,left minus right,15,0.36333333333333334,0.26,0.4666666666666667,Participant-disjoint comparisons include participant domain shift and different training-set scope; do not attribute the full difference to window leakage.
