dataset,direction,subject,method,n_recordings,accuracy,direction_label,method_label
openbci,arithmetic_to_stroop,7,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,8,eeg_conformer,4,1.0,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,9,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,10,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,11,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,12,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,13,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,14,eeg_conformer,4,0.75,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,15,eeg_conformer,4,0.5,Arithmetic to Stroop,EEG-Conformer
openbci,arithmetic_to_stroop,1,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,2,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,3,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,4,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,5,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,6,eegnet,4,0.5,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,7,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,8,eegnet,4,0.25,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,9,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,10,eegnet,4,0.5,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,11,eegnet,4,0.25,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,12,eegnet,4,1.0,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,13,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,14,eegnet,4,0.75,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,15,eegnet,4,0.5,Arithmetic to Stroop,EEGNet
openbci,arithmetic_to_stroop,1,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,2,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,3,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,4,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,5,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,6,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,7,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,8,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,9,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,10,equal_blend_050,4,0.5,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,11,equal_blend_050,4,0.25,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,12,equal_blend_050,4,0.5,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,13,equal_blend_050,4,1.0,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,14,equal_blend_050,4,0.75,Arithmetic to Stroop,Equal blend (lambda=0.50)
