dataset,protocol,method,method_display,comparator,n_subjects,mean_difference,ci95_low,ci95_high,noninferiority_margin,noninferior,superior_by_ci,wilcoxon_p_two_sided,wilcoxon_p_fdr
openbci,loso,always_fuse,Always-fuse,always_nn,15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,-0.05,True,False,0.5637028616507731,0.780306977851651
openbci,loso,cbsf,CB-SF (exploratory robust implementation),always_nn,15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,-0.05,True,False,0.5637028616507731,0.780306977851651
openbci,loso,dasf_clean,DASF (exploratory corrected implementation),always_nn,15,0.0,0.0,0.0,-0.05,True,False,1.0,1.0
openbci,loso,equal_blend_050,Equal-weight soft fusion (w=0.50),always_nn,15,0.03333333333333333,-0.05,0.13333333333333333,-0.05,False,False,0.6069054272179508,0.780306977851651
openbci,loso,extra_trees,ExtraTrees,always_nn,15,-0.05,-0.11666666666666667,0.016666666666666666,-0.05,False,False,0.17971249487899976,0.5391374846369993
openbci,loso,fixed_blend_010,Fixed soft fusion (w=0.10),always_nn,15,0.0,-0.05,0.05,-0.05,False,False,1.0,1.0
openbci,loso,fixed_blend_025,Fixed soft fusion (w=0.25),always_nn,15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,-0.05,True,False,0.5637028616507731,0.780306977851651
openbci,loso,rf,Random forest,always_nn,15,-0.05,-0.11666666666666667,0.016666666666666666,-0.05,False,False,0.17971249487899976,0.5391374846369993
openbci,loso,stack_recording,Recording-level OOF stacker,always_nn,15,0.06666666666666667,-0.016666666666666666,0.15,-0.05,True,False,0.17006696145390487,0.5391374846369993
