outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit
1,2,0.2821883032837627,0.2285386275887302,0.2151999852089896,0.58734759785325,0.9071201174861476,0.0
1,3,0.3247668647977529,0.1909268926182299,0.0551865653981007,0.4826327964519881,0.9767434973465768,0.0
1,4,0.474873386191803,0.2672631026804899,0.2643877268987801,0.6599531002601541,0.8857128485095787,0.0
1,5,0.2471969543219174,0.2137854986959433,0.1082003846391546,0.5281523827982703,0.9532833410934968,-0.25
1,6,0.6394461998063605,0.2218807061430872,0.3821656559472587,0.6565226667948363,0.8177496359000145,-0.5
1,7,0.3038607035902887,0.2148977791942364,0.2748238841943788,0.6062670981161756,0.8830627845307595,-0.25
1,8,0.3325342475364115,0.2375284136630416,0.1193191030066221,0.5677510687351448,0.9500016655583164,0.0
1,9,0.2509337675167394,0.1952001127751435,0.1572485863528622,0.5255640452096755,0.9341754738544408,0.0
1,10,0.2710519199956354,0.2104096039642887,0.372481468010243,0.6477195495951297,0.8307284506738286,-0.25
1,11,0.3414695201473114,0.2286745823658894,0.2025139865359138,0.6013873693528609,0.912534288795931,0.0
1,12,0.2878423003266706,0.2224090997984832,0.4020294181490373,0.669998001851011,0.8170137492458472,0.0
1,13,0.315671604649859,0.238846057751023,0.1965602735803025,0.5837874809652103,0.9182888616858144,-0.25
1,14,0.378862229627647,0.1079620986119201,0.1205567621434364,0.3632729379820378,0.9627272838201278,0.0
1,15,0.2845651818932028,0.1953554845316748,0.290354861198565,0.5870057856268,0.8735566753733794,0.0
2,1,0.4761500896022694,0.3174440161251956,0.2123192601948175,0.6575928177416731,0.922549903575348,-0.25
2,3,0.3394199151624729,0.2013731302909853,0.0728280432673851,0.4957731831311959,0.9686306010212816,0.0
2,4,0.4236755755037152,0.2818477039181161,0.1872384025449934,0.6472796317368555,0.9225194058127392,-0.25
2,5,0.2220071591275968,0.226422218447657,0.1136051660888247,0.5505901680845321,0.9542104532321294,-0.25
2,6,0.5842860556391819,0.2230013349228205,0.4708295949441065,0.6668469862915544,0.7825405595483269,-0.5
2,7,0.2613628034126247,0.2166730623502194,0.3029220561811936,0.6130669477478196,0.8653057787202423,0.0
2,8,0.3762844778211075,0.2564315941885103,0.0960767597602927,0.5783502230234423,0.9601974946723868,0.0
2,9,0.2545429275641919,0.192877003846147,0.1213219223425601,0.5302603921644552,0.945258157632878,0.0
2,10,0.261406554085937,0.2441638476593674,0.2829925348843394,0.6418476553053164,0.875119742615428,0.0
2,11,0.3754544166933917,0.2666092518192514,0.1821001475694338,0.6088285412646391,0.9205589329025576,-0.25
2,12,0.3014738493280915,0.2271643915133008,0.404825764603929,0.666835211198146,0.8159935479179431,0.0
2,13,0.3252015296891903,0.2173108068581507,0.2924529446930441,0.6165618391252007,0.8609956361444416,0.0
2,14,0.3508291690655691,0.1417435831586142,0.1430957457838781,0.448050496617059,0.9552209353776138,0.0
2,15,0.2773270836877749,0.2047966421353955,0.3695006360571274,0.6329169521416884,0.8280191237873137,0.0
3,1,0.4847242314072388,0.2130570935185296,0.4532329908457385,0.675152722524166,0.7753576381648298,0.0
3,2,0.2790409079354196,0.1855341473731874,0.3784557930217677,0.6287725072867972,0.8112064575704901,0.0
3,4,0.4895932229034831,0.2385328241552771,0.1539800025060549,0.5931418319486595,0.9356923166962752,0.0
3,5,0.2131286627344043,0.210169160642251,0.1637637329900736,0.5334406735077218,0.9327716765078632,0.0
3,6,0.6200144337499489,0.2083312810861481,0.1501949162305831,0.6059035340800918,0.9408252717386552,-0.25
3,7,0.2816721375383036,0.2185480729588121,0.2719130401970833,0.5865260626942634,0.8820774230190214,-0.25
3,8,0.3456916732192924,0.2155141079720793,0.127945167259113,0.5585694980060317,0.9483313878483812,0.0
3,9,0.2505864065346351,0.1824444284215507,0.2811789121421154,0.5699402438027034,0.8739873580506577,0.25
3,10,0.2670982046177271,0.2107975240741736,0.3451265587066741,0.6362041739948873,0.8373938667231426,0.25
3,11,0.3533951122599873,0.1882198647842831,0.4335892115486709,0.6405246462998475,0.7816102223559505,0.0
3,12,0.2872660969781633,0.2191698393148732,0.4000726580920671,0.6579371210701204,0.8174171943343087,0.0
3,13,0.3171077967650008,0.1680695688790174,0.3052561176091073,0.5588536935295322,0.8636589277061076,-0.25
3,14,0.3755396020076009,0.1042241922233488,0.1417237683577706,0.3771263948077403,0.958041284328852,0.0
3,15,0.2896441962668259,0.1850314419388227,0.3273870802083481,0.6008192114672934,0.858790623341493,0.0
4,1,0.4855690217967916,0.2505226125817399,0.4164946174841516,0.678382682968199,0.8064019221806782,0.0
4,2,0.2575790133565285,0.2334224761970819,0.2284415144527584,0.6225231087122396,0.8977495388185326,0.0
4,3,0.2752629492523471,0.204468663083526,0.0808257201581208,0.5002073024295473,0.966878365320072,0.0
4,5,0.2150000523261072,0.2398987817762442,0.2094246357683982,0.5853771444540399,0.911387847499414,0.0
4,6,0.6425571240238299,0.1635585495547151,0.5272539607972685,0.6643264088334765,0.7562810845824575,0.25
4,7,0.3153718614038291,0.2296687620987543,0.2766381937136219,0.6104515543585223,0.8811840214482517,-0.25
4,8,0.3059744117164909,0.2356782113281239,0.0947396854466508,0.5565426498103505,0.9591234621988864,0.0
