setting,setting_display,method,method_display,reference_method,n_participants,exploratory_margin,exploratory_margin_pp,margin_status,mean_paired_difference,ci95_percentile_low,ci95_percentile_high,lower_ci_above_negative_margin,participants_below_negative_margin,fraction_participants_below_negative_margin,allowed_interpretation
loso_arithmetic,Arithmetic LOSO,dasf_clean,DASF,always_nn,15,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_arithmetic,Arithmetic LOSO,dasf_clean,DASF,always_nn,15,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_arithmetic,Arithmetic LOSO,dasf_clean,DASF,always_nn,15,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_arithmetic,Arithmetic LOSO,cbsf,CB-SF,always_nn,15,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,0.016666666666666666,0,0.050000000000000003,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_arithmetic,Arithmetic LOSO,cbsf,CB-SF,always_nn,15,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,0.016666666666666666,0,0.050000000000000003,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_arithmetic,Arithmetic LOSO,cbsf,CB-SF,always_nn,15,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,0.016666666666666666,0,0.050000000000000003,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,dasf_clean,DASF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,dasf_clean,DASF,always_nn,13,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,dasf_clean,DASF,always_nn,13,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,0,0,0,True,0,0,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,cbsf,CB-SF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,-0.019230769230769232,-0.057692307692307696,0,False,1,0.076923076923076927,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,cbsf,CB-SF,always_nn,13,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,-0.019230769230769232,-0.057692307692307696,0,False,1,0.076923076923076927,descriptive compatibility check only; not a formal non-inferiority test or guarantee
loso_stroop,Stroop LOSO,cbsf,CB-SF,always_nn,13,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,-0.019230769230769232,-0.057692307692307696,0,True,1,0.076923076923076927,descriptive compatibility check only; not a formal non-inferiority test or guarantee
