dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,bh_significant_reporting_family_0_05,bh_significant_single_family_65_0_05,superiority_established
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,13,0.53846153846153844,0.48076923076923078,-0.057692307692307696,-5.7692307692307692,0,0.20801257358446096,-0.27735009811261452,-0.3888888888888889,1,10,2,0.46153846153846156,-0.17307692307692307,0.038461538461538464,-17.307692307692307,3.8461538461538463,11,0.50132338724677605,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.81620045931579532,0.82790893216117634,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,13,0.53846153846153844,0.44230769230769229,-0.096153846153846159,-9.6153846153846168,0,0.217429623155726,-0.44222974201164617,-0.63636363636363635,1,8,4,0.38461538461538464,-0.21153846153846154,0.019230769230769232,-21.153846153846153,1.9230769230769231,10,0.15729920705028516,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.66750355240771342,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,always_fuse,Always fused,13,0.52884615384615385,0.50961538461538458,-0.019230769230769232,-1.9230769230769231,0,0.1829030498406892,-0.10514187296231237,-0.125,5,2,6,0.46153846153846156,-0.11538461538461539,0.076923076923076927,-11.538461538461538,7.6923076923076925,38.5,0.69488660237247335,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",2,11,0.84689304664145193,0.86860825296559163,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,rf,Random forest,13,0.52884615384615385,0.56730769230769229,0.038461538461538464,3.8461538461538463,0,0.1289441839095605,0.29828052181488701,0.32894736842105265,5,5,3,0.57692307692307687,-0.028846153846153848,0.10576923076923077,-2.8846153846153846,10.576923076923077,25.5,0.36002626968800289,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,extra_trees,Extra Trees,13,0.52884615384615385,0.57692307692307687,0.04807692307692308,4.8076923076923084,0,0.16566203625577663,0.29021086643347738,0.42105263157894735,6,5,2,0.65384615384615385,-0.038461538461538464,0.13461538461538461,-3.8461538461538463,13.461538461538462,22,0.24324270574265683,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_010,Fixed blend (10%),13,0.52884615384615385,0.52884615384615385,0,0,0,0.051031036307982877,0,0,1,11,1,0.5,-0.028846153846153848,0.028846153846153848,-2.8846153846153846,2.8846153846153846,12.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,1,1,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_025,Fixed blend (25%),13,0.52884615384615385,0.54807692307692313,0.019230769230769232,1.9230769230769231,0,0.069337524528153643,0.27735009811261457,0.5,3,9,1,0.57692307692307687,-0.019230769230769232,0.057692307692307696,-1.9230769230769231,5.7692307692307692,11.5,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,equal_blend_050,Equal blend (50%),13,0.52884615384615385,0.55769230769230771,0.028846153846153848,2.8846153846153846,0,0.13649105352479221,0.21134098610290408,0.18571428571428572,4,6,3,0.53846153846153844,-0.038461538461538464,0.10576923076923077,-3.8461538461538463,10.576923076923077,28.5,0.6257555454400946,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,0.81022298931255421,0.84737730111679477,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,stack_recording,OOF recording-level stacking,13,0.52884615384615385,0.49038461538461536,-0.038461538461538464,-3.8461538461538463,0,0.19354569459803517,-0.19872071317017515,-0.18823529411764706,5,3,5,0.5,-0.14423076923076922,0.057692307692307696,-14.423076923076922,5.7692307692307692,34.5,0.56918347134607039,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",3,10,0.80507006506707501,0.82790893216117634,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,dasf_clean,DASF,13,0.52884615384615385,0.46153846153846156,-0.067307692307692304,-6.7307692307692308,0,0.12092724025585566,-0.55659661268448624,-0.7142857142857143,1,7,5,0.34615384615384615,-0.13461538461538461,-0.0096153846153846159,-13.461538461538462,-0.96153846153846156,9,0.083264516663550406,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,cbsf,CB-SF,13,0.52884615384615385,0.5,-0.028846153846153848,-2.8846153846153846,0,0.11585108699953729,-0.24899338101393093,-0.28947368421052633,3,5,5,0.42307692307692307,-0.086538461538461536,0.028846153846153848,-8.6538461538461533,2.8846153846153846,27,0.41740543513085537,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.69409666538389037,0.73062806882514786,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_ts_logreg,Riemannian TS-LR,13,0.52884615384615385,0.47115384615384615,-0.057692307692307696,-5.7692307692307692,-0.125,0.15824052610682293,-0.36458617215011996,-0.42352941176470588,3,3,7,0.34615384615384615,-0.13461538461538461,0.028846153846153848,-13.461538461538462,2.8846153846153846,24.5,0.1981131070605342,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",3,10,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_mdm,Riemannian MDM,13,0.52884615384615385,0.53846153846153844,0.0096153846153846159,0.96153846153846156,0,0.1297186304156927,0.07412493166611013,0.12857142857142856,4,6,3,0.53846153846153844,-0.057692307692307696,0.076923076923076927,-5.7692307692307692,7.6923076923076925,30.5,0.73687537080697174,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,0.87085271095369388,0.90371507740477663,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,13,0.52884615384615385,0.5,-0.028846153846153848,-2.8846153846153846,0,0.217429623155726,-0.13266892260349386,-0.14772727272727273,5,2,6,0.46153846153846156,-0.14423076923076922,0.086538461538461536,-14.423076923076922,8.6538461538461533,37.5,0.64402340176126105,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",2,11,0.81022298931255421,0.85431675743840751,False,False,False
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,13,0.52884615384615385,0.5,-0.028846153846153848,-2.8846153846153846,0,0.17043026245058229,-0.16925488133023345,-0.30864197530864196,3,4,6,0.38461538461538464,-0.11538461538461539,0.067307692307692304,-11.538461538461538,6.7307692307692308,28,0.3679324203151384,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",4,9,0.67005388443876235,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,always_fuse,Always fused,13,0.51923076923076927,0.48076923076923078,-0.038461538461538464,-3.8461538461538463,0,0.17218430793029862,-0.22337423731498202,-0.33333333333333331,2,7,4,0.42307692307692307,-0.13461538461538461,0.057692307692307696,-13.461538461538462,5.7692307692307692,21,0.41421617824252521,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.76925861673611817,0.73062806882514786,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,rf,Random forest,13,0.51923076923076927,0.51923076923076927,0,0,0,0.14433756729740643,0,0,2,9,2,0.5,-0.076923076923076927,0.076923076923076927,-7.6923076923076925,7.6923076923076925,23,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,1,1,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,extra_trees,Extra Trees,13,0.51923076923076927,0.59615384615384615,0.076923076923076927,7.6923076923076925,0,0.15760629298902878,0.4880711008692506,0.66666666666666663,5,7,1,0.65384615384615385,0,0.15384615384615385,0,15.384615384615385,10.5,0.10247043485974937,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.66605782658837087,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_010,Fixed blend (10%),13,0.51923076923076927,0.53846153846153844,0.019230769230769232,1.9230769230769231,0,0.069337524528153643,0.27735009811261457,1,1,12,0,0.53846153846153844,0,0.057692307692307696,0,5.7692307692307692,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.68750610036964732,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_025,Fixed blend (25%),13,0.51923076923076927,0.57692307692307687,0.057692307692307696,5.7692307692307692,0,0.10963225241337865,0.52623481158421759,1,3,10,0,0.61538461538461542,0,0.11538461538461539,0,11.538461538461538,0,0.083264516663550406,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.66605782658837087,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,equal_blend_050,Equal blend (50%),13,0.51923076923076927,0.57692307692307687,0.057692307692307696,5.7692307692307692,0,0.20801257358446096,0.27735009811261452,0.36507936507936506,4,7,2,0.57692307692307687,-0.038461538461538464,0.17307692307692307,-3.8461538461538463,17.307692307692307,20,0.37387874466417137,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.74775748932834274,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,stack_recording,OOF recording-level stacking,13,0.51923076923076927,0.48076923076923078,-0.038461538461538464,-3.8461538461538463,0,0.20016019225635892,-0.19215378456610457,-0.23636363636363636,2,8,3,0.46153846153846156,-0.15384615384615385,0.057692307692307696,-15.384615384615385,5.7692307692307692,21,0.59864184325500447,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.86470488470167306,0.82790893216117634,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,dasf_clean,DASF,13,0.51923076923076927,0.46153846153846156,-0.057692307692307696,-5.7692307692307692,0,0.14978617237881953,-0.38516444325982163,-0.59999999999999998,1,8,4,0.38461538461538464,-0.13461538461538461,0.019230769230769232,-13.461538461538462,1.9230769230769231,11,0.17971249487899976,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.66750355240771342,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,cbsf,CB-SF,13,0.51923076923076927,0.51923076923076927,0,0,0,0.17677669529663689,0,0,3,7,3,0.5,-0.096153846153846159,0.096153846153846159,-9.6153846153846168,9.6153846153846168,31.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,1,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,riemann_ts_logreg,Riemannian TS-LR,13,0.51923076923076927,0.48076923076923078,-0.038461538461538464,-3.8461538461538463,0,0.26704700440952822,-0.14402535069277922,-0.22368421052631579,3,5,5,0.42307692307692307,-0.17307692307692307,0.096153846153846159,-17.307692307692307,9.6153846153846168,29.5,0.53366953109109694,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.81620045931579532,0.82790893216117634,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,riemann_mdm,Riemannian MDM,13,0.51923076923076927,0.57692307692307687,0.057692307692307696,5.7692307692307692,0,0.18125276302049603,0.31829753506038339,0.42857142857142855,5,6,2,0.61538461538461542,-0.038461538461538464,0.15384615384615385,-3.8461538461538463,15.384615384615385,20,0.25683925795785656,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,0.68750610036964732,0.70196121226917962,False,False,False
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,13,0.51923076923076927,0.51923076923076927,0,0,0,0.338501600193165,0,0,5,3,5,0.5,-0.17307692307692307,0.17307692307692307,-17.307692307692307,17.307692307692307,42.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",3,10,1,1,False,False,False
