dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,bh_significant_reporting_family_0_05,bh_significant_single_family_65_0_05,superiority_established
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,15,0.58333333333333337,0.66666666666666663,0.083333333333333329,8.3333333333333321,0,0.20412414523193151,0.40824829046386302,0.67391304347826086,7,7,1,0.69999999999999996,-0.033333333333333333,0.16666666666666666,-3.3333333333333335,16.666666666666664,15,0.058274618437640945,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,8,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,always_fuse,Always fused,13,0.61538461538461542,0.57692307692307687,-0.038461538461538464,-3.8461538461538463,0,0.093883452024851335,-0.40967324519935139,-1,0,11,2,0.42307692307692307,-0.096153846153846159,0,-9.6153846153846168,0,0,0.15729920705028516,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,rf,Random forest,13,0.61538461538461542,0.57692307692307687,-0.038461538461538464,-3.8461538461538463,0,0.20016019225635892,-0.19215378456610457,-0.23636363636363636,2,8,3,0.46153846153846156,-0.15384615384615385,0.057692307692307696,-15.384615384615385,5.7692307692307692,21,0.59864184325500447,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.80507006506707501,0.82790893216117634,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,extra_trees,Extra Trees,13,0.61538461538461542,0.53846153846153844,-0.076923076923076927,-7.6923076923076925,0,0.23683273335783547,-0.32479917717646006,-0.3968253968253968,2,7,4,0.42307692307692307,-0.21153846153846154,0.038461538461538464,-21.153846153846153,3.8461538461538463,19,0.33538625662742216,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_010,Fixed blend (10%),13,0.61538461538461542,0.59615384615384615,-0.019230769230769232,-1.9230769230769231,0,0.069337524528153643,-0.27735009811261457,-1,0,12,1,0.46153846153846156,-0.057692307692307696,0,-5.7692307692307692,0,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_025,Fixed blend (25%),13,0.61538461538461542,0.59615384615384615,-0.019230769230769232,-1.9230769230769231,0,0.069337524528153643,-0.27735009811261457,-1,0,12,1,0.46153846153846156,-0.057692307692307696,0,-5.7692307692307692,0,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,equal_blend_050,Equal blend (50%),13,0.61538461538461542,0.61538461538461542,0,0,0,0,,0,0,13,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",13,0,1,1,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,stack_recording,OOF recording-level stacking,13,0.61538461538461542,0.59615384615384615,-0.019230769230769232,-1.9230769230769231,0,0.12338702919820614,-0.15585730003983933,-0.33333333333333331,1,10,2,0.46153846153846156,-0.076923076923076927,0.038461538461538464,-7.6923076923076925,3.8461538461538463,12,0.5637028616507731,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.80507006506707501,0.82790893216117634,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,dasf_clean,DASF,13,0.61538461538461542,0.61538461538461542,0,0,0,0,,0,0,13,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",13,0,1,1,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,cbsf,CB-SF,13,0.61538461538461542,0.59615384615384615,-0.019230769230769232,-1.9230769230769231,0,0.069337524528153643,-0.27735009811261457,-1,0,12,1,0.46153846153846156,-0.057692307692307696,0,-5.7692307692307692,0,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_ts_logreg,Riemannian TS-LR,13,0.61538461538461542,0.57692307692307687,-0.038461538461538464,-3.8461538461538463,0,0.20016019225635892,-0.19215378456610457,-0.23636363636363636,2,8,3,0.46153846153846156,-0.15384615384615385,0.057692307692307696,-15.384615384615385,5.7692307692307692,21,0.59864184325500447,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.80507006506707501,0.82790893216117634,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_mdm,Riemannian MDM,13,0.61538461538461542,0.53846153846153844,-0.076923076923076927,-7.6923076923076925,0,0.21371260356627758,-0.35993701653267807,-0.45714285714285713,2,6,5,0.38461538461538464,-0.19230769230769232,0.038461538461538464,-19.230769230769234,3.8461538461538463,19,0.22993901894124014,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,13,0.61538461538461542,0.67307692307692313,0.057692307692307696,5.7692307692307692,0,0.10963225241337865,0.52623481158421759,1,3,10,0,0.61538461538461542,0,0.11538461538461539,0,11.538461538461538,0,0.083264516663550406,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,13,0.61538461538461542,0.63461538461538458,0.019230769230769232,1.9230769230769231,0,0.12338702919820614,0.15585730003983933,0.33333333333333331,2,10,1,0.53846153846153844,-0.038461538461538464,0.076923076923076927,-3.8461538461538463,7.6923076923076925,12,0.5637028616507731,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.80507006506707501,0.82790893216117634,False,False,False
