variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,split_seed,fold,train_windows,train_recordings,validation_windows,validation_recordings,recording_accuracy,recording_balanced_accuracy,recording_log_loss,analysis_digest
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1441,2,341,2,228,2,0.5,0.5,3.9160332443393675,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1494,1,228,2,341,2,0.5,0.5,1.245329718338803,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1494,2,341,2,228,2,0.5,0.5,3.9160332443393675,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1547,1,251,2,318,2,0.5,0.5,3.881909051823874,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1547,2,318,2,251,2,0.5,0.5,2.2014982716091764,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1335,1,340,2,326,2,0.5,0.5,2.241263814315507,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1335,2,326,2,340,2,0.5,0.5,9.992131332964776,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1388,1,329,2,337,2,0.5,0.5,2.377060392701481,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1388,2,337,2,329,2,0.5,0.5,1.5791203300268641,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1441,1,329,2,337,2,0.5,0.5,2.377060392701481,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1441,2,337,2,329,2,0.5,0.5,1.5791203300268641,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1494,1,329,2,337,2,0.5,0.5,2.377060392701481,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1494,2,337,2,329,2,0.5,0.5,1.5791203300268641,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1547,1,340,2,326,2,0.5,0.5,2.241263814315507,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1547,2,326,2,340,2,0.5,0.5,9.992131332964776,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1335,1,385,2,442,2,0.5,0.5,3.601683008836479,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1335,2,442,2,385,2,0.5,0.5,2.7512532573329147,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1388,1,351,2,476,2,0.5,0.5,6.681429584667846,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1388,2,476,2,351,2,0.5,0.5,2.3663200807624505,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1441,1,351,2,476,2,0.5,0.5,6.681429584667846,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1441,2,476,2,351,2,0.5,0.5,2.3663200807624505,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1494,1,351,2,476,2,0.5,0.5,6.681429584667846,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1494,2,476,2,351,2,0.5,0.5,2.3663200807624505,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1547,1,385,2,442,2,0.5,0.5,3.601683008836479,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1547,2,442,2,385,2,0.5,0.5,2.7512532573329147,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1335,1,310,2,280,2,0.5,0.5,0.9392608423445952,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1335,2,280,2,310,2,0.5,0.5,3.0425655582642883,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1388,1,249,2,341,2,0.5,0.5,3.2912182669320798,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1388,2,341,2,249,2,0.5,0.5,3.662349568553907,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1441,1,249,2,341,2,0.5,0.5,3.2912182669320798,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1441,2,341,2,249,2,0.5,0.5,3.662349568553907,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
