model,protocol,direction,subject,seed,selected_epoch,inner_folds,inner_epoch_mean,inner_epoch_standard_deviation,inner_epoch_minimum,inner_epoch_maximum,inner_epoch_range,outer_training_recordings,outer_test_recordings,parameter_count
Residual MLP,cross_task,arithmetic_to_stroop,11,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1335,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1388,5,2,5.5,6.3639610306789276,1,10,9,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1494,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1547,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1335,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1547,9,2,9.5,12.020815280171307,1,18,17,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1441,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1335,8,2,8,9.8994949366116654,1,15,14,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1388,11,2,11,14.142135623730951,1,21,20,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1441,6,2,6.5,7.7781745930520225,1,12,11,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1494,30,2,30,41.012193308819754,1,59,58,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1547,4,2,4,4.2426406871192848,1,7,6,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1335,50,2,50.5,70.003571337468202,1,100,99,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1388,23,2,23,31.11269837220809,1,45,44,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1441,7,2,7,8.4852813742385695,1,13,12,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1494,12,2,12,15.556349186104045,1,23,22,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,4,1335,16,2,16.5,21.920310216782973,1,32,31,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,4,1388,32,2,32.5,44.547727214752491,1,64,63,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,4,1441,50,2,50.5,70.003571337468202,1,100,99,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,4,1494,38,2,38.5,53.033008588991066,1,76,75,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,4,1547,12,2,12.5,16.263455967290593,1,24,23,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,5,1335,50,2,50.5,70.003571337468202,1,100,99,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,5,1388,14,2,14.5,19.091883092036785,1,28,27,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,5,1441,10,2,10.5,13.435028842544403,1,20,19,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,5,1494,11,2,11.5,14.849242404917497,1,22,21,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,5,1547,11,2,11.5,14.849242404917497,1,22,21,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,6,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,6,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,6,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,6,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,6,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,7,1335,4,2,4,4.2426406871192848,1,7,6,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,7,1388,2,2,2,1.4142135623730951,1,3,2,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,7,1441,2,2,2,1.4142135623730951,1,3,2,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,7,1494,11,2,11,14.142135623730951,1,21,20,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,7,1547,7,2,7,8.4852813742385695,1,13,12,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,8,1335,13,2,13.5,17.677669529663689,1,26,25,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,8,1388,16,2,16.5,21.920310216782973,1,32,31,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,8,1441,9,2,9.5,12.020815280171307,1,18,17,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,8,1494,11,2,11,14.142135623730951,1,21,20,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,8,1547,3,2,3.5,3.5355339059327378,1,6,5,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,9,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,9,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,9,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,9,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,9,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,10,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,10,1388,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,10,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,10,1494,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,10,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,11,1335,26,2,26.5,36.062445840513924,1,52,51,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,11,1388,6,2,6,7.0710678118654755,1,11,10,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,11,1441,14,2,14,18.384776310850235,1,27,26,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,11,1494,16,2,16,21.213203435596427,1,31,30,4,3,
