protocol,direction,cells,weight_mean,weight_standard_deviation,weight_minimum,weight_median,weight_maximum,weight_range,weights_at_zero,weights_at_cap_0_8,ood_fallback_cells,predicted_benefit_mean,predicted_catastrophe_mean,meta_training_rows_minimum,meta_training_rows_maximum,target_batch_recordings
cross_task,arithmetic_to_stroop,13,0.75856092420682286,0.099678477905581639,0.457680642943116,0.79998874304305356,0.79999999966191104,0.34231935671879504,0,6,0,0.22178631525140907,0.31002066480190849,24,24,3
cross_task,stroop_to_arithmetic,13,0.61486455676494911,0.30997584814966889,0.0346935222039099,0.79992480097492358,0.79999999993160076,0.76530647772769089,0,6,0,0.20524721831297482,0.22769858415587824,24,24,3
loso,arithmetic,15,0.61897793559833925,0.21456715610005878,0.078152391540343702,0.68497147865001518,0.79991500686003736,0.72176261531969366,0,0,0,0.069738134720024533,0.21227202392326486,14,14,4
loso,stroop,13,0.18313270414377245,0.22877464167024261,5.3782787860496455e-05,0.058762029354738801,0.60991950606862178,0.60986572328076127,0,0,0,-0.042940259205427399,0.43569348477665237,12,12,4
