scope,file_recordings,unique_signal_hashes,participants,total_windows,minimum_windows,q1_windows,median_windows,mean_windows,q3_windows,maximum_windows,minimum_duration_seconds,median_duration_seconds,maximum_duration_seconds
deposited_arithmetic_files,60,60,15,10762,36,131.5,161,179.36666666666667,210.25,450,26.196000000000002,88.664000000000001,233.352
deposited_stroop_files,60,59,15,9451,62,112.5,156,157.51666666666668,182,450,39.167999999999999,86.159999999999997,233.352
cross_task_arithmetic_source,52,52,13,9441,36,131.5,161,181.55769230769232,212.75,450,26.196000000000002,88.664000000000001,233.352
cross_task_stroop_source,52,52,13,8363,62,115.25,158.5,160.82692307692307,185,450,39.167999999999999,87.408000000000001,233.352
cross_task_arithmetic_target,39,39,13,6580,36,121.5,152,168.71794871794873,210.5,426,26.196000000000002,84.176000000000002,221.25200000000001
cross_task_stroop_target,39,39,13,5502,62,109,130,141.07692307692307,175,234,39.167999999999999,73.408000000000001,125.04000000000001
arithmetic_loso,60,60,15,10762,36,131.5,161,179.36666666666667,210.25,450,26.196000000000002,88.664000000000001,233.352
stroop_loso,52,52,13,8363,62,115.25,158.5,160.82692307692307,185,450,39.167999999999999,87.408000000000001,233.352
