setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,1494,13,78,0.52564102564102566,0.47115384615384615,0.52564102564102566,0.47115384615384615,True
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,1547,13,78,0.52564102564102566,0.47115384615384615,0.52564102564102566,0.47115384615384615,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,1335,13,39,0.64102564102564108,0.61538461538461542,0.64102564102564108,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,1388,13,39,0.51282051282051277,0.5,0.51282051282051277,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,1441,13,39,0.51282051282051277,0.5,0.51282051282051277,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,1494,13,39,0.51282051282051266,0.5,0.51282051282051277,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,1547,13,39,0.64102564102564108,0.61538461538461542,0.64102564102564108,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,1335,13,39,0.61538461538461542,0.51923076923076927,0.61538461538461542,0.51923076923076927,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,1388,13,39,0.61538461538461542,0.5,0.61538461538461542,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,1441,13,39,0.66666666666666663,0.55769230769230771,0.66666666666666663,0.55769230769230771,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,1494,13,39,0.58974358974358976,0.5,0.58974358974358976,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,1547,13,39,0.64102564102564108,0.55769230769230771,0.64102564102564108,0.55769230769230771,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,1335,13,39,0.64102564102564108,0.55769230769230771,0.64102564102564108,0.55769230769230771,True
