protocol,subject,direction,final_used_fusion,final_selected_input_method,seed_fusion_decisions,seed_neural_decisions,seed_fusion_fraction,unanimous_across_five_seeds,seed_agreement_with_final_fraction,validation_gain_seed_mean,validation_gain_seed_standard_deviation,validation_gain_seed_minimum,validation_gain_seed_maximum,validation_gain_seed_range,effective_margin
cross_task,1,arithmetic_to_stroop,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0,0.33333333333333331,-0.33333333333333331,0.33333333333333331,0.66666666666666663,0.0351674867915822
cross_task,1,stroop_to_arithmetic,True,always_fuse,4,1,0.80000000000000004,False,0.80000000000000004,0.26666666666666666,0.14907119849998599,0,0.33333333333333331,0.33333333333333331,0.0351674867915822
cross_task,2,arithmetic_to_stroop,True,always_fuse,5,0,1,True,1,0.66666666666666674,0,0.66666666666666674,0.66666666666666674,0,0.032676590896569199
cross_task,2,stroop_to_arithmetic,False,always_nn,0,5,0,True,1,-0.26666666666666666,0.14907119849998599,-0.33333333333333331,0,0.33333333333333331,0.032676590896569199
cross_task,3,arithmetic_to_stroop,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.20000000000000001,0.18257418583505536,0,0.33333333333333331,0.33333333333333331,0.027786521082456401
cross_task,3,stroop_to_arithmetic,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.20000000000000001,0.18257418583505536,0,0.33333333333333331,0.33333333333333331,0.027786521082456401
cross_task,4,arithmetic_to_stroop,True,always_fuse,5,0,1,True,1,0.33333333333333331,0,0.33333333333333331,0.33333333333333331,0,0.040107021075716197
cross_task,4,stroop_to_arithmetic,False,always_nn,0,5,0,True,1,0,0,0,0,0,0.040107021075716197
cross_task,5,arithmetic_to_stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.066666666666666666,0.14907119849998599,0,0.33333333333333331,0.33333333333333331,0.034647839321858498
cross_task,5,stroop_to_arithmetic,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0.13333333333333333,0.18257418583505536,0,0.33333333333333331,0.33333333333333331,0.034647839321858498
cross_task,6,arithmetic_to_stroop,False,always_nn,0,5,0,True,1,-0.066666666666666666,0.14907119849998599,-0.33333333333333331,0,0.33333333333333331,0.047967520481963698
cross_task,6,stroop_to_arithmetic,True,always_fuse,5,0,1,True,1,0.86666666666666681,0.18257418583505533,0.66666666666666674,1,0.33333333333333326,0.047967520481963698
cross_task,7,arithmetic_to_stroop,False,always_nn,0,5,0,True,1,-0.20000000000000001,0.18257418583505536,-0.33333333333333331,0,0.33333333333333331,0.0291282688565156
cross_task,7,stroop_to_arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0,0.23570226039551584,-0.33333333333333331,0.33333333333333331,0.66666666666666663,0.0291282688565156
