protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion_seed,selected_input_method_seed,gate_source_recordings,inner_folds,selected_epoch,task,used_fusion_final,selected_input_method_final,seed_decision_agrees_with_final,diagnostic_only_not_statistical_replicate
cross_task,1,stroop_to_arithmetic,1335,0.33333333333333331,0.33333333333333331,0,0.075837433957910996,0.0351674867915822,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,1,stroop_to_arithmetic,1388,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,1,stroop_to_arithmetic,1441,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,1,stroop_to_arithmetic,1494,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,1,stroop_to_arithmetic,1547,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,1,arithmetic_to_stroop,1335,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.075837433957910996,0.0351674867915822,False,always_nn,3,2,1,,False,always_nn,True,True
cross_task,1,arithmetic_to_stroop,1388,0.66666666666666663,1,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,9,,False,always_nn,False,True
cross_task,1,arithmetic_to_stroop,1441,0.66666666666666663,0.66666666666666663,0,0.075837433957910996,0.0351674867915822,False,always_nn,3,2,7,,False,always_nn,True,True
cross_task,1,arithmetic_to_stroop,1494,0.66666666666666663,1,0.33333333333333331,0.075837433957910996,0.0351674867915822,True,always_fuse,3,2,22,,False,always_nn,False,True
cross_task,1,arithmetic_to_stroop,1547,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.075837433957910996,0.0351674867915822,False,always_nn,3,2,2,,False,always_nn,True,True
cross_task,2,stroop_to_arithmetic,1335,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.063382954482846296,0.032676590896569199,False,always_nn,3,2,8,,False,always_nn,True,True
cross_task,2,stroop_to_arithmetic,1388,0.66666666666666663,0.66666666666666663,0,0.063382954482846296,0.032676590896569199,False,always_nn,3,2,11,,False,always_nn,True,True
cross_task,2,stroop_to_arithmetic,1441,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.063382954482846296,0.032676590896569199,False,always_nn,3,2,6,,False,always_nn,True,True
cross_task,2,stroop_to_arithmetic,1494,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.063382954482846296,0.032676590896569199,False,always_nn,3,2,30,,False,always_nn,True,True
cross_task,2,stroop_to_arithmetic,1547,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.063382954482846296,0.032676590896569199,False,always_nn,3,2,4,,False,always_nn,True,True
cross_task,2,arithmetic_to_stroop,1335,0.33333333333333331,1,0.66666666666666674,0.063382954482846296,0.032676590896569199,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,2,arithmetic_to_stroop,1388,0.33333333333333331,1,0.66666666666666674,0.063382954482846296,0.032676590896569199,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,2,arithmetic_to_stroop,1441,0.33333333333333331,1,0.66666666666666674,0.063382954482846296,0.032676590896569199,True,always_fuse,3,2,1,,True,always_fuse,True,True
