protocol,direction,cells,final_fusion_cells,unanimous_seed_decision_cells,unanimous_seed_decision_fraction,mean_seed_fusion_fraction,minimum_seed_agreement_with_final,median_validation_gain_seed_range,maximum_validation_gain_seed_range
cross_task,arithmetic_to_stroop,13,7,6,0.46153846153846156,0.52307692307692311,0.40000000000000002,0.33333333333333331,1
cross_task,stroop_to_arithmetic,13,7,5,0.38461538461538464,0.53846153846153844,0.59999999999999998,0.33333333333333331,1
loso,arithmetic,15,1,7,0.46666666666666667,0.17333333333333337,0.59999999999999998,0.10714285714285719,0.16071428571428562
loso,stroop,13,0,7,0.53846153846153844,0.12307692307692307,0.40000000000000002,0.1041666666666666,0.125
