setting,setting_display,method,method_display,metric,seeds,seed_mean,seed_standard_deviation,seed_minimum,seed_maximum,seed_range,interpretation
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,participant_macro_accuracy,5,0.5923076923076922,0.0057335076346148751,0.58974358974358965,0.60256410256410253,0.012820512820512886,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,participant_macro_balanced_accuracy,5,0.56923076923076921,0.0043001307259611186,0.56730769230769229,0.57692307692307687,0.0096153846153845812,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,participant_macro_accuracy,5,0.64102564102564108,0,0.64102564102564108,0.64102564102564108,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,participant_macro_balanced_accuracy,5,0.53846153846153844,0,0.53846153846153844,0.53846153846153844,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,participant_macro_accuracy,5,0.52564102564102566,0,0.52564102564102566,0.52564102564102566,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,participant_macro_balanced_accuracy,5,0.47115384615384615,0,0.47115384615384615,0.47115384615384615,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,participant_macro_accuracy,5,0.49230769230769234,0.038031787113311094,0.43589743589743585,0.53846153846153844,0.10256410256410259,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,participant_macro_balanced_accuracy,5,0.49230769230769234,0.039877771833322542,0.44230769230769229,0.53846153846153844,0.096153846153846145,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,participant_macro_accuracy,5,0.55384615384615388,0.038886540738725932,0.51282051282051277,0.61538461538461542,0.10256410256410264,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,participant_macro_balanced_accuracy,5,0.51153846153846161,0.034934427162663366,0.46153846153846156,0.55769230769230771,0.096153846153846145,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,participant_macro_accuracy,5,0.5641025641025641,0.076923076923076927,0.48717948717948717,0.69230769230769229,0.20512820512820512,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,participant_macro_balanced_accuracy,5,0.51923076923076927,0.049029033784545997,0.48076923076923078,0.59615384615384615,0.11538461538461536,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,participant_macro_accuracy,5,0.54358974358974366,0.033431807206167431,0.48717948717948717,0.5641025641025641,0.076923076923076927,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,participant_macro_balanced_accuracy,5,0.49230769230769222,0.05014771080925113,0.42307692307692307,0.53846153846153844,0.11538461538461536,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,participant_macro_accuracy,5,0.61538461538461542,0,0.61538461538461542,0.61538461538461542,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,participant_macro_balanced_accuracy,5,0.59615384615384615,0,0.59615384615384615,0.59615384615384615,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,participant_macro_accuracy,5,0.51794871794871788,0.0114670152692297,0.51282051282051277,0.53846153846153844,0.025641025641025661,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,participant_macro_balanced_accuracy,5,0.52307692307692311,0.0086002614519222371,0.51923076923076927,0.53846153846153844,0.019230769230769162,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,participant_macro_accuracy,5,0.64102564102564108,0,0.64102564102564108,0.64102564102564108,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,participant_macro_balanced_accuracy,5,0.57692307692307687,0,0.57692307692307687,0.57692307692307687,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,participant_macro_accuracy,5,0.46153846153846156,0,0.46153846153846156,0.46153846153846156,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,participant_macro_balanced_accuracy,5,0.48076923076923073,6.2063353831181828e-17,0.48076923076923078,0.48076923076923078,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,participant_macro_accuracy,5,0.6133333333333334,0.021730674684008848,0.59999999999999998,0.65000000000000002,0.050000000000000044,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,participant_macro_balanced_accuracy,5,0.6133333333333334,0.021730674684008848,0.59999999999999998,0.65000000000000002,0.050000000000000044,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,participant_macro_accuracy,5,0.60000000000000009,0.039086797998528558,0.56666666666666665,0.66666666666666663,0.099999999999999978,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,participant_macro_balanced_accuracy,5,0.60000000000000009,0.039086797998528558,0.56666666666666665,0.66666666666666663,0.099999999999999978,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,participant_macro_accuracy,5,0.65666666666666662,0.045030853620354291,0.58333333333333337,0.69999999999999996,0.11666666666666659,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,participant_macro_balanced_accuracy,5,0.65666666666666662,0.045030853620354291,0.58333333333333337,0.69999999999999996,0.11666666666666659,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,participant_macro_accuracy,5,0.60000000000000009,0.035355339059327397,0.56666666666666665,0.65000000000000002,0.08333333333333337,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,participant_macro_balanced_accuracy,5,0.60000000000000009,0.035355339059327397,0.56666666666666665,0.65000000000000002,0.08333333333333337,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,participant_macro_accuracy,5,0.51666666666666672,0,0.51666666666666672,0.51666666666666672,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,participant_macro_balanced_accuracy,5,0.51666666666666672,0,0.51666666666666672,0.51666666666666672,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,rf,Random forest,participant_macro_accuracy,5,0.51666666666666672,0,0.51666666666666672,0.51666666666666672,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,rf,Random forest,participant_macro_balanced_accuracy,5,0.51666666666666672,0,0.51666666666666672,0.51666666666666672,0,model-randomness diagnostic only; seeds are ensemble members
