protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects,weight_at_zero,weight_at_frozen_cap_0_8,target_batch_recordings,gate_level,seed_level_gate_weight_available
cross_task,1,arithmetic_to_stroop,0.78295563504453625,0.091738509784924802,0.091738509784924802,0.30386764121637921,False,0.4732043624260257,0.1217507442029848,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,1,stroop_to_arithmetic,0.79999999993160076,0.46507980768104851,0.46507980768104851,0.0285907797165907,False,1.5708402743847427,0.1190795185094375,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,2,arithmetic_to_stroop,0.79594949381673796,0.1238317536806909,0.1238317536806909,0.36435752280492911,False,0.2772785293272374,0.15773815993622639,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,2,stroop_to_arithmetic,0.63134874004497388,0.050524920733079001,0.050524920733079001,0.48248827229221369,False,0.44098093781441972,0.15170484142760121,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,3,arithmetic_to_stroop,0.79998874304305356,0.2304303105719076,0.2304303105719076,0.1400595704028918,False,0.53188879690781676,0.13132703561683409,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,3,stroop_to_arithmetic,0.79999999974095626,0.43792724931137628,0.43792724931137628,0.018192829025418501,False,5.4616403991778899,0.1409190300446978,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,4,arithmetic_to_stroop,0.7999742221057724,0.2083888494156762,0.2083888494156762,0.030649999517680299,False,7.3957880777268672,0.1916597127435353,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,4,stroop_to_arithmetic,0.0346935222039099,-0.040852238674792499,-0.040852238674792499,0.4204445819620109,False,1.8657668178880056,0.24956719069875671,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,5,arithmetic_to_stroop,0.79999799954232131,0.278445951368188,0.278445951368188,0.40932362243598919,False,0.70242546351054203,0.080391329484337706,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,5,stroop_to_arithmetic,0.7305244727107757,0.060386801011914001,0.060386801011914001,0.26662075355041548,False,1.7340858527765817,0.079951078198196995,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,6,arithmetic_to_stroop,0.79999999786096587,0.39906335114874347,0.39906335114874347,0.0853598893302875,False,1.6336586255804226,0.45253703791344208,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,6,stroop_to_arithmetic,0.79999999917094411,0.42963126583045819,0.42963126583045819,0.31758932830597397,False,2.6207351681098419,0.30454869367781318,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,7,arithmetic_to_stroop,0.457680642943116,0.0097184682970463,0.0097184682970463,0.078198341607651795,False,5.1545247066811557,1.1125143174718135,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
