task,strategy,strategy_display,held_out_subject,recording_accuracy_mean,recording_accuracy_std,recording_accuracy_min,recording_accuracy_max,recording_balanced_accuracy_mean,recording_balanced_accuracy_std,recording_balanced_accuracy_min,recording_balanced_accuracy_max,recording_sensitivity_mean,recording_sensitivity_std,recording_sensitivity_min,recording_sensitivity_max,recording_specificity_mean,recording_specificity_std,recording_specificity_min,recording_specificity_max,recording_f1_mean,recording_f1_std,recording_f1_min,recording_f1_max,recording_auroc_mean,recording_auroc_std,recording_auroc_min,recording_auroc_max,recording_log_loss_mean,recording_log_loss_std,recording_log_loss_min,recording_log_loss_max,recording_brier_score_mean,recording_brier_score_std,recording_brier_score_min,recording_brier_score_max,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_min,window_balanced_accuracy_max,window_log_loss_mean,window_log_loss_std,window_log_loss_min,window_log_loss_max,recording_overlap_rate_mean,recording_overlap_rate_std,recording_overlap_rate_min,recording_overlap_rate_max,participant_overlap_rate_mean,participant_overlap_rate_std,participant_overlap_rate_min,participant_overlap_rate_max,validation_windows_with_raw_overlap_fraction_mean,validation_windows_with_raw_overlap_fraction_std,validation_windows_with_raw_overlap_fraction_min,validation_windows_with_raw_overlap_fraction_max,mean_nearest_train_raw_overlap_fraction_mean,mean_nearest_train_raw_overlap_fraction_std,mean_nearest_train_raw_overlap_fraction_min,mean_nearest_train_raw_overlap_fraction_max,n_evaluations
arithmetic,participant_disjoint,Participant-disjoint split,11,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.55987921035294963,,0.55987921035294963,0.55987921035294963,0.18720880532931244,,0.18720880532931244,0.18720880532931244,0.68652849740932642,,0.68652849740932642,0.68652849740932642,0.6947328105787256,,0.6947328105787256,0.6947328105787256,0.7223817231561348,,0.7223817231561348,0.7223817231561348,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,12,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.75,,0.75,0.75,0.87822114659401962,,0.87822114659401962,0.87822114659401962,0.28971887482761893,,0.28971887482761893,0.28971887482761893,0.64122137404580148,,0.64122137404580148,0.64122137404580148,0.61336505433864519,,0.61336505433864519,0.61336505433864519,0.92090859319235618,,0.92090859319235618,0.92090859319235618,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,13,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.41285121138298897,,0.41285121138298897,0.41285121138298897,0.14442951999090414,,0.14442951999090414,0.14442951999090414,0.72537313432835826,,0.72537313432835826,0.72537313432835826,0.72101449275362328,,0.72101449275362328,0.72101449275362328,0.62248059703194858,,0.62248059703194858,0.62248059703194858,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,14,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,0.5,,0.5,0.5,0.83686761873364168,,0.83686761873364168,0.83686761873364168,0.23186544242902909,,0.23186544242902909,0.23186544242902909,0.79461279461279466,,0.79461279461279466,0.79461279461279466,0.77675722047469264,,0.77675722047469264,0.77675722047469264,0.72551892947466179,,0.72551892947466179,0.72551892947466179,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,15,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.75,,0.75,0.75,2.2942443886315673,,2.2942443886315673,2.2942443886315673,0.4467658188994349,,0.4467658188994349,0.4467658188994349,0.54883081155433289,,0.54883081155433289,0.54883081155433289,0.53063552705386519,,0.53063552705386519,0.53063552705386519,2.3724425789904577,,2.3724425789904577,2.3724425789904577,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,random_window,Random-window split,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.017180095008582148,0.0076544859992936183,0.0093346367148578954,0.031663247449977283,0.00066076862576841316,0.00057970486591564757,0.00016310055398324359,0.0019156549228912145,0.98333333333333339,0.016070203755013172,0.95238095238095233,1,0.98395629672225415,0.015216505137940784,0.95457159286946525,1,0.079033202969218619,0.031880349995279465,0.042580828840535476,0.13564637837564536,1,0,1,1,1,0,1,1,1,0,1,1,0.94005602240896347,0.00094530610323607163,0.93837535014005591,0.94117647058823517,10
arithmetic,random_window,Random-window split,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.016926633640264713,0.0081148382502688743,0.0074642106140820176,0.034011105716964085,0.00080596608268551835,0.00075969758925916082,0.00011256071157772867,0.0021881072670359505,0.99831932773109244,0.0035431682466872511,0.99159663865546221,1,0.9982653061224489,0.003727555970829249,0.98979591836734693,1,0.035306618225153609,0.037547473756794209,0.011653285911762994,0.11432182166001266,1,0,1,1,1,0,1,1,1,0,1,1,0.94023727137913993,0.00049156150569048141,0.93919920909540278,0.94068215521502718,10
arithmetic,random_window,Random-window split,3,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0081916426563485821,0.0052051918087061937,0.0031660034018001944,0.019238418614124925,0.00027116417833751235,0.00040382056862522459,1.8886845772542695e-05,0.0011967202914272806,0.99565217391304339,0.0097818631552254072,0.97101449275362317,1,0.99545454545454548,0.010226493298644725,0.96969696969696972,1,0.019567266956172485,0.011385932221601095,0.0078202817134006026,0.047510804808148351,1,0,1,1,1,0,1,1,1,0,1,1,0.94049445865302628,0.0010479732261770883,0.93776641091219093,0.94117647058823528,10
arithmetic,random_window,Random-window split,4,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.00016756028488626679,9.7787285236354465e-05,7.1807261775977752e-05,0.00042585817500383091,9.6965955115375541e-08,1.6907905005910355e-07,1.1055153245999047e-08,5.7344038185266237e-07,0.99875000000000003,0.0039528470752104947,0.98750000000000004,1,0.99903846153846154,0.0030406515963157408,0.99038461538461542,1,0.007766782792775177,0.017166405806962826,0.00077878203073605563,0.056467009079177899,1,0,1,1,1,0,1,1,1,0,1,1,0.94058823529411772,0.00058000782187244998,0.93970588235294128,0.94117647058823528,10
arithmetic,random_window,Random-window split,5,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.010955352635799345,0.0039366857611590695,0.0071026527301384593,0.017470924774398308,0.00044762624592091483,0.00033639250277357134,0.00014508749837771026,0.0010104563322392522,0.99099999999999999,0.0073786478737262306,0.97999999999999998,1,0.99086538461538465,0.0075375427032722247,0.97916666666666674,1,0.04517602662884828,0.010675655792467209,0.024617150618482957,0.064185041248826735,1,0,1,1,1,0,1,1,1,0,1,1,0.93970588235294117,0.0010828785310968074,0.93764705882352939,0.94117647058823517,10
arithmetic,random_window,Random-window split,6,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.01218277463199611,0.0064391479819597489,0.0048101896907519681,0.024610710818409178,0.00046026976254067727,0.00056209100229764745,3.0534107715286244e-05,0.0017982458480521736,0.98450704225352115,0.014006041211433146,0.95774647887323938,1,0.98337339743589747,0.015009935213412979,0.953125,1,0.067227374817953059,0.026878243773736116,0.036442539170029535,0.12664731965302103,1,0,1,1,1,0,1,1,1,0,1,1,0.94043082021541002,0.0013215670935107075,0.93703396851698406,0.94117647058823517,10
arithmetic,random_window,Random-window split,7,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.026774139872399839,0.02563772739003474,0.0042262407390278953,0.082171985345055473,0.0036991215842399686,0.0061119311641588854,3.8309645441990784e-05,0.018250242702990409,0.97674418604651159,0.026853500892540721,0.93023255813953487,1,0.98000000000000009,0.023094010767585049,0.93999999999999995,1,0.07238550448068444,0.1102536285028415,0.013307142292175498,0.3809688391036784,1,0,1,1,1,0,1,1,1,0,1,1,0.94062927496580007,0.00070642651093609542,0.93980848153214758,0.94117647058823506,10
arithmetic,random_window,Random-window split,8,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.030712351560160351,0.0087387202550051422,0.022454375853393296,0.050582796564342419,0.0018777670376959536,0.001609425621981894,0.00081840068294928474,0.006116248345189236,0.94159999999999999,0.025029760064548927,0.88800000000000001,0.96799999999999997,0.94205486542443073,0.024539702661544,0.88845755693581785,0.9693322981366459,0.16506080903860917,0.034104275552984967,0.12138002282782075,0.22835390126517213,1,0,1,1,1,0,1,1,1,0,1,1,0.94009411764705886,0.00054564790998982678,0.93929411764705883,0.94070588235294117,10
arithmetic,random_window,Random-window split,9,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.014281304694778823,0.0030468192641640067,0.0088575949022166103,0.017962691442921237,0.00046505260715016172,0.00021180872426251882,0.00014269890725986865,0.00073638072521235124,0.98999999999999999,0.0089192446825261777,0.97692307692307689,1,0.98998579545454546,0.0089406970980787769,0.97679924242424243,1,0.03188704844902511,0.011991274370608315,0.015058427700234855,0.050898930046059457,1,0,1,1,1,0,1,1,1,0,1,1,0.9400904977375566,0.00053112569718427875,0.93936651583710418,0.94072398190045259,10
arithmetic,random_window,Random-window split,10,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.02890453699848438,0.012346519018042713,0.01102513046462059,0.047861686204465931,0.0021827995635774777,0.001854689957348232,0.00025282939748754791,0.0054800407112483547,0.97538461538461552,0.018058273704265652,0.9538461538461539,1,0.97561669829222009,0.017741625426716149,0.95445920303605314,1,0.085164426954405514,0.03590611290151307,0.032668059246165074,0.14182783899193985,1,0,1,1,1,0,1,1,1,0,1,1,0.9405429864253394,0.0008585369213126771,0.93936651583710418,0.94117647058823539,10
arithmetic,random_window,Random-window split,11,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.048223962095425107,0.02398150500092033,0.024663342790353017,0.11112545802009835,0.0063231866143782746,0.0081368852055578502,0.00088882185179271788,0.028870865474416321,0.95913978494623664,0.016657992886913629,0.92473118279569888,0.978494623655914,0.95972222222222237,0.01664092662556613,0.92569444444444449,0.97916666666666674,0.15331741829261505,0.091207773374290174,0.071537816217199471,0.39646655980702938,1,0,1,1,1,0,1,1,1,0,1,1,0.93978494623655906,0.001185196653810297,0.93738140417457283,0.94117647058823517,10
arithmetic,random_window,Random-window split,12,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.022516680843045971,0.0083016083889811149,0.011805051147989673,0.039425085721759547,0.0012221570776882378,0.0009477715390653461,0.00027987416360759654,0.003451871864460253,0.98607594936708876,0.015154670882757749,0.96202531645569622,1,0.98494832041343672,0.016240201012349045,0.95833333333333326,1,0.074475777104824989,0.05841820279350509,0.019917479216175468,0.21374423266957693,1,0,1,1,1,0,1,1,1,0,1,1,0.9388682055100519,0.0020300923352373555,0.93373045420699907,0.94117647058823506,10
arithmetic,random_window,Random-window split,13,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0029090894446786144,0.0012646992060207536,0.001212550355702627,0.0057159763685429412,1.7027324365076036e-05,1.5704929351138357e-05,2.2708897466045147e-06,5.6708677492278376e-05,0.99382716049382724,0.013334857404131401,0.96296296296296291,1,0.99358974358974361,0.013847736535059527,0.96153846153846156,1,0.025993438235210813,0.024840634888103855,0.010431059241106211,0.093322235517902141,1,0,1,1,1,0,1,1,1,0,1,1,0.93965141612200431,0.0010523875632672589,0.93754538852578062,0.94117647058823528,10
arithmetic,random_window,Random-window split,14,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.021694993912564877,0.0092368499117690631,0.011885433822991773,0.040097787539476994,0.0011999177554410866,0.0010550976859707763,0.00027454033078395582,0.0033660663976616116,0.98472222222222228,0.016628041663025853,0.95833333333333337,1,0.98426573426573438,0.016730344211448676,0.95687645687645695,1,0.060811939478671737,0.023849542271412782,0.034187626581327853,0.11636293966529479,1,0,1,1,1,0,1,1,1,0,1,1,0.94060457516339879,0.00055142856022096485,0.93954248366013082,0.94117647058823528,10
arithmetic,random_window,Random-window split,15,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.014798135852889466,0.0023022742349788905,0.011013489990210876,0.018635324938741499,0.00042064840652169383,0.00014554340542177836,0.00021232674501934107,0.00070452868830114476,1,0,1,1,1,0,1,1,0.02240199737868892,0.0045898572573226139,0.015974433783191078,0.031482113704276192,1,0,1,1,1,0,1,1,1,0,1,1,0.94030748663101615,0.00063414658960596229,0.93983957219251346,0.94117647058823539,10
arithmetic,recording_disjoint,Recording-disjoint split,1,0.75,0.26352313834736496,0.5,1,0.75,0.26352313834736496,0.5,1,1,0,1,1,0.5,0.52704627669472992,0,1,0.83333333333333326,0.17568209223157666,0.66666666666666663,1,1,0,1,1,0.69789462003398017,0.69604799076724488,0.010723110475179412,1.8166086222003452,0.21973595637868107,0.1973534968417118,0.00020715175165486762,0.47390945616820734,0.65936989355619013,0.063530823264645417,0.60436137071651086,0.7493333333333333,0.6392552407975034,0.071024379235088989,0.57245895702559157,0.73806462922924099,1.5329144082897204,0.24357985182871736,1.287611255976773,1.8222029222237111,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,2,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.52704627669472992,0,1,0.5,0.52704627669472992,0,1,0.33333333333333331,0.35136418446315326,0,0.66666666666666663,0.40000000000000002,0.5163977794943222,0,1,1.7570166321810112,0.73886180482096009,1.0344873921886688,2.9972970014800331,0.44327337418805701,0.05132786645871322,0.37377219704693959,0.49750944802888764,0.56642686736963643,0.13452933855592597,0.41944444444444445,0.75085324232081907,0.47716973658150125,0.051763027013082059,0.4022222222222222,0.51158645276292336,2.123447117555969,0.8259391848076848,0.93696597628159761,3.1588120737316325,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
