task,strategy,strategy_display,held_out_subject,recording_accuracy_mean,recording_accuracy_std,recording_accuracy_min,recording_accuracy_max,recording_balanced_accuracy_mean,recording_balanced_accuracy_std,recording_balanced_accuracy_min,recording_balanced_accuracy_max,recording_sensitivity_mean,recording_sensitivity_std,recording_sensitivity_min,recording_sensitivity_max,recording_specificity_mean,recording_specificity_std,recording_specificity_min,recording_specificity_max,recording_f1_mean,recording_f1_std,recording_f1_min,recording_f1_max,recording_auroc_mean,recording_auroc_std,recording_auroc_min,recording_auroc_max,recording_log_loss_mean,recording_log_loss_std,recording_log_loss_min,recording_log_loss_max,recording_brier_score_mean,recording_brier_score_std,recording_brier_score_min,recording_brier_score_max,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_min,window_balanced_accuracy_max,window_log_loss_mean,window_log_loss_std,window_log_loss_min,window_log_loss_max,recording_overlap_rate_mean,recording_overlap_rate_std,recording_overlap_rate_min,recording_overlap_rate_max,participant_overlap_rate_mean,participant_overlap_rate_std,participant_overlap_rate_min,participant_overlap_rate_max,validation_windows_with_raw_overlap_fraction_mean,validation_windows_with_raw_overlap_fraction_std,validation_windows_with_raw_overlap_fraction_min,validation_windows_with_raw_overlap_fraction_max,mean_nearest_train_raw_overlap_fraction_mean,mean_nearest_train_raw_overlap_fraction_std,mean_nearest_train_raw_overlap_fraction_min,mean_nearest_train_raw_overlap_fraction_max,n_evaluations
arithmetic,recording_disjoint,Recording-disjoint split,3,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.69999999999999996,0.48304589153964794,0,1,0.29999999999999999,0.48304589153964794,0,1,0.46666666666666662,0.32203059435976528,0,0.66666666666666663,0.29999999999999999,0.48304589153964794,0,1,2.7650903534900371,1.2486822324118294,1.245329718338803,3.9160332443393022,0.47328447842438448,0.037226625883222418,0.41977201208236553,0.49961222954742335,0.51908431046273118,0.10498882242320022,0.39589442815249265,0.64143426294820716,0.46953423349798162,0.062423115323352298,0.38054212707182317,0.52683792394241236,2.6963914332319439,1.1818868904150046,1.6524948978041254,4.5512143574629764,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,4,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.80000000000000004,0.4216370213557839,0,1,3.6335332420838453,3.3687844238958418,1.5791203300268633,9.9921313120112067,0.48269541234774432,0.01722697272726367,0.4584017026517675,0.49999999802003647,0.70271494531655387,0.06411470143268673,0.64723926380368102,0.79331306990881456,0.58697852350489266,0.098864876707564317,0.50431034482758619,0.72521008403361342,4.0066532199240381,2.5909230283690778,1.6024402574217598,7.8637540663487711,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.29999999999999999,0.48304589153964794,0,1,3.9849121528655864,1.9151645523304472,2.3663200807624487,6.6814295846765974,0.49679911530319859,0.0042623926966206876,0.49121960163583495,0.50079808435385154,0.48459070341423283,0.1244560045238306,0.28054298642533937,0.61558441558441557,0.45335780157173106,0.079821047365433759,0.30789451896009273,0.5163398692810458,4.4765510942614748,2.5780323686816282,2.0872136173910047,7.6631133901435238,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,6,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.20000000000000001,0.42163702135578396,0,1,2.8824356307675791,1.0503569068567278,0.93926084234459495,3.662349568553946,0.47182392905750409,0.061270403043430184,0.35568383915071444,0.50445533419179167,0.52241561974752804,0.085816383357438825,0.40469208211143692,0.61071428571428577,0.48803035656469601,0.097070126523221376,0.36698080279232115,0.62641025641025638,3.2387958589588841,0.7815676981440387,1.844662529449133,3.8998834182009063,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,7,0.59999999999999998,0.21081851067789195,0.5,1,0.59999999999999998,0.21081851067789195,0.5,1,1,0,1,1,0.20000000000000001,0.42163702135578396,0,1,0.73333333333333328,0.14054567378526128,0.66666666666666663,1,0.69999999999999996,0.48304589153964794,0,1,2.2025051839683054,1.1774076768405928,0.090031937563622183,3.3268469782936325,0.39893926993622497,0.20311952993587265,0.01357610640366564,0.49871149246231672,0.657299855303912,0.13464139822201462,0.56088560885608851,0.87906976744186049,0.58131264597426313,0.11974871132807037,0.49019607843137253,0.79650115770517105,2.7248777103854813,1.8287206135731549,0.44078796419665311,5.1514404847582069,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,8,0.59999999999999998,0.21081851067789195,0.5,1,0.59999999999999998,0.21081851067789195,0.5,1,0.69999999999999996,0.48304589153964794,0,1,0.5,0.52704627669472992,0,1,0.53333333333333333,0.39126259692575577,0,1,1,0,1,1,1.3402658966430647,0.88945825217023855,0.35473282772494985,2.2703694679120141,0.32379073485784921,0.17719601666351209,0.089618441665943613,0.489353336456608,0.50915699458775732,0.031896792804927958,0.46906187624750501,0.55178268251273344,0.5093980789038931,0.025103861540064224,0.47303266204095451,0.52613407666150036,2.1200710323406726,0.24546694334408375,1.8325591089186908,2.4317585087759355,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,9,0.59999999999999998,0.21081851067789195,0.5,1,0.59999999999999998,0.21081851067789195,0.5,1,0.69999999999999996,0.48304589153964794,0,1,0.5,0.52704627669472992,0,1,0.53333333333333333,0.39126259692575577,0,1,0.80000000000000004,0.4216370213557839,0,1,1.9971155760721711,1.3604063645061475,0.53335146374532549,3.5056679986282484,0.38436296015583737,0.13444145023594761,0.17127553604331716,0.49909839760779123,0.58172279202860688,0.056951754922622978,0.50205761316872433,0.63277511961722488,0.53596366590522826,0.090794894672727028,0.40028324215264033,0.63692316500629798,2.6289392494348736,0.99633305155625984,1.6137749865586277,3.6889258336888711,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,10,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.80000000000000004,0.4216370213557839,0,1,2.1272339061975476,1.7319275325606469,0.60167440398062433,5.2463626648610511,0.41764875386295924,0.14477998721078966,0.2174437464260037,0.58104761154221796,0.51944030554507736,0.083126734184192627,0.36363636363636365,0.5696969696969697,0.50170431977544039,0.072293734771952153,0.40111003861003863,0.58117427772600183,2.8975281679648193,2.4522930594951773,1.6112594293172842,7.5470347361420309,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,11,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.5,0.52704627669472992,0,1,4.5836601118524758,1.8997460143900256,2.8341684238236309,7.2096865586516241,0.52443709875011824,0.029575895455908208,0.49654642682725619,0.55707753160250451,0.46350573840613479,0.09364320434388404,0.36483516483516482,0.57650273224043713,0.4574131431057708,0.063318164409741737,0.37830199673685028,0.52258064516129032,5.4013635180507595,3.0966951245411347,2.4617051760955815,10.003490772742509,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,12,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.80000000000000004,0.4216370213557839,0,1,0.20000000000000001,0.42163702135578396,0,1,0.53333333333333333,0.28109134757052257,0,0.66666666666666663,0,0,0,0,2.710025289043112,0.99990089424680861,1.1624236430348387,3.7482958882088302,0.50766112451203904,0.057925767723489792,0.42900723758248926,0.58260477878946393,0.44333230657979872,0.1172350609074591,0.31683168316831684,0.63283582089552237,0.39042864782590814,0.073656586392353784,0.29937060348019251,0.48401826484018262,2.6634017716835539,0.97623116766752305,1.5507122617040623,4.0102007016780812,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,13,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.40000000000000002,0.5163977794943222,0,1,2.7135212849327388,1.1426149080238082,0.57916108799295563,3.4315872643802292,0.45070915250656307,0.12074692763106178,0.22271614029006748,0.52393385958285232,0.53504793462847444,0.048098234282780462,0.48302872062663188,0.60579710144927534,0.51557569555262606,0.045163813599243666,0.46479200875752597,0.5882183908045977,2.9604500188026197,1.1927883372235306,1.0195123690388241,4.2804675335964602,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,14,0.40000000000000002,0.21081851067789195,0,0.5,0.40000000000000002,0.21081851067789195,0,0.5,0.80000000000000004,0.4216370213557839,0,1,0,0,0,0,0.53333333333333333,0.28109134757052257,0,0.66666666666666663,0.29999999999999999,0.48304589153964794,0,1,6.7023684664009711,4.7805774214013477,3.2400676256366983,15.572285159557151,0.59539469985558713,0.20238276881019851,0.49846757026241895,0.97938684232162143,0.49654106115750285,0.1939070329586117,0.12903225806451613,0.59859154929577463,0.44814990512333963,0.17159085862900023,0.12903225806451613,0.57447817836812143,6.5321892405542048,4.9456955732587069,3.6556117700388699,15.874075002296403,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
arithmetic,recording_disjoint,Recording-disjoint split,15,0.75,0.26352313834736496,0.5,1,0.75,0.26352313834736496,0.5,1,1,0,1,1,0.5,0.52704627669472992,0,1,0.83333333333333326,0.17568209223157666,0.66666666666666663,1,1,0,1,1,2.1188786161994502,2.1757590807081155,0.0013853510040221996,4.2881251005704755,0.25596007496680484,0.25722473028443171,3.8277759769197568e-06,0.49981147137375603,0.7114157309018585,0.25442805713323652,0.4140127388535032,0.97578692493946728,0.72224631551244456,0.23611688392838096,0.5,0.97679618768328447,2.2654910596557309,2.3206361380318357,0.052564359744763027,5.0359004366186149,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,participant_disjoint,Participant-disjoint split,1,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.25,,0.25,0.25,1.4920088970781062,,1.4920088970781062,1.4920088970781062,0.48053482201495179,,0.48053482201495179,0.48053482201495179,0.37519142419601836,,0.37519142419601836,0.37519142419601836,0.39718296589410212,,0.39718296589410212,0.39718296589410212,2.3619388695418966,,2.3619388695418966,2.3619388695418966,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,2,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.5,,0.5,0.5,1.1662319590071062,,1.1662319590071062,1.1662319590071062,0.40645855962998939,,0.40645855962998939,0.40645855962998939,0.4458672875436554,,0.4458672875436554,0.4458672875436554,0.52078244609361302,,0.52078244609361302,0.52078244609361302,2.2013378799542243,,2.2013378799542243,2.2013378799542243,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,3,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.26549092727047213,,0.26549092727047213,0.26549092727047213,0.090599657020943844,,0.090599657020943844,0.090599657020943844,0.83157894736842108,,0.83157894736842108,0.83157894736842108,0.8418756815703381,,0.8418756815703381,0.8418756815703381,0.35100665762540029,,0.35100665762540029,0.35100665762540029,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,4,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.75,,0.75,0.75,1.1392203623882353,,1.1392203623882353,1.1392203623882353,0.34537173510906033,,0.34537173510906033,0.34537173510906033,0.58387799564270149,,0.58387799564270149,0.58387799564270149,0.6089590935279432,,0.6089590935279432,0.6089590935279432,1.2230075383955268,,1.2230075383955268,1.2230075383955268,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,5,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.4560185751389742,,0.4560185751389742,0.4560185751389742,0.17167270532105924,,0.17167270532105924,0.17167270532105924,0.81515151515151518,,0.81515151515151518,0.81515151515151518,0.83653656196201287,,0.83653656196201287,0.83653656196201287,0.50376291887849511,,0.50376291887849511,0.50376291887849511,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,6,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.5,,0.5,0.5,1.9661086293837962,,1.9661086293837962,1.9661086293837962,0.48122350881815301,,0.48122350881815301,0.48122350881815301,0.49907578558225507,,0.49907578558225507,0.49907578558225507,0.49644653400393612,,0.49644653400393612,0.49644653400393612,2.027806034075923,,2.027806034075923,2.027806034075923,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,7,0.25,,0.25,0.25,0.25,,0.25,0.25,0,,0,0,0.5,,0.5,0.5,0,,0,0,0.5,,0.5,0.5,2.3461042240762024,,2.3461042240762024,2.3461042240762024,0.61928094487883412,,0.61928094487883412,0.61928094487883412,0.24029574861367836,,0.24029574861367836,0.24029574861367836,0.24436090225563908,,0.24436090225563908,0.24436090225563908,2.6506214648459072,,2.6506214648459072,2.6506214648459072,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,8,0.75,,0.75,0.75,0.75,,0.75,0.75,0.5,,0.5,0.5,1,,1,1,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.75,,0.75,0.75,0.5645463958316651,,0.5645463958316651,0.5645463958316651,0.19338039567009163,,0.19338039567009163,0.19338039567009163,0.65147453083109919,,0.65147453083109919,0.65147453083109919,0.65581737425011533,,0.65581737425011533,0.65581737425011533,0.74638954949295,,0.74638954949295,0.74638954949295,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,9,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,0.32245068149866485,,0.32245068149866485,0.32245068149866485,0.082398044563865389,,0.082398044563865389,0.082398044563865389,0.57044673539518898,,0.57044673539518898,0.57044673539518898,0.5721122112211221,,0.5721122112211221,0.5721122112211221,1.0872780371154682,,1.0872780371154682,1.0872780371154682,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,10,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.25,,0.25,0.25,4.6773053624906922,,4.6773053624906922,4.6773053624906922,0.49953924645966685,,0.49953924645966685,0.49953924645966685,0.51939291736930859,,0.51939291736930859,0.51939291736930859,0.50862068965517238,,0.50862068965517238,0.50862068965517238,5.1106230518993145,,5.1106230518993145,5.1106230518993145,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,11,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,0.75,,0.75,0.75,0.4692070812405677,,0.4692070812405677,0.4692070812405677,0.16327834893706575,,0.16327834893706575,0.16327834893706575,0.78273809523809523,,0.78273809523809523,0.78273809523809523,0.7899159663865547,,0.7899159663865547,0.7899159663865547,0.49124772426371732,,0.49124772426371732,0.49124772426371732,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,12,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.75,,0.75,0.75,0.8373751039931796,,0.8373751039931796,0.8373751039931796,0.304979617136236,,0.304979617136236,0.304979617136236,0.61958266452648481,,0.61958266452648481,0.61958266452648481,0.61699134199134198,,0.61699134199134198,0.61699134199134198,1.1981554739456057,,1.1981554739456057,1.1981554739456057,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,participant_disjoint,Participant-disjoint split,13,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.75,,0.75,0.75,0.77560590886624337,,0.77560590886624337,0.77560590886624337,0.29961674926428977,,0.29961674926428977,0.29961674926428977,0.54275741710296688,,0.54275741710296688,0.54275741710296688,0.55770264656288948,,0.55770264656288948,0.55770264656288948,1.1243105468814552,,1.1243105468814552,1.1243105468814552,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
stroop,random_window,Random-window split,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.10449979519336976,0.033028064924695774,0.047768862097977489,0.15314245413491054,0.017380147555009138,0.0094721672304656866,0.0033985036852138694,0.033594140441819992,0.90632911392405069,0.039671423708162526,0.83544303797468356,0.96202531645569622,0.90595238095238106,0.04000962340074668,0.83236808236808235,0.96106821106821105,0.22637266395063796,0.074766888876792281,0.13899965110247672,0.37112093974789356,1,0,1,1,1,0,1,1,1,0,1,1,0.93953834698436312,0.0011535318976046407,0.93819806403574058,0.94117647058823506,10
stroop,random_window,Random-window split,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.015339051375046431,0.0062525798347997591,0.007071461914394569,0.029043543280110752,0.00076410143041269051,0.00072862462184079704,0.00012446783737861701,0.0025956209273331923,0.99807692307692297,0.0040542021284209803,0.99038461538461542,1,0.99848484848484842,0.0031942198587559313,0.99242424242424243,1,0.01892118070541942,0.0048113742579692018,0.012071505179531226,0.025303299885648514,1,0,1,1,1,0,1,1,1,0,1,1,0.94044117647058845,0.00084526816634469836,0.93834841628959276,0.94117647058823539,10
stroop,random_window,Random-window split,3,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0013689172510651815,0.00073938376276235093,0.00067016082996145399,0.0029635925779066068,6.6110798574339487e-06,9.5090650234910318e-06,7.9053612526292756e-07,2.9180112868312869e-05,0.99710144927536226,0.0061106814689243574,0.98550724637681164,1,0.99687499999999996,0.006588078458684107,0.984375,1,0.014671763518080277,0.023847651664614878,0.0016938588233253618,0.068748804265060137,1,0,1,1,1,0,1,1,1,0,1,1,0.94006820119352086,0.00080876666500475031,0.93861892583120188,0.94117647058823528,10
stroop,random_window,Random-window split,4,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0015897041220786841,0.0011323248298808963,0.00054426539818668116,0.0040701225541248604,7.9025714929542003e-06,1.1775740695834504e-05,4.9718620939303465e-07,3.820707791983927e-05,1,0,1,1,1,0,1,1,0.017207978283049662,0.0046820180429975843,0.011404293974290146,0.024716695866362666,1,0,1,1,1,0,1,1,1,0,1,1,0.9403361344537815,0.00082858260267500887,0.93907563025210095,0.94117647058823539,10
stroop,random_window,Random-window split,5,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0024278885191747557,0.0009974609832346193,0.0012216498596999774,0.0046570295473495633,1.5115822397185538e-05,1.5861486920622186e-05,2.5832159539052993e-06,5.7170617213588815e-05,0.99749999999999994,0.0079056941504209565,0.97499999999999998,1,0.99782608695652164,0.0068745166525399541,0.97826086956521741,1,0.011637955546015882,0.014502718896804781,0.0023022247044931338,0.051878057979249693,1,0,1,1,1,0,1,1,1,0,1,1,0.93926470588235311,0.0018406846426979174,0.936029411764706,0.94117647058823528,10
stroop,random_window,Random-window split,6,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0046276586118601413,0.0016168692851729731,0.0029551325656279447,0.0079612319393811276,6.4739557764506339e-05,5.3077237051964653e-05,1.859747964386362e-05,0.00017957484349056467,0.99384615384615382,0.010757013827386162,0.96923076923076923,1,0.9939393939393939,0.010594028769395452,0.96969696969696972,1,0.031809060414998633,0.022213893477579058,0.014917675601844507,0.074371483551778306,1,0,1,1,1,0,1,1,1,0,1,1,0.94045248868778286,0.00083161681762236681,0.93846153846153846,0.94117647058823539,10
stroop,random_window,Random-window split,7,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.016134660022948437,0.007892158796062955,0.0059657884682055417,0.027730735890458987,0.00084344115986512863,0.00085130648356723977,6.2136966500188139e-05,0.0024865561748833665,0.98923076923076925,0.010383823964777713,0.96923076923076923,1,0.98915719696969684,0.010501097414787452,0.96875,1,0.05554490578961957,0.021882396607146141,0.021966028914013669,0.099630630982068119,1,0,1,1,1,0,1,1,1,0,1,1,0.94063348416289594,0.00076314393005571753,0.93936651583710418,0.94117647058823539,10
stroop,random_window,Random-window split,8,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.036582578919316204,0.029189756376227002,0.014617860931249661,0.11656025071952475,0.0033671642155150921,0.0060111709869848937,0.00034372156395751839,0.020167745907924476,0.94666666666666666,0.023888171106069785,0.92222222222222228,0.98888888888888893,0.94568452380952372,0.023966599103230252,0.91815476190476186,0.98809523809523814,0.19499403908876298,0.20155700418727657,0.071497705451564877,0.75024665555844161,1,0,1,1,1,0,1,1,1,0,1,1,0.94013071895424838,0.00045699731946408518,0.93986928104575174,0.94117647058823528,10
stroop,random_window,Random-window split,9,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.013003027506475287,0.010045332014416913,0.0037928943286412173,0.037697495878038043,0.00053580787284723396,0.0010254041878213663,3.0697071129698581e-05,0.0033923770595270866,0.97333333333333327,0.016062362718315615,0.95238095238095233,0.99047619047619051,0.97572463768115936,0.015689640750274087,0.9438405797101449,0.99275362318840576,0.072212677408774503,0.020210588956500571,0.047598823592602708,0.099866396357979254,1,0,1,1,1,0,1,1,1,0,1,1,0.94056022408963591,0.00055710303978247732,0.93949579831932784,0.94117647058823528,10
stroop,random_window,Random-window split,10,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.034334432827163738,0.011700768758606679,0.015517571805755127,0.051372912821825142,0.0026388413332783254,0.0016875132105873035,0.00048041937566448167,0.0052134763485031975,0.97916666666666674,0.018805644455175848,0.94444444444444442,1,0.97903474903474907,0.018775271288859512,0.94440154440154434,1,0.061944560380324268,0.024902316625019641,0.035617542281174121,0.11390667670126629,1,0,1,1,1,0,1,1,1,0,1,1,0.93995098039215697,0.001233031745389083,0.93790849673202614,0.94117647058823528,10
stroop,random_window,Random-window split,11,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.019150221855859673,0.020154854697762518,0.0080644437130299017,0.075028694852717681,0.0018857573310413131,0.0047598933185318765,0.00010807797567364431,0.015397276861269822,0.98888888888888893,0.013586480674254487,0.96296296296296291,1,0.98953488372093013,0.012796569007146666,0.96511627906976738,1,0.053068292193382958,0.043680630035631489,0.021761978282427555,0.17100462315987486,1,0,1,1,1,0,1,1,1,0,1,1,0.93979665940450252,0.001857814945955,0.93609295570079876,0.94117647058823528,10
stroop,random_window,Random-window split,12,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.018671391388414928,0.0046900662037504563,0.01253834968802077,0.027607664267616933,0.00066854285805744405,0.00039111758434414178,0.00021146855628384069,0.0014562506583308938,0.95199999999999996,0.016865480854231382,0.93333333333333335,0.98666666666666669,0.95181365576102428,0.016872019621838822,0.9327880512091038,0.98684210526315796,0.13124215670967651,0.055521875434697478,0.068461044820683228,0.25935194761341535,1,0,1,1,1,0,1,1,1,0,1,1,0.93984313725490198,0.00098169847610555042,0.93803921568627435,0.94117647058823517,10
stroop,random_window,Random-window split,13,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0099402399900535478,0.002996918735710165,0.005208861921528452,0.014263986117670656,0.00024101583108541197,0.00015566659226660286,5.7465074223828452e-05,0.00050987620961858728,0.98840579710144927,0.014968051579545562,0.95652173913043481,1,0.98838383838383836,0.014865901357925626,0.95707070707070707,1,0.052878792778779826,0.035526504981274167,0.013366862573836175,0.10747077055819913,1,0,1,1,1,0,1,1,1,0,1,1,0.94075021312872964,0.00072449836794450458,0.93947144075021294,0.94117647058823528,10
stroop,recording_disjoint,Recording-disjoint split,1,0.34999999999999998,0.24152294576982397,0,0.5,0.34999999999999998,0.24152294576982397,0,0.5,0.5,0.52704627669472992,0,1,0.20000000000000001,0.42163702135578396,0,1,0.33333333333333331,0.35136418446315326,0,0.66666666666666663,0.40000000000000002,0.5163977794943222,0,1,3.2726158453587026,1.2552997651629723,2.0615057482555712,4.8389065849173196,0.60933386350438634,0.1918634672121034,0.48385932069033477,0.88726060874183843,0.41135625316835184,0.10946243330004474,0.27868852459016391,0.57422969187675066,0.39080234720451346,0.090717287156104096,0.26462072958888244,0.49043062200956938,3.815858168346197,1.2639539348295576,2.5693875313596535,5.5260886957711097,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,2,0.75,0.26352313834736496,0.5,1,0.75,0.26352313834736496,0.5,1,1,0,1,1,0.5,0.52704627669472992,0,1,0.83333333333333326,0.17568209223157666,0.66666666666666663,1,1,0,1,1,1.3151082942506369,1.3019384237913971,0.075638343068349642,2.5518370940989374,0.25074690099203101,0.25631520615481795,0.006952476855374496,0.4939273982530038,0.68999996705030886,0.11580487680726333,0.53233830845771146,0.78723404255319152,0.64525511695906435,0.14958991552513731,0.5,0.79402777777777778,1.6576698515241552,0.58697393208046955,1.0697194093050464,2.4564996208765799,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,3,0.65000000000000002,0.24152294576982397,0.5,1,0.65000000000000002,0.24152294576982397,0.5,1,1,0,1,1,0.29999999999999999,0.48304589153964794,0,1,0.76666666666666661,0.16101529717988269,0.66666666666666663,1,0.80000000000000004,0.4216370213557839,0,1,1.7785693913203253,1.1834447553923588,0.2558804561941867,3.4048230260602832,0.36499139150811566,0.19872631756411782,0.077202635217713658,0.50115662901044378,0.59348127514771487,0.11248297250317867,0.45936395759717313,0.74672489082969429,0.61353203046564253,0.11108274222086273,0.50393700787401574,0.76972363748649064,2.2693549808406912,1.4853920474951043,0.77530584290739779,4.7846316392051076,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
