task,strategy,strategy_display,metric,n_participants,participant_macro_mean,participant_standard_deviation,ci95_percentile_low,ci95_percentile_high
arithmetic,participant_disjoint,Participant-disjoint split,recording_accuracy,15,0.58333333333333337,0.12198750911856665,0.53333333333333333,0.65000000000000002
arithmetic,participant_disjoint,Participant-disjoint split,recording_balanced_accuracy,15,0.58333333333333337,0.12198750911856665,0.53333333333333333,0.65000000000000002
arithmetic,participant_disjoint,Participant-disjoint split,recording_sensitivity,15,0.69999999999999996,0.45512949491639965,0.46666666666666667,0.90000000000000002
arithmetic,participant_disjoint,Participant-disjoint split,recording_specificity,15,0.46666666666666667,0.39940431835899015,0.26666666666666666,0.66666666666666663
arithmetic,participant_disjoint,Participant-disjoint split,recording_f1,15,0.52222222222222225,0.33609963249453717,0.3511111111111111,0.68000000000000005
arithmetic,participant_disjoint,Participant-disjoint split,recording_auroc,15,0.75,0.21128856368212914,0.65000000000000002,0.84999999999999998
arithmetic,participant_disjoint,Participant-disjoint split,recording_log_loss,15,1.2717186539927594,1.0419423794721121,0.82191508658794421,1.8292033708157547
arithmetic,participant_disjoint,Participant-disjoint split,recording_brier_score,15,0.31175801775335649,0.12980541883106864,0.25025335064802484,0.37624462449945256
arithmetic,participant_disjoint,Participant-disjoint split,window_accuracy,15,0.61017004767567384,0.1212194441165276,0.55217932203991071,0.67069755552847432
arithmetic,participant_disjoint,Participant-disjoint split,window_balanced_accuracy,15,0.60143414824400632,0.1082870312960811,0.55109460220797624,0.65530469546314707
arithmetic,participant_disjoint,Participant-disjoint split,window_log_loss,15,1.5694535156290139,1.1974664618718112,1.0346821567293072,2.2044946199717996
arithmetic,participant_disjoint,Participant-disjoint split,recording_overlap_rate,15,0,0,0,0
arithmetic,participant_disjoint,Participant-disjoint split,participant_overlap_rate,15,0,0,0,0
arithmetic,participant_disjoint,Participant-disjoint split,validation_windows_with_raw_overlap_fraction,15,0,0,0,0
arithmetic,participant_disjoint,Participant-disjoint split,mean_nearest_train_raw_overlap_fraction,15,0,0,0,0
arithmetic,random_window,Random-window split,recording_accuracy,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_balanced_accuracy,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_sensitivity,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_specificity,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_f1,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_auroc,15,1,0,1,1
arithmetic,random_window,Random-window split,recording_log_loss,15,0.018427950275486972,0.012111387811304931,0.012838939599900562,0.024450944639669774
arithmetic,random_window,Random-window split,recording_brier_score,15,0.0013369046554844056,0.0016912806873171005,0.00062168662825208727,0.0022627674692123909
arithmetic,random_window,Random-window split,window_accuracy,15,0.98393705304609969,0.015910659364712729,0.97544608506439201,0.99098812381540824
arithmetic,random_window,Random-window split,window_balanced_accuracy,15,0.98407578477008839,0.015648254590113663,0.97580610580844507,0.99087900634546078
arithmetic,random_window,Random-window split,window_log_loss,15,0.063038375453523796,0.045959465656235557,0.042327359496176151,0.087380058093976351
arithmetic,random_window,Random-window split,recording_overlap_rate,15,1,0,1,1
arithmetic,random_window,Random-window split,participant_overlap_rate,15,1,0,1,1
arithmetic,random_window,Random-window split,validation_windows_with_raw_overlap_fraction,15,1,0,1,1
arithmetic,random_window,Random-window split,mean_nearest_train_raw_overlap_fraction,15,0.94013907978282563,0.00048170499083187343,0.9398860060226808,0.94035432002144592
arithmetic,recording_disjoint,Recording-disjoint split,recording_accuracy,15,0.54666666666666663,0.097223356002459363,0.50333333333333341,0.59666666666666657
arithmetic,recording_disjoint,Recording-disjoint split,recording_balanced_accuracy,15,0.54666666666666663,0.097223356002459363,0.5033333333333333,0.59674999999999889
arithmetic,recording_disjoint,Recording-disjoint split,recording_sensitivity,15,0.88000000000000023,0.16561573424216502,0.79333333333333322,0.95999999999999985
arithmetic,recording_disjoint,Recording-disjoint split,recording_specificity,15,0.21333333333333335,0.22949219304078011,0.10666666666666666,0.32666666666666672
arithmetic,recording_disjoint,Recording-disjoint split,recording_f1,15,0.62222222222222223,0.13432173332088906,0.55555555555555558,0.68444444444444441
arithmetic,recording_disjoint,Recording-disjoint split,recording_auroc,15,0.56666666666666665,0.32440421581430662,0.40666666666666668,0.72666666666666668
arithmetic,recording_disjoint,Recording-disjoint split,recording_log_loss,15,2.8144304641821254,1.4659183195221388,2.1401485102009135,3.5652598509869371
arithmetic,recording_disjoint,Recording-disjoint split,recording_brier_score,15,0.42976774234023679,0.10097818488427628,0.37857542593525828,0.47556124610039846
arithmetic,recording_disjoint,Recording-disjoint split,window_accuracy,15,0.55813767060039976,0.086053369666285073,0.51846826892457121,0.60217989482437673
arithmetic,recording_disjoint,Recording-disjoint split,window_balanced_accuracy,15,0.51843455401314809,0.084417451670163887,0.47963367645418725,0.5629442379950953
arithmetic,recording_disjoint,Recording-disjoint split,window_log_loss,15,3.2179376600729825,1.3481843755104783,2.6174608009857159,3.921671288501722
arithmetic,recording_disjoint,Recording-disjoint split,recording_overlap_rate,15,0,0,0,0
arithmetic,recording_disjoint,Recording-disjoint split,participant_overlap_rate,15,1,0,1,1
arithmetic,recording_disjoint,Recording-disjoint split,validation_windows_with_raw_overlap_fraction,15,0,0,0,0
arithmetic,recording_disjoint,Recording-disjoint split,mean_nearest_train_raw_overlap_fraction,15,0,0,0,0
stroop,participant_disjoint,Participant-disjoint split,recording_accuracy,13,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,participant_disjoint,Participant-disjoint split,recording_balanced_accuracy,13,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,participant_disjoint,Participant-disjoint split,recording_sensitivity,13,0.57692307692307687,0.49354811679282456,0.30769230769230771,0.84615384615384615
stroop,participant_disjoint,Participant-disjoint split,recording_specificity,13,0.61538461538461542,0.41602514716892186,0.38461538461538464,0.80769230769230771
stroop,participant_disjoint,Participant-disjoint split,recording_f1,13,0.46666666666666667,0.39440531887330776,0.26666666666666666,0.66666666666666663
stroop,participant_disjoint,Participant-disjoint split,recording_auroc,13,0.67307692307692313,0.25788836781912106,0.53846153846153844,0.80769230769230771
stroop,participant_disjoint,Participant-disjoint split,recording_log_loss,13,1.2675133929433773,1.2065568745864219,0.72715542907055464,1.9623792707157341
stroop,participant_disjoint,Participant-disjoint split,recording_brier_score,13,0.31833341037109292,0.17174740546850917,0.22867466875646461,0.40877114295938044
stroop,participant_disjoint,Participant-disjoint split,window_accuracy,13,0.57518700496626063,0.17154143458027835,0.48259538176654909,0.66301715733029432
stroop,participant_disjoint,Participant-disjoint split,window_balanced_accuracy,13,0.58825418579805999,0.17023075336490237,0.4994401526895586,0.67503622122408558
stroop,participant_disjoint,Participant-disjoint split,window_log_loss,13,1.6213450574550679,1.2929295527030626,1.0370377770677821,2.3609512503755372
stroop,participant_disjoint,Participant-disjoint split,recording_overlap_rate,13,0,0,0,0
stroop,participant_disjoint,Participant-disjoint split,participant_overlap_rate,13,0,0,0,0
stroop,participant_disjoint,Participant-disjoint split,validation_windows_with_raw_overlap_fraction,13,0,0,0,0
stroop,participant_disjoint,Participant-disjoint split,mean_nearest_train_raw_overlap_fraction,13,0,0,0,0
stroop,random_window,Random-window split,recording_accuracy,13,1,0,1,1
stroop,random_window,Random-window split,recording_balanced_accuracy,13,1,0,1,1
stroop,random_window,Random-window split,recording_sensitivity,13,1,0,1,1
stroop,random_window,Random-window split,recording_specificity,13,1,0,1,1
stroop,random_window,Random-window split,recording_f1,13,1,0,1,1
stroop,random_window,Random-window split,recording_auroc,13,1,0,1,1
stroop,random_window,Random-window split,recording_log_loss,13,0.021359197506371292,0.027412147669824072,0.0099900337139969871,0.037851636443987091
stroop,random_window,Random-window split,recording_brier_score,13,0.0021860914322018353,0.004689454850465736,0.00051141910686932214,0.0049896795625518423
stroop,random_window,Random-window split,window_accuracy,13,0.97773428938540496,0.027466634665712975,0.96250554790265219,0.99050940814109711
stroop,random_window,Random-window split,window_balanced_accuracy,13,0.97787778428415884,0.027687724672841838,0.96229024000530727,0.99059802049517032
stroop,random_window,Random-window split,window_log_loss,13,0.07250046359750173,0.069477651630375073,0.039639833958223167,0.11187380452173043
stroop,random_window,Random-window split,recording_overlap_rate,13,1,0,1,1
stroop,random_window,Random-window split,participant_overlap_rate,13,1,0,1,1
stroop,random_window,Random-window split,validation_windows_with_raw_overlap_fraction,13,1,0,1,1
stroop,random_window,Random-window split,mean_nearest_train_raw_overlap_fraction,13,0.94013588238918921,0.00044667155552531384,0.93989745902132604,0.94036106897284766
stroop,recording_disjoint,Recording-disjoint split,recording_accuracy,13,0.51538461538461533,0.18301253985339294,0.4192307692307693,0.61153846153846148
stroop,recording_disjoint,Recording-disjoint split,recording_balanced_accuracy,13,0.51538461538461533,0.18301253985339294,0.41923076923076918,0.61153846153846148
stroop,recording_disjoint,Recording-disjoint split,recording_sensitivity,13,0.73076923076923073,0.33760088710540881,0.54615384615384621,0.89230769230769247
stroop,recording_disjoint,Recording-disjoint split,recording_specificity,13,0.30000000000000004,0.21213203435596428,0.19230769230769232,0.40769230769230769
stroop,recording_disjoint,Recording-disjoint split,recording_f1,13,0.5461538461538461,0.27673307822014442,0.39743589743589741,0.68461538461538451
stroop,recording_disjoint,Recording-disjoint split,recording_auroc,13,0.66153846153846163,0.35009156311471223,0.46923076923076928,0.83846153846153837
stroop,recording_disjoint,Recording-disjoint split,recording_log_loss,13,2.9263552767294376,2.705963735557904,1.7894269781272547,4.5113812418652177
stroop,recording_disjoint,Recording-disjoint split,recording_brier_score,13,0.4402412831438598,0.16936552551971873,0.35380370227899988,0.53205031646025069
stroop,recording_disjoint,Recording-disjoint split,window_accuracy,13,0.55086878016164753,0.13249372000380844,0.47872602209331311,0.61614890418658352
stroop,recording_disjoint,Recording-disjoint split,window_balanced_accuracy,13,0.52736422075942901,0.13060616292845384,0.45931538967224145,0.59377117535765545
stroop,recording_disjoint,Recording-disjoint split,window_log_loss,13,3.3343470865809226,2.6793167660935726,2.2031823770296617,4.9445266813779032
stroop,recording_disjoint,Recording-disjoint split,recording_overlap_rate,13,0,0,0,0
stroop,recording_disjoint,Recording-disjoint split,participant_overlap_rate,13,1,0,1,1
stroop,recording_disjoint,Recording-disjoint split,validation_windows_with_raw_overlap_fraction,13,0,0,0,0
stroop,recording_disjoint,Recording-disjoint split,mean_nearest_train_raw_overlap_fraction,13,0,0,0,0
