fold,held_out_subject,maximum_nearest_train_raw_overlap_fraction,mean_nearest_train_raw_overlap_fraction,overlapping_participants,overlapping_recordings,participant_overlap_rate,recording_accuracy,recording_auroc,recording_average_precision,recording_balanced_accuracy,recording_brier_score,recording_f1,recording_fn,recording_fp,recording_log_loss,recording_n,recording_n_class_0,recording_n_class_1,recording_overlap_rate,recording_pr_auc,recording_precision,recording_sensitivity,recording_specificity,recording_tn,recording_tp,split_seed,strategy,strategy_display,task,train_participants,train_recordings,train_windows,validation_participants,validation_recordings,validation_windows,validation_windows_with_raw_overlap_fraction,window_accuracy,window_auroc,window_average_precision,window_balanced_accuracy,window_brier_score,window_f1,window_fn,window_fp,window_log_loss,window_n,window_n_class_0,window_n_class_1,window_pr_auc,window_precision,window_sensitivity,window_specificity,window_tn,window_tp
11,11,0,0,0,0,0,0.75,1,1,0.75,0.18720880532931244,0.80000000000000004,0,1,0.55987921035294963,4,2,2,0,1,0.66666666666666663,1,0.5,1,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,9990,1,4,772,0,0.68652849740932642,0.70254053363972935,0.58985757117039217,0.6947328105787256,0.23436993029069791,0.74309978768577489,23,219,0.7223817231561348,772,399,373,0.58762728645163953,0.61511423550087874,0.93833780160857905,0.45112781954887216,180,350
12,12,0,0,0,0,0,0.5,0.75,0.83333333333333326,0.5,0.28971887482761893,0.66666666666666663,0,2,0.87822114659401962,4,2,2,0,0.79166666666666663,0.5,1,0,0,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10107,1,4,655,0,0.64122137404580148,0.70653377630121816,0.67174932061692039,0.61336505433864519,0.27542668008012261,0.74260679079956193,15,220,0.92090859319235618,655,301,354,0.66949843315044744,0.6064400715563506,0.9576271186440678,0.26910299003322258,81,339
13,13,0,0,0,0,0,0.75,1,1,0.75,0.14442951999090414,0.80000000000000004,0,1,0.41285121138298897,4,2,2,0,1,0.66666666666666663,1,0.5,1,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10092,1,4,670,0,0.72537313432835826,0.80177768258727777,0.79428068774993554,0.72101449275362328,0.1949900729260875,0.75916230366492143,58,126,0.62248059703194858,670,322,348,0.79375346455529616,0.69711538461538458,0.83333333333333337,0.60869565217391308,196,290
14,14,0,0,0,0,0,0.75,0.5,0.58333333333333326,0.75,0.23186544242902909,0.80000000000000004,0,1,0.83686761873364168,4,2,2,0,0.41666666666666663,0.66666666666666663,1,0.5,1,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10168,1,4,594,0,0.79461279461279466,0.73728338575922225,0.70801639742733302,0.77675722047469264,0.18820910924357862,0.83733333333333337,11,111,0.72551892947466179,594,269,325,0.70704501146602838,0.73882352941176466,0.96615384615384614,0.58736059479553904,158,314
15,15,0,0,0,0,0,0.5,0.75,0.83333333333333326,0.5,0.4467658188994349,0.66666666666666663,0,2,2.2942443886315673,4,2,2,0,0.79166666666666663,0.5,1,0,0,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10035,1,4,727,0,0.54883081155433289,0.76654386683039977,0.66870940222765884,0.53063552705386519,0.40483776071817601,0.6945996275605214,5,323,2.3724425789904577,727,349,378,0.66720134784179441,0.53591954022988508,0.98677248677248675,0.074498567335243557,26,373
1,1,0.94117647058823528,0.94047619047619047,1,4,1,1,1,1,1,0.00075823276222517541,1,0,0,0.019439468729348788,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.9642857142857143,0.99942495687176547,0.9995567375886526,0.96808510638297873,0.024083818763499538,0.96703296703296704,3,0,0.084237164476612392,84,37,47,0.99955202203108506,1,0.93617021276595747,1,37,44
2,1,0.94117647058823528,0.94047619047619047,1,4,1,1,1,1,1,0.00019832485613784011,1,0,0,0.010823083303973026,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,1,1,1,1,0.009595854563881007,1,0,0,0.053195601624938006,84,37,47,1,1,1,1,37,47
1,1,0.94117647058823528,0.93837535014005591,1,4,1,1,1,1,1,0.00043476550995583623,1,0,0,0.014791359235733458,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,1,1,1,1,0.0058840584446250418,1,0,0,0.042580828840535476,84,37,47,1,1,1,1,37,47
2,1,0.94117647058823528,0.93907563025210072,1,4,1,1,1,1,1,0.00024006640569731763,1,0,0,0.011632849482093421,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.97619047619047616,0.98964922369177688,0.99389571072883676,0.97584818861414613,0.030658279981978547,0.97872340425531912,1,1,0.11831395880243102,84,37,47,0.99384593621254558,0.97872340425531912,0.97872340425531912,0.97297297297297303,36,46
1,1,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.001298654617348726,1,0,0,0.02740476073696204,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.97619047619047616,0.9942495687176538,0.99626726390444209,0.97584818861414613,0.025025249955384524,0.97872340425531912,1,1,0.10265469976977666,84,37,47,0.99623393590358877,0.97872340425531912,0.97872340425531912,0.97297297297297303,36,46
2,1,0.94117647058823528,0.94047619047619047,1,4,1,1,1,1,1,0.0019156549228912145,1,0,0,0.031663247449977283,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.95238095238095233,0.98964922369177688,0.99221783839215771,0.95457159286946525,0.041379395898865752,0.95652173913043481,3,1,0.13564637837564536,84,37,47,0.99213660795127701,0.97777777777777775,0.93617021276595747,0.97297297297297303,36,44
1,1,0.94117647058823528,0.93907563025210072,1,4,1,1,1,1,1,0.00034111754448325741,1,0,0,0.012996361742026282,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.98809523809523814,0.99827487061529607,0.99872340425531925,0.9893617021276595,0.021983433924543903,0.989247311827957,1,0,0.087008529077520005,84,37,47,0.99871037776812854,1,0.97872340425531912,1,37,46
2,1,0.94117647058823528,0.93977591036414565,1,4,1,1,1,1,1,0.00016310055398324359,1,0,0,0.0093346367148578954,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.98809523809523814,0.99942495687176547,0.9995567375886526,0.9893617021276595,0.01363339293072185,0.989247311827957,1,0,0.059177512112118379,84,37,47,0.99955202203108506,1,0.97872340425531912,1,37,46
1,1,0.94117647058823528,0.94117647058823517,1,4,1,1,1,1,1,0.00028278004246301195,1,0,0,0.011770465768705279,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,0.98809523809523814,0.99942495687176547,0.9995567375886526,0.98648648648648651,0.0137350070763506,0.98947368421052628,0,1,0.060173894781010311,84,37,47,0.99955202203108506,0.97916666666666663,1,0.97297297297297303,36,47
2,1,0.94117647058823528,0.94047619047619047,1,4,1,1,1,1,1,0.00097498904249850905,1,0,0,0.02194471692214402,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,612,1,4,84,1,1,1,1,1,0.0081360457429969658,1,0,0,0.047343461831598523,84,37,47,1,1,1,1,37,47
1,2,0.94117647058823528,0.94018783984181897,1,4,1,1,1,1,1,0.00047623778611168965,1,0,0,0.013956604837725662,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,869,1,4,119,1,1,1,1.0000000000000002,1,0.003035657909148642,1,0,0,0.021026300614105348,119,70,49,1.0000000000000002,1,1,1,70,49
2,2,0.94117647058823528,0.94068215521502718,1,4,1,1,1,1,1,0.00057329125575176956,1,0,0,0.014089859975595885,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,869,1,4,119,1,1,1,1.0000000000000002,1,0.0021111552504036297,1,0,0,0.014291955474532192,119,70,49,1.0000000000000002,1,1,1,70,49
1,2,0.94117647058823528,0.93969352446861087,1,4,1,1,1,1,1,0.0021640603778987967,1,0,0,0.034011105716964085,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,869,1,4,119,1,0.99159663865546221,0.98746355685131193,0.99046140195208543,0.98979591836734693,0.013465814557008553,0.98969072164948457,1,0,0.11432182166001266,119,70,49,0.99040899207270128,1,0.97959183673469385,1,70,48
