dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,accuracy,13,13,0.64102564102564108,0.25318484177091666,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,balanced_accuracy,13,13,0.55769230769230771,0.27298210704958442,0.5,0.5,0.75,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,sensitivity,13,13,0.80769230769230771,0.32522181779399545,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,specificity,13,13,0.30769230769230771,0.48038446141526137,0,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,precision,13,13,0.70512820512820507,0.27347088471412234,0.66666666666666663,0.66666666666666663,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,f1,13,13,0.72564102564102562,0.25391521118856675,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,auroc,13,13,0.65384615384615385,0.42742520713255516,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,pr_auc,13,13,0.81730769230769229,0.24446326170773866,1,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,average_precision,13,13,0.86538461538461542,0.17525927069861946,1,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,log_loss,13,13,0.77418374059919881,0.45693132534160069,0.63158697957275445,0.60322077034008281,0.79389396268678591,0.40517022572711503,2.1976055627712276
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,brier_score,13,13,0.23548041465259126,0.071029804398856422,0.2215045894231118,0.2075286530581387,0.26958339223182942,0.11416589129646158,0.33944096791497819
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),accuracy,13,13,0.61538461538461542,0.12517793603313512,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),balanced_accuracy,13,13,0.51923076923076927,0.12338702919820611,0.5,0.5,0.5,0.25,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),sensitivity,13,13,0.80769230769230771,0.32522181779399545,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),specificity,13,13,0.23076923076923078,0.4385290096535146,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),precision,13,12,0.70833333333333337,0.14433756729740643,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),f1,13,13,0.69487179487179496,0.22764745072888876,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),auroc,13,13,0.61538461538461542,0.41602514716892186,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),pr_auc,13,13,0.80128205128205121,0.23823828120702736,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),average_precision,13,13,0.85256410256410264,0.17062604684879704,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),log_loss,13,13,0.92799901870561052,0.68415335450864412,0.73542485461124629,0.60743345728852471,0.89657075320982793,0.41181058862537312,3.0678896052316129
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),brier_score,13,13,0.26989817315396097,0.095973720845347582,0.25521814757857564,0.21190703675585773,0.32031905608208733,0.12837118412449114,0.49280052068018909
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),accuracy,13,13,0.61538461538461542,0.12517793603313512,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),balanced_accuracy,13,13,0.51923076923076927,0.12338702919820611,0.5,0.5,0.5,0.25,0.75
