Analysis setting,Comparison family,Primary metric,Reference,Method,n_participants,reference_mean,method_mean,mean_paired_difference_pp,ci95_percentile_low_pp,ci95_percentile_high_pp,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,wilcoxon_raw_p,wilcoxon_status,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,superiority_established
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,13,0.5288461538461539,0.4903846153846153,-3.8461538461538463,-14.423076923076922,5.769230769230769,-0.1987207131701751,-0.188235294117647,5,3,5,0.5691834713460703,approx_pratt_no_correction,3,10,0.805070065067075,0.8279089321611763,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,DASF,13,0.5288461538461539,0.4615384615384615,-6.730769230769231,-13.461538461538462,-0.9615384615384616,-0.5565966126844862,-0.7142857142857143,1,7,5,0.0832645166635504,approx_pratt_no_correction,7,6,0.6700538844387623,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,CB-SF,13,0.5288461538461539,0.5,-2.8846153846153846,-8.653846153846153,2.8846153846153846,-0.2489933810139309,-0.2894736842105263,3,5,5,0.4174054351308553,approx_pratt_no_correction,5,8,0.6940966653838903,0.7306280688251477,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian TS-LR,13,0.5288461538461539,0.4711538461538461,-5.769230769230769,-13.461538461538462,2.8846153846153846,-0.3645861721501199,-0.4235294117647058,3,3,7,0.1981131070605342,approx_pratt_no_correction,3,10,0.6700538844387623,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian MDM,13,0.5288461538461539,0.5384615384615384,0.9615384615384616,-5.769230769230769,7.6923076923076925,0.0741249316661101,0.1285714285714285,4,6,3,0.7368753708069717,approx_pratt_no_correction,6,7,0.8708527109536938,0.9037150774047766,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,EEGNet,13,0.5288461538461539,0.5,-2.8846153846153846,-14.423076923076922,8.653846153846153,-0.1326689226034938,-0.1477272727272727,5,2,6,0.644023401761261,approx_pratt_no_correction,2,11,0.8102229893125542,0.8543167574384075,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,EEG-Conformer,13,0.5288461538461539,0.5,-2.8846153846153846,-11.538461538461538,6.730769230769231,-0.1692548813302334,-0.3086419753086419,3,4,6,0.3679324203151384,approx_pratt_no_correction,4,9,0.6700538844387623,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Always fused,13,0.5192307692307692,0.4807692307692307,-3.8461538461538463,-13.461538461538462,5.769230769230769,-0.223374237314982,-0.3333333333333333,2,7,4,0.4142161782425252,approx_pratt_no_correction,7,6,0.7692586167361181,0.7306280688251477,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Random forest,13,0.5192307692307692,0.5192307692307692,0.0,-7.6923076923076925,7.6923076923076925,0.0,0.0,2,9,2,1.0,approx_pratt_no_correction,9,4,1.0,1.0,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Extra Trees,13,0.5192307692307692,0.5961538461538461,7.6923076923076925,0.0,15.384615384615383,0.4880711008692506,0.6666666666666666,5,7,1,0.1024704348597493,approx_pratt_no_correction,7,6,0.6660578265883708,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Fixed blend (10%),13,0.5192307692307692,0.5384615384615384,1.9230769230769231,0.0,5.769230769230769,0.2773500981126145,1.0,1,12,0,0.3173105078629141,approx_pratt_no_correction,12,1,0.6875061003696473,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Fixed blend (25%),13,0.5192307692307692,0.5769230769230768,5.769230769230769,0.0,11.538461538461538,0.5262348115842175,1.0,3,10,0,0.0832645166635504,approx_pratt_no_correction,10,3,0.6660578265883708,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Equal blend (50%),13,0.5192307692307692,0.5769230769230768,5.769230769230769,-3.8461538461538463,17.307692307692307,0.2773500981126145,0.365079365079365,4,7,2,0.3738787446641713,approx_pratt_no_correction,7,6,0.7477574893283427,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,13,0.5192307692307692,0.4807692307692307,-3.8461538461538463,-15.384615384615383,5.769230769230769,-0.1921537845661045,-0.2363636363636363,2,8,3,0.5986418432550044,approx_pratt_no_correction,8,5,0.864704884701673,0.8279089321611763,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,DASF,13,0.5192307692307692,0.4615384615384615,-5.769230769230769,-13.461538461538462,1.9230769230769231,-0.3851644432598216,-0.5999999999999999,1,8,4,0.1797124948789997,approx_pratt_no_correction,8,5,0.6675035524077134,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,CB-SF,13,0.5192307692307692,0.5192307692307692,0.0,-9.615384615384617,9.615384615384617,0.0,0.0,3,7,3,1.0,approx_pratt_no_correction,7,6,1.0,1.0,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Riemannian TS-LR,13,0.5192307692307692,0.4807692307692307,-3.8461538461538463,-17.307692307692307,9.615384615384617,-0.1440253506927792,-0.2236842105263157,3,5,5,0.5336695310910969,approx_pratt_no_correction,5,8,0.8162004593157953,0.8279089321611763,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,Riemannian MDM,13,0.5192307692307692,0.5769230769230768,5.769230769230769,-3.8461538461538463,15.384615384615383,0.3182975350603833,0.4285714285714285,5,6,2,0.2568392579578565,approx_pratt_no_correction,6,7,0.6875061003696473,0.7019612122691796,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,EEGNet,13,0.5192307692307692,0.5192307692307692,0.0,-17.307692307692307,17.307692307692307,0.0,0.0,5,3,5,1.0,approx_pratt_no_correction,3,10,1.0,1.0,False
Stroop to Arithmetic,26 direction-specific comparisons,balanced_accuracy,Always neural,EEG-Conformer,13,0.5192307692307692,0.5576923076923077,3.8461538461538463,-9.615384615384617,19.230769230769237,0.1440253506927792,0.0476190476190476,3,7,3,0.9076630817558242,approx_pratt_no_correction,7,6,1.0,1.0,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Always fused,15,0.5833333333333333,0.6333333333333333,5.0,0.0,10.0,0.4830458915396478,1.0,3,12,0,0.0832645166635504,approx_pratt_no_correction,12,3,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Random forest,15,0.5833333333333333,0.5166666666666667,-6.666666666666667,-18.33333333333333,5.0,-0.2774453910541354,-0.3152173913043478,3,7,5,0.377979114298789,approx_pratt_no_correction,7,8,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Extra Trees,15,0.5833333333333333,0.5166666666666667,-6.666666666666667,-16.666666666666664,3.333333333333333,-0.3017563761863296,-0.3636363636363636,3,6,6,0.2792509453687378,approx_pratt_no_correction,6,9,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (10%),15,0.5833333333333333,0.5833333333333333,0.0,0.0,0.0,,0.0,0,15,0,1.0,all_zero_p_assigned_1,15,0,1.0,1.0,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (25%),15,0.5833333333333333,0.5833333333333333,0.0,0.0,0.0,,0.0,0,15,0,1.0,all_zero_p_assigned_1,15,0,1.0,1.0,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Equal blend (50%),15,0.5833333333333333,0.5999999999999999,1.6666666666666667,0.0,5.0,0.2581988897471611,1.0,1,14,0,0.3173105078629141,approx_pratt_no_correction,14,1,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,15,0.5833333333333333,0.5999999999999999,1.6666666666666667,0.0,5.0,0.2581988897471611,1.0,1,14,0,0.3173105078629141,approx_pratt_no_correction,14,1,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,DASF,15,0.5833333333333333,0.5833333333333333,0.0,0.0,0.0,,0.0,0,15,0,1.0,all_zero_p_assigned_1,15,0,1.0,1.0,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,CB-SF,15,0.5833333333333333,0.5999999999999999,1.6666666666666667,0.0,5.0,0.2581988897471611,1.0,1,14,0,0.3173105078629141,approx_pratt_no_correction,14,1,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian TS-LR,15,0.5833333333333333,0.5,-8.33333333333333,-18.33333333333333,1.6666666666666667,-0.408248290463863,-0.5217391304347825,2,7,6,0.1426392063305722,approx_pratt_no_correction,7,8,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian MDM,15,0.5833333333333333,0.5333333333333333,-5.0,-15.0,5.0,-0.2320477404461286,-0.2826086956521738,3,7,5,0.4271364094670094,approx_pratt_no_correction,7,8,0.6940966653838903,0.7306280688251477,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,EEGNet,15,0.5833333333333333,0.6166666666666667,3.333333333333333,-6.666666666666667,13.333333333333334,0.1599086497213573,0.369047619047619,5,8,2,0.3313679693857399,approx_pratt_no_correction,8,7,0.6700538844387623,0.7019612122691796,False
Arithmetic LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,EEG-Conformer,15,0.5833333333333333,0.6666666666666666,8.33333333333333,-3.333333333333333,16.666666666666664,0.408248290463863,0.6739130434782608,7,7,1,0.0582746184376409,approx_pratt_no_correction,7,8,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Always fused,13,0.6153846153846154,0.5769230769230768,-3.8461538461538463,-9.615384615384617,0.0,-0.4096732451993513,-1.0,0,11,2,0.1572992070502851,approx_pratt_no_correction,11,2,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Random forest,13,0.6153846153846154,0.5769230769230768,-3.8461538461538463,-15.384615384615383,5.769230769230769,-0.1921537845661045,-0.2363636363636363,2,8,3,0.5986418432550044,approx_pratt_no_correction,8,5,0.805070065067075,0.8279089321611763,False
