Task,Label definition,Analysis role,Metric,Participants,Participant-macro mean,Participant SD,95% CI low,95% CI high
Arithmetic,Natural/low/medium vs high,upper-threshold sensitivity,average_precision,15,0.6333333333333333,0.3162277660168379,0.4777777777777778,0.7888888888888889
Arithmetic,Natural/low/medium vs high,upper-threshold sensitivity,Log loss,15,1.213015963020995,0.9243964445311302,0.8184547514814065,1.7110381261348355
Arithmetic,Natural/low/medium vs high,upper-threshold sensitivity,Brier score,15,0.3422773093258115,0.182447842360305,0.2563337781276113,0.4354022931811784
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Recording accuracy,13,0.6153846153846154,0.299572344757639,0.4615384615384615,0.7692307692307692
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Recording balanced accuracy,13,0.6153846153846154,0.299572344757639,0.4615384615384615,0.7692307692307692
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Sensitivity,13,0.6153846153846154,0.5063696835418333,0.3076923076923077,0.8461538461538461
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Specificity,13,0.6153846153846154,0.5063696835418333,0.3846153846153846,0.8461538461538461
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,F1 score,13,0.5128205128205128,0.4433747811741174,0.2820512820512819,0.7435897435897435
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,AUROC,13,0.6153846153846154,0.5063696835418333,0.3076923076923077,0.8461538461538461
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,PR-AUC,13,0.7115384615384615,0.379777262656375,0.5384615384615384,0.8846153846153845
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,average_precision,13,0.8076923076923077,0.2531848417709166,0.6913461538461547,0.9230769230769232
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Log loss,13,2.5415863117406583,2.884286663728868,1.150330718926688,4.144713140307378
Stroop,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Brier score,13,0.3394110256274259,0.2363458554049861,0.2153589833260611,0.4559302992811659
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Recording accuracy,13,0.5961538461538461,0.1919869119470761,0.5,0.6923076923076922
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Recording balanced accuracy,13,0.5961538461538461,0.1919869119470761,0.5,0.6923076923076922
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Sensitivity,13,0.5769230769230768,0.4935481167928245,0.3076923076923077,0.8461538461538461
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Specificity,13,0.6153846153846154,0.4160251471689218,0.3846153846153846,0.8076923076923077
