Section,Analysis setting,Method,Metric,Outer cells,Seeds,"Inner folds per outer seed, minimum","Inner folds per outer seed, maximum",Outer-training participants,Outer-training recordings,Inner-training participants,Inner-training recordings,Inner-validation participants,Inner-validation recordings,Outer-test recordings,Minimum inner-training windows,Median inner-training windows,Maximum inner-training windows,Seed mean,Seed standard deviation,Seed minimum,Seed maximum,Seed range,Interpretation
Five-seed stability diagnostic,Bidirectional cross-task,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.519230769230769,0.0280334225713716,0.4807692307692307,0.5576923076923077,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5897435897435896,0.0157018573255332,0.5769230769230768,0.6153846153846154,0.0384615384615385,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.519230769230769,0.0179887374364131,0.5,0.5384615384615384,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,EEG-Conformer,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5846153846153845,0.0449632767096158,0.5384615384615384,0.6538461538461539,0.1153846153846154,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,EEG-Conformer,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.521153846153846,0.0229564161275256,0.5,0.5576923076923077,0.0576923076923077,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,EEGNet,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5641025641025641,0.0239849832485509,0.5384615384615384,0.6025641025641026,0.0641025641025642,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,EEGNet,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4807692307692307,0.0280334225713716,0.4615384615384615,0.5288461538461539,0.0673076923076922,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Extra Trees,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6333333333333333,0.007022084070579,0.6282051282051281,0.6410256410256409,0.0128205128205127,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Extra Trees,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5807692307692307,0.0052665630529343,0.5769230769230768,0.5865384615384615,0.0096153846153846,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Random forest,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5923076923076922,0.0057335076346148,0.5897435897435896,0.6025641025641025,0.0128205128205128,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Random forest,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5692307692307692,0.0043001307259611,0.5673076923076922,0.5769230769230768,0.0096153846153845,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Riemannian MDM,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.641025641025641,0.0,0.641025641025641,0.641025641025641,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Riemannian MDM,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Riemannian TS-LR,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5256410256410255,0.0,0.5256410256410255,0.5256410256410255,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Riemannian TS-LR,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4711538461538461,0.0,0.4711538461538461,0.4711538461538461,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Always fused,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.4923076923076923,0.038031787113311,0.4358974358974358,0.5384615384615384,0.1025641025641025,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4923076923076923,0.0398777718333225,0.4423076923076922,0.5384615384615384,0.0961538461538461,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5538461538461538,0.0388865407387259,0.5128205128205127,0.6153846153846154,0.1025641025641026,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5115384615384616,0.0349344271626633,0.4615384615384615,0.5576923076923077,0.0961538461538461,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,EEG-Conformer,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5641025641025641,0.0769230769230769,0.4871794871794871,0.6923076923076922,0.2051282051282051,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,EEG-Conformer,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5192307692307692,0.0490290337845459,0.4807692307692307,0.5961538461538461,0.1153846153846153,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,EEGNet,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5435897435897435,0.0334318072061674,0.4871794871794871,0.5641025641025641,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,EEGNet,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4923076923076922,0.0501477108092511,0.423076923076923,0.5384615384615384,0.1153846153846153,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Extra Trees,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Extra Trees,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5961538461538461,0.0,0.5961538461538461,0.5961538461538461,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Random forest,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5179487179487178,0.0114670152692297,0.5128205128205127,0.5384615384615384,0.0256410256410256,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Random forest,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5230769230769231,0.0086002614519222,0.5192307692307692,0.5384615384615384,0.0192307692307691,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Riemannian MDM,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.641025641025641,0.0,0.641025641025641,0.641025641025641,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Riemannian MDM,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5769230769230768,0.0,0.5769230769230768,0.5769230769230768,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Riemannian TS-LR,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.4615384615384615,0.0,0.4615384615384615,0.4615384615384615,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop to Arithmetic,Riemannian TS-LR,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4807692307692307,6.206335383118184e-17,0.4807692307692307,0.4807692307692307,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Always fused,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6133333333333334,0.0217306746840088,0.5999999999999999,0.65,0.05,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6133333333333334,0.0217306746840088,0.5999999999999999,0.65,0.05,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6,0.0390867979985285,0.5666666666666667,0.6666666666666666,0.0999999999999999,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6,0.0390867979985285,0.5666666666666667,0.6666666666666666,0.0999999999999999,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,EEG-Conformer,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6566666666666666,0.0450308536203542,0.5833333333333333,0.6999999999999998,0.1166666666666665,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,EEG-Conformer,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6566666666666666,0.0450308536203542,0.5833333333333333,0.6999999999999998,0.1166666666666665,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,EEGNet,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6,0.0353553390593273,0.5666666666666667,0.65,0.0833333333333333,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,EEGNet,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6,0.0353553390593273,0.5666666666666667,0.65,0.0833333333333333,Model-randomness diagnostic only; seeds are ensemble members.
