dataset,protocol,direction,subject,method,accuracy,n_recordings,method_display
openbci,loso,stroop,1,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,2,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,3,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,4,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,5,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,6,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,7,equal_blend_050,1.0,4,Equal-weight soft fusion
openbci,loso,stroop,8,equal_blend_050,1.0,4,Equal-weight soft fusion
openbci,loso,stroop,9,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,10,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,11,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,12,equal_blend_050,0.5,4,Equal-weight soft fusion
openbci,loso,stroop,13,equal_blend_050,0.25,4,Equal-weight soft fusion
openbci,loso,stroop,14,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,15,equal_blend_050,0.75,4,Equal-weight soft fusion
openbci,loso,stroop,1,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,2,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,3,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,4,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,5,extra_trees,0.75,4,ExtraTrees
openbci,loso,stroop,6,extra_trees,0.25,4,ExtraTrees
openbci,loso,stroop,7,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,8,extra_trees,0.75,4,ExtraTrees
openbci,loso,stroop,9,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,10,extra_trees,0.75,4,ExtraTrees
openbci,loso,stroop,11,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,12,extra_trees,0.75,4,ExtraTrees
openbci,loso,stroop,13,extra_trees,0.5,4,ExtraTrees
openbci,loso,stroop,14,extra_trees,0.75,4,ExtraTrees
openbci,loso,stroop,15,extra_trees,0.5,4,ExtraTrees
